품목,등급,연도,월,평균도매가격,단위
느타리버섯,상품,2025,5,6487.0,kg
느타리버섯,상품,2025,6,6591.0,kg
느타리버섯,상품,2025,7,6841.0,kg
느타리버섯,상품,2025,8,8100.0,kg
느타리버섯,상품,2025,9,9475.0,kg
느타리버섯,상품,2025,10,7766.0,kg
느타리버섯,상품,2025,11,6841.0,kg
느타리버섯,상품,2025,12,8750.0,kg
느타리버섯,상품,2026,1,7650.0,kg
느타리버섯,상품,2026,2,8912.0,kg
느타리버섯,상품,2026,3,7430.0,kg
느타리버섯,상품,2026,4,8500.0,kg
느타리버섯,상품,2026,5,8800.0,kg
느타리버섯,상품,2026,6,9075.0,kg
느타리버섯,상품,2026,7,10000.0,kg
느타리버섯,중품,2025,5,5121.0,kg
느타리버섯,중품,2025,6,5278.0,kg
느타리버섯,중품,2025,7,5207.0,kg
느타리버섯,중품,2025,8,5810.0,kg
느타리버섯,중품,2025,9,6352.0,kg
느타리버섯,중품,2025,10,4710.0,kg
느타리버섯,중품,2025,11,4678.0,kg
느타리버섯,중품,2025,12,5066.0,kg
느타리버섯,중품,2026,1,5055.0,kg
느타리버섯,중품,2026,2,5500.0,kg
느타리버섯,중품,2026,3,4796.0,kg
느타리버섯,중품,2026,4,5218.0,kg
느타리버섯,중품,2026,5,5250.0,kg
느타리버섯,중품,2026,6,5500.0,kg
느타리버섯,중품,2026,7,5500.0,kg
단감,상품,2025,9,4377.0,kg
단감,상품,2025,10,3860.0,kg
단감,상품,2025,11,3083.0,kg
단감,상품,2025,12,3460.0,kg
단감,중품,2025,9,3675.0,kg
단감,중품,2025,10,3150.0,kg
단감,중품,2025,11,2465.0,kg
단감,중품,2025,12,2904.0,kg
새송이버섯,상품,2025,5,4381.0,kg
새송이버섯,상품,2025,6,4174.0,kg
새송이버섯,상품,2025,7,3902.0,kg
새송이버섯,상품,2025,8,4330.0,kg
새송이버섯,상품,2025,9,4500.0,kg
새송이버섯,상품,2025,10,4452.0,kg
새송이버섯,상품,2025,11,4250.0,kg
새송이버섯,상품,2025,12,4830.0,kg
새송이버섯,상품,2026,1,4665.0,kg
새송이버섯,상품,2026,2,5096.0,kg
새송이버섯,상품,2026,3,4330.0,kg
새송이버섯,상품,2026,4,4000.0,kg
새송이버섯,상품,2026,5,4665.0,kg
새송이버섯,상품,2026,6,4060.0,kg
새송이버섯,상품,2026,7,4000.0,kg
새송이버섯,중품,2025,5,3598.0,kg
새송이버섯,중품,2025,6,3334.0,kg
새송이버섯,중품,2025,7,3000.0,kg
새송이버섯,중품,2025,8,3350.0,kg
새송이버섯,중품,2025,9,3350.0,kg
새송이버섯,중품,2025,10,3500.0,kg
새송이버섯,중품,2025,11,3472.0,kg
새송이버섯,중품,2025,12,3915.0,kg
새송이버섯,중품,2026,1,3996.0,kg
새송이버섯,중품,2026,2,4325.0,kg
새송이버섯,중품,2026,3,3330.0,kg
새송이버섯,중품,2026,4,3254.0,kg
새송이버섯,중품,2026,5,3657.0,kg
새송이버섯,중품,2026,6,3186.0,kg
새송이버섯,중품,2026,7,3240.0,kg
팽이버섯,상품,2025,5,2580.0,kg
팽이버섯,상품,2025,6,2263.0,kg
팽이버섯,상품,2025,7,2098.0,kg
팽이버섯,상품,2025,8,2030.0,kg
팽이버섯,상품,2025,9,2250.0,kg
팽이버섯,상품,2025,10,2520.0,kg
팽이버섯,상품,2025,11,2143.0,kg
팽이버섯,상품,2025,12,2320.0,kg
팽이버섯,상품,2026,1,2360.0,kg
팽이버섯,상품,2026,2,3060.0,kg
팽이버섯,상품,2026,3,2260.0,kg
팽이버섯,상품,2026,4,1964.0,kg
팽이버섯,상품,2026,5,1700.0,kg
팽이버섯,상품,2026,6,1810.0,kg
팽이버섯,상품,2026,7,2000.0,kg
팽이버섯,중품,2025,5,2190.0,kg
팽이버섯,중품,2025,6,1865.0,kg
팽이버섯,중품,2025,7,1688.0,kg
팽이버섯,중품,2025,8,1700.0,kg
팽이버섯,중품,2025,9,1900.0,kg
팽이버섯,중품,2025,10,2000.0,kg
팽이버섯,중품,2025,11,1739.0,kg
팽이버섯,중품,2025,12,1857.0,kg
팽이버섯,중품,2026,1,1917.0,kg
팽이버섯,중품,2026,2,2460.0,kg
팽이버섯,중품,2026,3,1800.0,kg
팽이버섯,중품,2026,4,1553.0,kg
팽이버섯,중품,2026,5,1260.0,kg
팽이버섯,중품,2026,6,1420.0,kg
팽이버섯,중품,2026,7,1466.0,kg
