STN,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN_AD,STN_KO,STN_EN
90,128.56473,38.25085,35100,17.53,18.73,1.70,10.00,1.40,90,속초,Sokcho
93,127.75443,37.94738,31201,95.78,96.78,1.50,10.00,1.40,101,북춘천,Bukchuncheon
95,127.3042,38.14787,31110,155.48,156.98,1.80,13.00,1.50,101,철원,Cheorwon
98,127.0607,37.90188,22200,115.62,116.74,1.70,10.00,1.00,119,동두천,Dongducheon
99,126.76648,37.88589,22300,30.59,31.99,1.70,10.00,1.00,119,파주,Paju
100,128.71834,37.67713,35400,772.43,773.43,1.70,10.00,1.40,100,대관령,Daegwallyeong
101,127.7357,37.90262,31210,75.82,77.05,1.50,10.00,1.40,101,춘천,Chuncheon
102,124.71237,37.97396,21101,36.0,37.20,1.80,9.00,1.20,102,백령도,Baengnyeongdo
104,128.85535,37.80456,35201,75.24,76.67,1.70,10.00,1.40,105,북강릉,Bukgangneung
105,128.89099,37.75147,35300,27.12,28.22,1.70,10.00,0.50,105,강릉,Gangneung
106,129.12433,37.50709,35500,40.46,41.66,1.70,10.00,1.40,106,동해,Donghae
108,126.9658,37.57142,11101,85.67,86.67,1.50,10.00,0.50,108,서울,Seoul
112,126.6249,37.47772,23201,68.99,70.19,1.60,10.00,1.20,112,인천,Incheon
114,127.94659,37.33749,31300,150.11,151.11,1.70,14.00,1.40,114,원주,Wonju
115,130.89863,37.48129,35601,221.14,223.70,1.60,10.00,1.30,115,울릉도,Ulleungdo
119,126.983,37.25746,23311,39.81,40.81,1.60,18.70,1.10,109,수원,Suwon
121,128.45743,37.18126,31400,240.54,242.05,1.70,10.00,1.40,121,영월,Yeongwol
127,127.9525,36.97045,41400,114.85,116.25,1.65,10.00,1.00,131,충주,Chungju
129,126.4939,36.77658,45110,25.25,26.55,1.60,20.20,1.10,129,서산,Seosan
130,129.41278,36.99176,71100,48.98,50.18,1.75,10.00,1.30,136,울진,Uljin
131,127.44066,36.63924,41111,58.7,60.10,1.70,10.00,0.80,131,청주,Cheongju
