STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
90.0,2019,13.832328767123288,9.773351648351648,18.07780821917808,1355.5,2543.1,365,60.51917808219178,0.0,0.0,0.0,,19.898130841121496,1107.7,67,101,2,10,2
90.0,2020,13.308196721311475,9.356284153005465,17.458196721311474,2085.8,2447.9,366,61.66885245901639,0.0,0.0,0.0,,18.908411214953272,1824.2,57,100,1,8,8
90.0,2021,13.253150684931505,9.264383561643836,17.51208791208791,1199.7,2478.1,365,64.48082191780821,0.0,0.0,0.0,,19.4107476635514,1005.6,70,85,1,4,1
90.0,2022,12.921917808219177,8.995027624309392,17.167397260273972,1637.3,2487.6,365,61.82493150684931,0.0,0.0,0.0,,19.546728971962615,1469.0,80,99,2,6,4
90.0,2023,13.688980716253445,9.62664835164835,17.883561643835616,1768.8,2379.8,365,63.44820936639119,0.0,0.0,0.0,,20.029577464788733,1355.5,75,122,0,13,1
90.0,2024,14.139285714285714,10.320765027322405,18.114754098360656,1234.1,2265.7,366,66.24450549450549,3790.55,1131.4,0.0,,21.005164319248827,1017.4,83,117,0,16,2
93.0,2019,11.77041095890411,5.975206611570248,18.366575342465755,931.8,2368.7,365,68.47232876712329,5264.83,1372.2,72.6,14.288493150684932,19.412616822429907,804.9,130,161,12,18,1
93.0,2020,11.457650273224044,5.885792349726776,17.790983606557376,1561.4,2281.7,366,72.34617486338799,5226.28,1285.2,53.16,14.392622950819671,18.504205607476635,1376.5,139,174,16,7,3
93.0,2021,11.648219178082194,6.156318681318681,18.021095890410958,1065.2,2303.2,365,73.55698630136986,5354.64,1290.2,102.63,14.429945054945055,19.2,890.2,120,147,6,21,0
93.0,2022,11.00412087912088,5.430747922437673,17.58739726027397,1590.8,2383.7,365,71.73873626373627,5391.08,1307.3,36.93,14.124109589041096,19.153521126760563,1419.6,126,149,9,12,6
93.0,2023,11.99945205479452,6.629639889196676,18.296438356164384,1366.8,2518.1,365,73.88164383561643,5320.11,1301.2,46.71,14.85521978021978,19.784579439252333,1155.9,123,144,6,24,1
93.0,2024,12.917486338797815,7.589835164835164,19.12431693989071,1162.3,2522.6,366,71.125956284153,5378.68,1351.6,37.08,15.547814207650273,20.9088785046729,1036.2,119,133,2,32,1
95.0,2019,11.132328767123289,5.160714285714286,17.527671232876713,920.5,2754.5,365,73.64794520547945,5170.99,1257.7,0.0,,18.79532710280374,803.6,141,174,17,11,2
95.0,2020,10.976775956284152,5.47013698630137,16.964207650273224,1749.3,2597.2,366,78.175956284153,5098.45,1160.8,0.0,,18.020560747663552,1532.3999999999999,146,178,20,3,5
95.0,2021,11.359065934065933,5.696153846153846,17.502191780821917,1115.3,2669.6,365,78.59506849315069,5351.69,1216.6,0.0,,18.780841121495328,937.0,125,161,8,14,0
