지역,STN,지점명,거리_km,지점고도_m,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,평균습도,연일사량,연증발량,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
서귀포시,189,서귀포,7.9,51.9,2019,17.3,14.44958904109589,20.585479452054795,2210.3,2239.9,77.75698630136986,0.0,0.0,21.745794392523365,1969.9,0,10,0,0,7
서귀포시,189,서귀포,7.9,51.9,2020,16.77021857923497,13.93551912568306,19.91393442622951,2089.6,2166.9,78.91775956284154,0.0,0.0,20.92056074766355,1677.2,4,4,0,0,4
서귀포시,189,서귀포,7.9,51.9,2021,17.476712328767125,14.698904109589042,20.732054794520547,2136.2,2313.0,75.95780821917808,0.0,0.0,22.202803738317755,1804.6,9,17,0,0,6
서귀포시,189,서귀포,7.9,51.9,2022,17.233972602739726,14.464657534246577,20.47287671232877,1561.3,2266.2,73.64849315068493,0.0,0.0,22.344859813084117,1299.9,6,32,0,1,6
서귀포시,189,서귀포,7.9,51.9,2023,17.696164383561644,14.858356164383562,20.862465753424654,2220.7000000000003,2183.1,73.01534246575342,0.0,0.0,22.45373831775701,1913.9,7,23,0,3,7
서귀포시,189,서귀포,7.9,51.9,2024,18.356284153005465,15.510928961748634,21.72295081967213,2247.3,2046.0,71.5846994535519,4020.65,1133.8,23.653271028037384,1664.9,3,11,0,26,5
제주시,184,제주,9.2,20.8,2019,16.862191780821917,14.222465753424656,20.00794520547945,1979.9,1909.9,69.75506849315069,5007.0,1424.0,21.84018691588785,1786.6,0,32,0,6,8
제주시,184,제주,9.2,20.8,2020,16.7448087431694,14.00136612021858,19.970765027322404,1389.5,1890.3,69.05792349726777,5004.37,1450.2,21.36448598130841,1103.7,2,45,0,14,2
제주시,184,제주,9.2,20.8,2021,17.507123287671234,14.67123287671233,21.046575342465754,1627.7,1965.3,70.56986301369864,5080.15,1502.6,22.59018691588785,1282.0,6,44,0,12,4
제주시,184,제주,9.2,20.8,2022,17.085479452054795,14.154246575342466,20.523561643835617,1075.8,2012.3,71.22931506849315,5121.15,1517.0,22.725233644859813,797.9,3,42,0,28,2
