상세사업명,국고비율,시군구비율,자부담비율,사후관리기간,사용여부
산림복합경영단지,40,40,20,2,Y
산지종합유통센터,50,20,30,2,Y
가공산업활성화,50,20,30,2,Y
생산기반지원,20,20,60,2,Y
상품화지원,20,20,60,2,Y
유통기반지원,20,20,60,2,Y
산림작물생산단지,40,20,40,2,Y
임산물 판매촉진비 지원,30,0,70,2,Y
임산물 수출기계장비 구입비 지원,50,0,50,2,Y
수출 포장디자인 개발비 지원,70,0,30,2,Y
수출촉진검역비 지원,100,0,0,2,Y
관상식물 수출용 인공용토 및 용기지원,80,0,20,2,Y
수출 이력관리비 지원,100,0,0,2,Y
수출임산물 해외 인증 지원,90,0,10,2,Y
수출보험 지원,90,0,10,2,Y
식품위생검사비 지원,90,0,10,2,Y
수출원재료 구입자금 지원,80,0,20,2,Y
국제박람회 참가지원,20,0,80,2,Y
해외 판촉홍보행사 지원,20,0,80,2,Y
바이어 초청사업 및 한·일 밤 간담회,20,0,80,2,Y
시험수출(마켓테스트),20,0,80,2,Y
해외 안테나숍 운영 지원,20,0,80,2,Y
임산물 해외 정보 조사,20,0,80,2,Y
수출상품화사업 지원,20,0,80,2,Y
해외홍보사업 지원,20,0,80,2,Y
임산물 해외공동물류센터 신규지정신청서(물류업체),20,0,80,2,N
해외공동물류센터 지원,20,0,80,2,Y
수출선도조직육성,80,0,20,2,Y
수출전문인력육성,80,0,20,2,Y
수출협의회 결성·운영 지원,80,0,20,2,Y
수출협의회 공동판촉·홍보,80,0,20,2,Y
수출특화지역 활성화 지원,50,20,30,2,Y
목재유통센터시설보완,70,0,30,2,Y
목재체험교실,50,0,50,2,Y
목공지도자 양성교실,50,0,50,2,Y
초·중등교사 목공체험,50,0,50,2,Y
목재산업박람회,50,0,50,2,Y
목재제품(목공예품) 전시·홍보,50,0,50,2,Y
목재문화진흥회 관련 사업,50,0,50,2,Y
주민편의시설용목재팰릿보일러,30,40,30,2,Y
주택용목재팰릿보일러,30,40,30,2,Y
목재팰릿제조시설효율 개선,50,20,30,2,Y
목재산업시설 현대화,50,20,30,2,Y
