"연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","지역별","규모별","조성비","경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액1","무기질비료_인산질_지출액1","무기질비료_가리질_지출액1","무기질비료_복합_지출액1","무기질비료_토양개량제_지출액1","무기질비료_기타_지출액1","유기질비료_퇴구비_지출액1","유기질비료_계분_지출액1","유기질비료_우분_지출액1","유기질비료_돈분_지출액1","유기질비료_기타_지출액1","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","생대추 수량_ha당","건대추_원초 수량_ha당","건대추_찍초 수량_ha당","건대추_소계 수량_ha당","총 생산량(건대추 기준)_ha당","생대추 평가액_ha당","건대추_소계 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","표고목 눕히기_시간_ha당","표고목 뒤집기_시간_ha당","표고목 벌채_시간_ha당","표고목 세우기_시간_ha당","표고목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,99,1,403205,6,0.4,0.4,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,3,2,2142.85714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197714.285714286,66500,0,0,0,0,0,218214.285714286,24600613.2440476,7701305,32301918.2440476,1180405.35714286,14303142.8571429,0,14303142.8571429,19431807.1428571,3004178.57142857,134707.142857143,22570692.8571429,37390173.0309822,4040105.96379777,280095.425357143,4320201.38915491,38171821.2450774,19232684.1118749,56938650.0297619,18623344.2462978,75561994.2760597,-18939137.1332025,56622857.1428571,5242.85714285714,0,0,0,1992.28571428571,56622857.1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692.85714285714,285.714285714286,1407.14285714286,85.7142857142857,85.7142857142857,0,14.2857142857143,92.8571428571428,1885.71428571429,0,0,0,14.2857142857143,0,0,0,107.142857142857,0,0,628.571428571429,0,0,0,207.142857142857,0,78.5714285714286,271.428571428571,0,0,514.285714285714,0,0,0,0,0,64.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95
1,0,0,0,0,0,11560,0,0,0,0,0,33,3,411291,5,0.79,0.25,0.54,0,0,0.79,0.25,0.54,0,0,0,0,0,0,0,0.71,0.25,0.46,0,0,0.71,0.25,0.46,0,0,0,0,0,0,0,12,2,1549.29577464789,16281.6901408451,16281.6901408451,0,0,0,0,0,0,16281.6901408451,0,0,0,0,0,1095408.45070423,390211.267605634,56000,0,0,0,0,367718.309859155,1260874.69483568,2691183.67605634,3952058.37089202,314534.85915493,1819126.76056338,0,1819126.76056338,9788792.95774648,2108252.11267606,0,11897045.0704225,8711756.06103287,382896.816264507,167945.377183099,550842.193447606,12158761.9117575,41938215.7699531,18500549.0187793,2369968.95401099,20870517.9727903,29779453.8581956,50649971.8309859,3691.54929577465,146.478873239437,0,146.478873239437,1549.2676056338,48876112.6760563,1773859.15492958,0,0,0,0,0,0,49.2957746478873,49.2957746478873,0,0,0,0,0,0,667.605633802817,261.971830985916,405.633802816901,177.464788732394,35.2112676056338,142.253521126761,83.0985915492958,0,928.169014084507,0,1.40845070422535,0,0,0,0,0,80.2816901408451,0,173.239436619718,346.478873239437,2.8169014084507,0,0,149.295774647887,0,0,28.169014084507,0,0,36.6197183098592,0,0,0,0,104.225352112676,0,5.63380281690141,0,0,0,0,0,0,0,0,0,0,0,0,12.8823529411765
1,0,0,0,0,0,122390,0,0,198220,0,54410,99,1,403205,6,0.54,0.54,0,0,0,0.54,0.54,0,0,0,0,0,0,0,0,0.17,0.17,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,4,2,1647.05882352941,2206000,719941.176470588,1486058.82352941,0,0,0,0,0,719941.176470588,0,0,1166000,0,320058.823529412,84588.2352941176,726235.294117647,0,9352.94117647059,69647.0588235294,0,0,253882.352941176,4222987.56127451,5776131.11764706,9999118.67892157,1944197.05882353,1472411.76470588,0,1472411.76470588,12231835.2941176,0,0,12231835.2941176,15696226.620098,1562225.28806316,189315.725294118,1751541.01335728,15455788.0721808,-15378579.5612745,27928061.9142157,3223952.77806316,31152014.6922788,-30834367.6334553,317647.058823529,29.4117647058824,0,0,0,11.1764705882353,317647.058823529,0,0,0,0,0,0,0,52.9411764705882,52.9411764705882,0,0,77594.1176470588,0,2082.35294117647,79676.4705882353,817.647058823529,817.647058823529,0,0,0,0,5.88235294117647,0,823.529411764706,0,0,0,70.5882352941176,0,0,0,17.6470588235294,0,0,105.882352941176,211.764705882353,0,0,229.411764705882,0,64.7058823529412,123.529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95
1,0,0,0,0,0,129880,875860,0,0,0,0,33,2,411291,6,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,14,2,560,2011480,259760,1751720,0,0,0,0,0,259760,1751720,0,0,0,0,1528040,877860,0,0,0,0,0,67480,392301.433333333,956204.35,1348505.78333333,0,2002440,0,2002440,4032248,1040772,304258,5377278,7347849.82783464,111450.072794625,119824.9767,231275.049494625,6507800.00499332,3042570.17216536,11621934.7833333,2233715.04949463,13855649.832828,-3465229.83282796,10390420,850,0,438,438,761,8270500,2119920,0,0,0,0,0,0,9.8,9.8,8930,0,0,0,0,8930,168,164,4,100,8,92,90,0,358,0,0,0,20,0,0,0,38,0,4,124,48,0,0,12,0,0,80,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4705882352941
1,0,0,0,0,0,81600,0,0,0,0,0,33,2,411291,5,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,18,2,1454.54545454545,247272.727272727,247272.727272727,0,0,0,0,0,0,247272.727272727,0,0,0,0,0,1497848.48484848,265303.03030303,0,0,0,0,0,8393.93939393939,217746.148989899,1324302.96969697,1542049.11868687,413592.424242424,6068030.3030303,0,6068030.3030303,4662157.57575758,558536.363636364,0,5220693.93939394,4944287.08838384,66652.5479655682,87960.0722727273,154612.620238295,10884800.4990262,32332500.790404,9606444.66414141,6222642.9232686,15829087.58741,21447700.2913779,37276787.8787879,1906.06060606061,0,30.3030303030303,30.3030303030303,754.606060606061,37091939.3939394,184848.484848485,0,0,0,0,0,0,8.18181818181818,8.18181818181818,0,0,0,0,0,0,233.333333333333,136.363636363636,96.969696969697,42.4242424242424,21.2121212121212,21.2121212121212,90.9090909090909,0,366.666666666667,0,0,0,24.2424242424242,0,0,0,48.4848484848485,0,6.06060606060606,193.939393939394,18.1818181818182,0,0,18.1818181818182,0,0,18.1818181818182,0,0,39.3939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4705882352941
1,0,0,0,176680,0,54400,0,0,0,0,0,37,3,394684,5,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,26,2,540,462160,462160,0,0,0,0,353360,0,108800,0,0,0,0,0,827440,1208140,0,0,0,0,0,85240,5495870.275,149206.910526316,5645077.18552632,0,1601960,0,1601960,11593616,14082096,427470,26103182,22939287.2984237,490478.241450967,348536.8683,839015.109750967,14227610.9968536,31382792.7015763,34725923.1855263,2440975.10975097,37166898.2952773,17155181.7047227,54322080,1398,6246,468,6714,7245.24,8164320,46157760,0,0,0,0,1178,0,5,1183,0,0,0,0,0,0,632,452,180,1020,686,334,162,0,1814,0,6,0,4,0,0,0,48,0,602,716,42,0,0,138,0,0,106,0,0,104,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2564102564103
1,0,0,0,670,0,27200,0,0,0,0,0,33,3,411291,6,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,16,2,603.448275862069,48051.724137931,48051.724137931,0,0,0,0,1155.1724137931,0,46896.5517241379,0,0,0,0,0,1994310.34482759,803189.655172414,0,0,0,0,0,18379.3103448276,528538.793103448,3394.75725952813,531933.550362977,96390.2298850575,1484586.20689655,0,1484586.20689655,16854927.5862069,1502906.89655172,0,18357834.4827586,5406452.71128252,83214.7154749784,257844.451034483,341059.166509461,18680572.9596129,22231685.219752,22261380.2974894,1825645.37340601,24087025.6708954,3551112.26013906,27638137.9310345,1808.62068965517,448.275862068966,0,448.275862068966,1135.55172413793,21124689.6551724,6513448.27586207,0,0,0,0,1.72413793103448,0,29.3103448275862,31.0344827586207,0,0,0,0,0,0,936.206896551724,694.827586206897,241.379310344828,136.206896551724,0,136.206896551724,227.586206896552,0,1300,0,10.3448275862069,0,67.2413793103448,0,0,0,72.4137931034483,0,125.862068965517,303.448275862069,3.44827586206897,0,0,379.310344827586,0,0,182.758620689655,0,0,155.172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8823529411765
2,0,0,0,0,0,0,0,0,0,0,0,33,2,411291,6,0.42,0,0.42,0,0,0.42,0,0.42,0,0,0,0,0,0,0,0.42,0,0.42,0,0,0.42,0,0.42,0,0,0,0,0,0,0,15,2,952.380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706904.76190476,296714.285714286,354976.19047619,0,0,0,0,404261.904761905,2063260.99206349,2437341.03571429,4500602.02777778,177237.896825397,2383857.14285714,0,2383857.14285714,4814180.95238095,0,0,4814180.95238095,7851988.06746032,423137.352821786,92061.0128571429,515198.365678929,7713236.46091702,5901154.78968254,12666169.0198413,2899055.50853607,15565224.5283773,-1812081.67123448,13753142.8571429,800,38.0952380952381,0,38.0952380952381,342.095238095238,13384000,369142.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.380952380952,66.6666666666667,235.714285714286,0,0,0,73.8095238095238,0,376.190476190476,0,2.38095238095238,0,4.76190476190476,0,0,0,38.0952380952381,0,28.5714285714286,119.047619047619,0,0,0,121.428571428571,0,0,9.52380952380952,0,0,52.3809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4705882352941
2,0,0,0,0,0,0,0,0,0,0,0,37,4,394684,6,0.76,0,0.76,0,0,0.59,0,0.59,0,0,0.17,0,0.17,0,0,0.76,0,0.76,0,0,0.59,0,0.59,0,0,0.17,0,0.17,0,0,22.25,2,513.157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433763.15789474,1275342.10526316,0,0,15578.9473684211,0,0,80855.2631578947,2704468.41557018,792877.930055402,3497346.34562558,548521.929824561,2301500,648789.473684211,2950289.47368421,8214393.42105263,2092484.21052632,0,10306877.6315789,9987365.43334488,830815.165510429,159315.867828947,990131.033339377,11506024.454392,20855345.0929709,17552969.3807133,3940420.50702359,21493389.8877369,9349320.6385789,30842710.5263158,0,3902.63157894737,205.263157894737,4107.8947368421,4107.8947368421,0,30842710.5263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,475,0,201.315789473684,201.315789473684,0,61.8421052631579,0,738.157894736842,0,15.7894736842105,0,0,0,0,0,31.5789473684211,0,128.947368421053,265.789473684211,0,0,0,194.736842105263,0,0,50,0,0,51.3157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8
2,0,0,0,0,0,0,1069370,0,0,0,0,38,3,370532,6,0.84,0.84,0,0,0,0,0,0,0,0,0.84,0.84,0,0,0,0.84,0.84,0,0,0,0,0,0,0,0,0.84,0.84,0,0,0,17,2,714.285714285714,1273059.52380952,0,1273059.52380952,0,0,0,0,0,0,1273059.52380952,0,0,0,0,691238.095238095,773214.285714286,78107.1428571429,0,0,0,0,0,431523.4375,13957.9523809524,445481.389880952,0,0,2935011.9047619,2935011.9047619,8337184.52380952,1003336.9047619,179609.523809524,9520130.95238095,7589274.4808184,60116.5740985714,149879.3625,209995.936598571,8707496.75042303,13301761.2334673,13151763.389881,3145007.84136048,16296771.2312414,4594264.48304429,20891035.7142857,125,1610.71428571429,247.619047619048,1858.33333333333,1905.83333333333,1216250,19674785.7142857,0,0,0,0,0,0,0,0,7973.80952380952,0,0,0,0,7973.80952380952,496.428571428571,377.380952380952,119.047619047619,107.142857142857,0,107.142857142857,82.1428571428571,0,685.714285714286,0,23.8095238095238,0,0,0,0,0,33.3333333333333,0,46.4285714285714,288.095238095238,20.2380952380952,0,0,160.714285714286,0,0,50,0,0,63.0952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8461538461538
