"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","생대추 수량_ha당","건대추_찍초 수량_ha당","건대추_소계 수량_ha당","총 생산량(건대추 기준)_ha당","생대추 평가액_ha당","건대추_소계 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","골목 눕히기_시간_ha당","골목 뒤집기_시간_ha당","골목 벌채_시간_ha당","골목 세우기_시간_ha당","골목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,193310,0,0,910800,0,448140,99,2,423960,6,0.91,0.91,0,0,0,0.91,0.91,0,0,0,0,0,0,0,0,0.49,0.49,0,0,0,0.49,0.49,0,0,0,0,0,0,0,0,3.5,2,1040.81632653061,3167857.14285714,394510.204081633,2773346.93877551,0,0,0,0,0,394510.204081633,0,0,1858775.51020408,0,914571.428571429,445510.204081633,38367.3469387755,753469.387755102,0,0,0,0,621836.734693878,750323.129251701,6707461.2244898,7457784.3537415,352653.06122449,983673.469387755,0,983673.469387755,9530024.48979592,0,0,9530024.48979592,13261438.2312925,998561.367210884,180507.609795918,1179068.9770068,11692766.9361905,-4889601.49659864,22791462.7210884,2162742.44639456,24954205.167483,-16582368.4327891,8371836.73469388,1579.59183673469,0,0,600.244897959184,8371836.73469388,0,0,0,0,0,0,0,57.1428571428571,57.1428571428571,0,0,14085.7142857143,0,1959.18367346939,16044.8979591837,585.714285714286,324.489795918367,261.224489795918,0,0,0,12.2448979591837,0,597.959183673469,0,0,0,16.3265306122449,0,0,0,20.4081632653061,0,118.367346938776,314.285714285714,59.1836734693878,0,0,0,0,0,63.265306122449,0,0,0,0,0,0,4.08163265306122,2.04081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
1,0,0,0,0,0,4390,0,0,0,0,0,99,2,423960,6,0.62,0.62,0,0,0,0.62,0.62,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,3,2,1972.97297297297,11864.8648648649,11864.8648648649,0,0,0,0,0,0,11864.8648648649,0,0,0,0,0,583513.513513513,647297.297297297,8378.37837837838,0,0,0,0,0,163756.756756757,11689686.4864865,11853443.2432432,0,2864864.86486486,0,2864864.86486486,18674994.5945946,1283783.78378378,0,19958778.3783784,14812241.0810811,-984911.26854054,263001.922162162,-721909.346378378,20817950.1130811,30160731.8918919,33487235.6756757,2142955.51848649,35630191.1941622,9342781.77881081,44972972.972973,4497.2972972973,0,0,1708.97297297297,44972972.972973,0,0,0,0,0,0,0,2.7027027027027,2.7027027027027,0,0,0,0,0,0,964.864864864865,508.108108108108,456.756756756757,129.72972972973,0,129.72972972973,175.675675675676,0,1270.27027027027,0,0,0,8.10810810810811,0,0,0,208.108108108108,0,245.945945945946,332.432432432432,0,0,0,0,0,0,75.6756756756757,18.9189189189189,0,175.675675675676,0,0,0,2.7027027027027,48.6486486486487,0,0,0,0,0,0,0,0,0,0,0,0,0,154.054054054054,35.6
1,0,0,0,0,0,50960,0,0,796950,0,0,33,2,434170,6,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,20,2,1454.54545454545,2569424.24242424,154424.242424242,2415000,0,0,0,0,0,154424.242424242,0,0,2415000,0,0,1101515.15151515,305454.545454545,0,0,1573333.33333333,0,0,0,500669.191919192,936848.484848485,1437517.67676768,196363.636363636,5842424.24242424,0,5842424.24242424,9656978.78787879,0,0,9656978.78787879,7617778.58585859,63624.6818181818,188563.155151515,252187.836969697,15751590.8672727,14473130.5050505,17274757.3737374,6094612.07939394,23369369.4531313,-1278460.36222222,22090909.0909091,2736.36363636364,33.3333333333333,33.3333333333333,1073.15151515152,21890909.0909091,200000,0,0,0,0,0,0,9.09090909090909,9.09090909090909,0,0,74700,0,0,74700,475.757575757576,463.636363636364,12.1212121212121,0,0,0,78.7878787878788,0,554.545454545455,0,6.06060606060606,0,15.1515151515152,0,0,0,51.5151515151515,0,3.03030303030303,24.2424242424242,87.8787878787879,0,0,103.030303030303,0,0,221.212121212121,0,0,42.4242424242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.75
1,0,0,0,70700,0,0,0,0,0,0,46860,99,1,423960,6,0.4,0.4,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,5,2,2142.85714285714,839714.285714286,505000,334714.285714286,0,0,0,505000,0,0,0,0,0,0,334714.285714286,750714.285714286,33571.4285714286,445714.285714286,0,0,0,0,1168571.42857143,12598526.7857143,5447992.85714286,18046519.6428571,617142.857142857,13771428.5714286,0,13771428.5714286,14774971.4285714,241885.714285714,0,15016857.1428571,22567793.9285714,2174160.08965476,226363.771428571,2400523.86108333,30946923.8610833,-16259222.5,37342765.3571429,16171952.4325119,53514717.7896548,-47206146.3610833,6308571.42857143,985.714285714286,0,0,374.571428571429,6308571.42857143,0,0,0,0,0,650,0,0,650,0,0,0,0,128.571428571429,128.571428571429,992.857142857143,178.571428571429,814.285714285714,14.2857142857143,14.2857142857143,0,28.5714285714286,0,1035.71428571429,0,0,0,57.1428571428571,0,0,0,35.7142857142857,0,0,500,21.4285714285714,0,0,0,0,0,85.7142857142857,0,0,207.142857142857,0,0,0,28.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,28.3684210526316
1,0,0,0,77770,0,56240,110880,0,0,0,0,37,3,415002,6,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,28,2,500,489780,268020,221760,0,0,0,155540,0,112480,221760,0,0,0,0,978200,1882200,0,0,0,0,0,137200,5200741.66666667,257608.421052632,5458350.0877193,0,1928000,0,1928000,16351820,8347180,730000,25429000,17954620.1082869,531774.044814035,358563.112,890337.156814035,19653449.1362464,23790779.8917131,34789732.0877193,2818337.15681404,37608069.2445333,4137330.75546667,41745400,0,882,6302,6302,0,41745400,0,0,0,0,454,0,8,462,1272,0,0,0,0,1272,830,504,326,426,344,82,146,0,1402,0,4,0,2,0,0,0,62,0,420,546,38,0,0,180,0,0,54,0,0,86,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6578947368421
1,0,0,0,84840,0,101050,0,0,0,0,927910,33,3,434170,5,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,18,2,603.448275862069,1920344.82758621,320500,1599844.82758621,0,0,0,146275.862068966,0,174224.137931034,0,0,0,0,1599844.82758621,3466724.13793103,739827.586206896,0,0,0,0,0,1002931.03448276,381214.08045977,2397.68602540835,383611.766485178,50402.2988505747,1429310.34482759,0,1429310.34482759,18150091.3793103,16425189.6551724,0,34575281.0344828,24423201.3067151,40852.3341639443,517143.346896552,557995.681060496,20137397.4051984,143971798.693285,42573292.6860254,1987306.02588808,44560598.7119135,123834401.288086,168395000,11512.0689655172,0,4863.79310344828,9238.37931034483,110515862.068966,57879137.9310345,0,0,0,0,234.48275862069,0,6.89655172413793,241.379310344828,0,0,0,0,3312.06896551724,3312.06896551724,686.206896551724,686.206896551724,0,1081.03448275862,413.793103448276,667.241379310345,318.965517241379,0,2086.20689655172,0,3.44827586206897,0,13.7931034482759,0,0,0,89.6551724137931,0,300,1182.75862068966,94.8275862068965,0,0,0,0,0,137.931034482759,0,0,229.310344827586,0,0,0,15.5172413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9655172413793,13.6875
2,0,0,0,0,0,0,0,0,0,0,456920,37,3,415002,6,0.76,0,0.76,0,0,0.59,0,0.59,0,0,0.17,0,0.17,0,0,0.76,0,0.76,0,0,0.59,0,0.59,0,0,0.17,0,0.17,0,0,24.25,2,513.157894736842,601210.526315789,0,601210.526315789,0,0,0,0,0,0,0,0,0,0,601210.526315789,1205000,1135131.57894737,0,0,1366184.21052632,0,0,282236.842105263,2629175.43859649,98277.0083102493,2727452.44690674,810000,2215789.47368421,552631.578947368,2768421.05263158,19862277.6315789,3640855.26315789,0,23503132.8947368,12735704.4469067,133957.812128347,348351.911052632,482309.723180979,22560376.8284441,13978637.6583564,32045350.4995383,3250730.77581256,35296081.2753509,-8581739.17008772,26714342.1052632,0,377.631578947368,3943.42105263158,3943.42105263158,0,26714342.1052632,0,0,0,0,0,0,0,0,0,0,0,0,842.105263157895,842.105263157895,1102.63157894737,797.368421052632,305.263157894737,259.210526315789,117.105263157895,142.105263157895,76.3157894736842,0,1438.15789473684,0,3.94736842105263,0,3.94736842105263,0,0,0,36.8421052631579,0,255.263157894737,650,9.21052631578947,0,0,317.105263157895,0,0,67.1052631578947,0,0,94.7368421052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6578947368421
2,0,0,0,0,0,0,0,0,2277000,0,2343200,99,4,423960,6,1.31,1.31,0,0,0,1.31,1.31,0,0,0,0,0,0,0,0,1.31,1.31,0,0,0,1.31,1.31,0,0,0,0,0,0,0,0,13.1666666666667,1,847.328244274809,3526870.22900763,0,3526870.22900763,0,0,0,0,0,0,0,0,1738167.9389313,0,1788702.29007634,1143511.45038168,138320.610687023,0,0,44885.4961832061,0,0,104809.160305344,2377185.11450382,81746.4845319405,2458931.59903576,205979.643765903,4341221.3740458,0,4341221.3740458,6602381.67938931,6786992.36641221,606870.229007634,13996244.2748092,15141879.388264,381328.146605062,235037.551145038,616365.6977501,11859220.1477076,24935067.1766215,22043512.4641757,4957587.0717959,27001099.5359716,13075847.0289139,40076946.5648855,5273.28244274809,0,0,2003.84732824427,40076946.5648855,0,0,0,0,0,0,0,0,0,0,0,12545.0381679389,0,15883.2061068702,28428.2442748092,295.419847328244,295.419847328244,0,309.160305343511,217.557251908397,91.6030534351145,83.969465648855,82.4427480916031,770.992366412214,0,0,0,0,0,0,0,77.0992366412214,0,0,259.541984732824,145.038167938931,0,0,0,0,170.229007633588,29.0076335877863,0,0,86.2595419847328,0,0,0,3.81679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16666666666667
2,0,0,0,0,0,101930,1607760,0,0,0,0,37,4,415002,5,1.41,1.34,0.07,0,0,1.41,1.34,0.07,0,0,0,0,0,0,0,1.41,1.34,0.07,0,0,1.41,1.34,0.07,0,0,0,0,0,0,0,25.8,2,492.90780141844,1212546.09929078,72290.780141844,1140255.31914894,0,0,0,0,0,72290.780141844,1140255.31914894,0,0,0,0,546453.90070922,1053546.09929078,1106382.9787234,0,0,0,0,27375.8865248227,3145174.3498818,98082.8667413214,3243257.21662312,612765.957446808,1981560.28368794,0,1981560.28368794,9316290.07092199,5226348.93617021,803546.09929078,15346185.106383,13732458.3189826,344520.698658703,239226.876879433,583747.575538136,12396364.7852354,71063711.8937833,23563515.2449919,2565307.85922608,26128823.104218,58667347.108548,84796170.2127659,0,782.269503546099,12317.7304964539,12317.7304964539,0,84796170.2127659,0,0,0,0,0,0,2.83687943262411,2.83687943262411,5412.76595744681,0,0,0,0,5412.76595744681,486.524822695035,251.77304964539,234.751773049645,339.716312056738,178.723404255319,160.992907801418,84.3971631205674,0,910.63829787234,0,2.12765957446809,0,0,0,0,0,32.6241134751773,0,185.106382978723,460.992907801418,20.5673758865248,0,0,102.127659574468,0,0,49.645390070922,0,0,51.063829787234,0,0,0,5.67375886524823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709219858156028,22.25
2,0,0,0,0,0,102380,0,0,0,0,0,37,1,415002,5,0.22,0,0.22,0,0,0.22,0,0.22,0,0,0,0,0,0,0,0.22,0,0.22,0,0,0.22,0,0.22,0,0,0,0,0,0,0,26,2,772.727272727273,465363.636363636,465363.636363636,0,0,0,0,0,0,465363.636363636,0,0,0,0,0,1208636.36363636,149545.454545455,0,0,0,0,0,98181.8181818182,353257.575757576,43403.1100478469,396660.685805423,200303.03030303,3068181.81818182,0,3068181.81818182,28637904.5454545,1279090.90909091,0,29916995.4545455,4212783.89792664,100801.902009569,394800.161818182,495602.063827751,32201688.4274641,47087216.1020734,32850688.4433812,3563783.88200957,36414472.3253908,14885527.6746092,51300000,5181.81818181818,0,0,1969.09090909091,51300000,0,0,0,0,0,0,0,27.2727272727273,27.2727272727273,0,0,0,0,0,0,1681.81818181818,1186.36363636364,495.454545454545,90.9090909090909,0,90.9090909090909,95.4545454545455,0,1868.18181818182,0,0,0,0,0,0,0,136.363636363636,0,0,290.909090909091,0,0,0,690.909090909091,0,0,645.454545454545,0,0,104.545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6315789473684
