"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","생대추 수량_ha당","건대추_찍초 수량_ha당","건대추_소계 수량_ha당","총 생산량(건대추 기준)_ha당","생대추 평가액_ha당","건대추_소계 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,31,2,430515,2,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,5,1,909.090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954848.484848485,290909.090909091,575757.575757576,0,0,0,0,4275757.57575758,472727.272727273,26196.1722488038,498923.444976077,3003787.87878788,2936363.63636364,0,2936363.63636364,9154596.96969697,0,0,9154596.96969697,10030499.0510367,477296.331738437,253181.036969697,730477.368708134,12821437.9747687,5787682.76714514,19185096.0207337,3666841.00507177,22851937.0258054,-7033755.2076236,15818181.8181818,1818.18181818182,0,0,690.909090909091,15818181.8181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.545454545455,454.545454545455,0,0,0,0,33.3333333333333,0,487.878787878788,0,0,0,3.03030303030303,0,0,0,90.9090909090909,0,142.424242424242,63.6363636363636,0,0,0,0,0,0,51.5151515151515,0,0,75.7575757575758,0,0,0,0,54.5454545454545,0,0,0,0,0,6.06060606060606,35.8333333333333
1,0,0,0,0,0,0,0,0,600000,0,66000,34,3,390656,2,1.09,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0.58,0.58,0,0,0,0.58,0.58,0,0,0,0,0,0,0,0,4.5,2,879.310344827586,1148275.86206897,0,1148275.86206897,0,0,0,0,0,0,0,0,1034482.75862069,0,113793.103448276,403793.103448276,804310.344827586,280172.413793103,0,0,108620.689655172,0,210000,742174.928160919,681406.896551724,1423581.82471264,161063.218390805,617241.379310345,0,617241.379310345,14285420.6896552,17241.3793103448,0,14302662.0689655,4947714.8362069,276201.85187931,286480.052413793,562681.904293103,15465343.9732586,716078.267241379,19233135.5258621,1179923.28360345,20413058.8094655,-14749265.7060172,5663793.10344828,775.862068965517,0,0,294.827586206897,5663793.10344828,0,0,0,0,0,0,0,0,0,0,0,15724.1379310345,0,186.206896551724,15910.3448275862,662.068965517241,427.586206896552,234.48275862069,1.72413793103448,1.72413793103448,0,139.655172413793,0,803.448275862069,0,0,0,13.7931034482759,0,0,0,41.3793103448276,0,31.0344827586207,386.206896551724,93.1034482758621,0,0,0,0,12.0689655172414,184.48275862069,0,0,0,0,0,0,0,8.62068965517241,0,0,0,0,0,32.7586206896552,7.3
1,0,0,0,0,0,0,1000000,0,0,0,528000,33,3,445322,2,0.67,0.5,0.17,0,0,0,0,0,0,0,0.67,0.5,0.17,0,0,0.67,0.5,0.17,0,0,0,0,0,0,0,0.67,0.5,0.17,0,0,9,1,1492.53731343284,2280597.01492537,0,2280597.01492537,0,0,0,0,0,0,1492537.31343284,0,0,0,788059.701492537,1075970.14925373,355522.388059701,0,0,3134328.35820896,0,0,940298.507462687,489092.039800995,5335.82089552239,494427.860696517,713320.895522388,0,7479104.47761194,7479104.47761194,24697592.5373134,4770644.7761194,0,29468237.3134328,21689536.4278607,163261.227114428,618432.231940298,781693.459054726,25479285.9963682,-13204760.3084577,38908024.4875622,8260797.93666667,47168822.4242289,-38684046.3048259,8484776.11940298,447.761194029851,70.1492537313433,301.492537313433,471.641791044776,4970149.25373134,3514626.86567164,0,0,0,0,0,0,0,0,5970.14925373134,0,0,0,2292.53731343284,8262.68656716418,1158.20895522388,1158.20895522388,0,255.223880597015,255.223880597015,0,153.731343283582,0,1567.16417910448,0,17.910447761194,0,2.98507462686567,0,0,0,258.208955223881,0,283.582089552239,208.955223880597,71.6417910447761,0,0,370.149253731343,0,0,258.208955223881,0,0,89.5522388059701,0,0,0,0,0,0,0,0,0,0,5.97014925373134,8.2962962962963
1,0,0,0,0,0,0,264000,0,0,0,0,31,3,430515,2,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0,0,0,0,0,8,2,666.666666666667,440000,0,440000,0,0,0,0,0,0,440000,0,0,0,0,763333.333333333,660000,133333.333333333,0,0,0,0,207666.666666667,5402733.33333333,145866.666666667,5548600,991375,2483333.33333333,0,2483333.33333333,5882446.66666667,0,0,5882446.66666667,9174823.33333333,742534.918166667,134240.548,876775.466166667,9242555.46616667,10935060,15057270,3360108.7995,18417378.7995,1692504.53383334,20109883.3333333,2000,0,516.666666666667,1276.66666666667,15200000,4909883.33333333,0,0,0,0,0,0,0,0,3666.66666666667,0,0,0,0,3666.66666666667,203.333333333333,203.333333333333,0,0,0,0,100,0,303.333333333333,0,0,0,1.66666666666667,0,0,0,80,0,38.3333333333333,66.6666666666667,28.3333333333333,0,0,0,0,0,40,0,0,38.3333333333333,0,0,0,0,8.33333333333333,0,0,0,0,0,1.66666666666667,10.6
1,0,0,0,0,0,0,53000,0,0,0,0,99,1,432825,2,0.13,0,0.13,0,0,0.13,0,0.13,0,0,0,0,0,0,0,0.11,0,0.11,0,0,0.11,0,0.11,0,0,0,0,0,0,0,4,2,909.090909090909,481818.181818182,0,481818.181818182,0,0,0,0,0,0,481818.181818182,0,0,0,0,0,315909.090909091,0,0,0,0,0,0,797364.962121212,10036.3636363636,807401.325757576,1427575.75757576,5418181.81818182,0,5418181.81818182,8655100,0,0,8655100,3465529.35606061,385216.948888826,156916.932727273,542133.881616099,14615415.6997979,2736079.73484848,12120629.3560606,5960315.69979792,18080945.0558585,-11879335.9649494,6201609.09090909,754.545454545455,0,0,286.727272727273,6201609.09090909,0,0,0,0,0,0,0,0,0,2727.27272727273,0,0,0,0,2727.27272727273,209.090909090909,209.090909090909,0,0,0,0,227.272727272727,0,436.363636363636,0,0,0,0,0,0,0,0,0,0,36.3636363636364,72.7272727272727,0,0,0,0,0,81.8181818181818,0,0,227.272727272727,0,0,0,0,0,0,0,0,0,0,18.1818181818182,56.1333333333333
1,0,0,0,0,0,46000,260000,0,0,0,0,37,3,421160,2,0.6,0,0.6,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0.6,0,0.6,0,0,0,0,0,0,0,30,2,416.666666666667,510000,76666.6666666667,433333.333333333,0,0,0,0,0,76666.6666666667,433333.333333333,0,0,0,0,1035166.66666667,1478000,0,83333.3333333333,291666.666666667,0,0,562666.666666667,3313195.83333333,335454.122807018,3648649.95614035,0,743333.333333333,0,743333.333333333,14653991.6666667,9164920,396666.666666667,24215578.3333333,17348190.677221,601955.425024269,467728.433666667,1069683.85869094,16711048.1376103,24568044.322779,32246221.622807,1813017.19202427,34059238.8148313,7856996.18516871,41916235,0,1243.33333333333,6211.66666666667,6211.66666666667,0,41916235,0,0,0,0,0,0,0.333333333333333,0.333333333333333,2500,0,0,0,0,2500,700,381.666666666667,318.333333333333,511.666666666667,398.333333333333,113.333333333333,136.666666666667,0,1348.33333333333,0,6.66666666666667,0,0,0,0,0,50,0,651.666666666667,375,18.3333333333333,0,0,0,0,0,116.666666666667,0,0,90,0,0,0,40,0,0,0,0,0,0,0,9.22222222222222
1,0,0,0,0,0,64000,0,0,0,0,672000,33,2,445322,2,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,21,2,1454.54545454545,2230303.03030303,193939.393939394,2036363.63636364,0,0,0,0,0,193939.393939394,0,0,0,0,2036363.63636364,1535151.51515152,143636.363636364,0,0,0,0,0,0,221786.616161616,111612.121212121,333398.737373737,64318.1818181818,4351515.15151515,0,4351515.15151515,4900096.96969697,0,0,4900096.96969697,4752129.82828283,23799.5277323232,146232.518787879,170032.046520202,9421644.16773232,5610791.38383838,9652226.7979798,4521547.19803535,14173773.9960152,-3810852.78389394,10362921.2121212,918.181818181818,24.2424242424242,24.2424242424242,373.151515151515,10191818.1818182,171103.03030303,0,0,0,0,0,0,0.909090909090909,0.909090909090909,0,0,0,0,3103.0303030303,3103.0303030303,166.666666666667,160.606060606061,6.06060606060606,0,0,0,87.8787878787879,0,254.545454545455,0,0,0,12.1212121212121,0,0,0,36.3636363636364,0,6.06060606060606,51.5151515151515,24.2424242424242,0,0,0,0,0,66.6666666666667,0,0,57.5757575757576,0,0,0,0,0,0,0,0,0,0,0,26.7777777777778
1,0,0,0,0,21000,133000,0,0,0,0,1232000,33,3,445322,1,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,0.58,0,0.58,0,0,0.58,0,0.58,0,0,0,0,0,0,0,18,2,603.448275862069,2389655.17241379,265517.24137931,2124137.93103448,0,0,0,0,36206.8965517241,229310.344827586,0,0,0,0,2124137.93103448,4013793.10344828,807931.034482758,0,0,0,0,0,0,1509133.62068966,19684.664246824,1528818.28493648,235431.034482759,2560344.82758621,0,2560344.82758621,29056915.5172414,4294510.34482759,0,33351425.862069,13715460.9745917,273653.324175741,673342.565862069,946995.89003781,32564256.2348654,56846435.5771325,42772376.491833,3507340.71762402,46279717.209457,24282179.3422671,70561896.5517241,3879.31034482759,427.586206896552,2301.72413793103,3775.86206896552,43060344.8275862,27501551.7241379,0,0,0,0,0,55.1724137931034,22.4137931034483,77.5862068965517,0,0,0,0,6179.31034482759,6179.31034482759,1387.93103448276,1075.86206896552,312.068965517241,289.655172413793,137.931034482759,151.724137931034,217.241379310345,0,1894.8275862069,0,29.3103448275862,0,10.3448275862069,0,0,0,94.8275862068965,0,248.275862068965,620.689655172414,122.413793103448,0,0,403.448275862069,0,0,224.137931034483,0,0,141.379310344828,0,0,0,0,0,0,0,0,0,0,0,8.2962962962963
1,0,0,0,76000,0,0,0,0,240000,0,120000,37,1,421160,1,0.19,0,0.19,0,0,0.19,0,0.19,0,0,0,0,0,0,0,0.19,0,0.19,0,0,0.19,0,0.19,0,0,0,0,0,0,0,23,2,500,2294736.84210526,400000,1894736.84210526,0,0,0,400000,0,0,0,0,1263157.89473684,0,631578.947368421,1258947.36842105,1907368.42105263,0,0,5157894.73684211,0,0,926315.789473684,4590561.40350877,830289.473684211,5420850.87719298,301710.526315789,2236842.10526316,0,2236842.10526316,35173663.1578947,6599157.89473684,0,41772821.0526316,24288142.4561404,1289925.97498246,885080.197894737,2175006.17287719,39585511.4360351,52971331.2280702,59461805.6140351,4411848.27814035,63873653.8921754,13385819.7920351,77259473.6842105,0,978.947368421053,10784.2105263158,10784.2105263158,0,77259473.6842105,0,0,0,0,842.105263157895,0,0,842.105263157895,0,0,24000,0,1010.52631578947,25010.5263157895,1826.31578947368,1431.57894736842,394.736842105263,473.684210526316,105.263157894737,368.421052631579,131.578947368421,0,2431.57894736842,0,78.9473684210526,0,0,0,0,0,36.8421052631579,0,347.368421052632,894.736842105263,78.9473684210526,0,0,673.684210526316,0,0,215.789473684211,0,0,84.2105263157895,0,0,0,0,0,0,0,0,0,0,21.0526315789474,58.2941176470588
2,0,0,0,0,0,0,0,0,0,0,0,33,3,445322,2,0.82,0.1,0.72,0,0,0.1,0.1,0,0,0,0.72,0,0.72,0,0,0.82,0.1,0.72,0,0,0.1,0.1,0,0,0,0.72,0,0.72,0,0,12,1,1195.12195121951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014024.3902439,298414.634146341,0,0,0,0,0,0,907846.798780488,63292.6829268293,971139.481707317,0,657317.073170732,2607317.07317073,3264634.14634146,14165441.4634146,1768292.68292683,0,15933734.1463415,7104510.26219512,72738.9457571138,286286.474634146,359025.42039126,15181783.9569766,9139392.17682927,18662634.652439,3623659.56673272,22286294.2191717,-6042391.78014736,16243902.4390244,1097.56097560976,0,0,417.073170731707,16243902.4390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.731707317073,576.829268292683,43.9024390243902,126.829268292683,48.780487804878,78.0487804878049,135.365853658537,0,882.926829268293,0,0,0,6.09756097560976,0,0,0,52.4390243902439,0,87.8048780487805,165.853658536585,142.682926829268,0,0,62.1951219512195,0,0,276.829268292683,0,0,86.5853658536585,0,0,0,0,0,0,0,0,0,0,2.4390243902439,8.2962962962963
