"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","기타재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","생대추 수량_ha당","건대추_찍초 수량_ha당","건대추_소계 수량_ha당","총 생산량(건대추 기준)_ha당","생대추 평가액_ha당","건대추_소계 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,1126000,0,0,0,0,33,3,454036,2,0.67,0.5,0.17,0,0,0,0,0,0,0,0.67,0.5,0.17,0,0,0.67,0.5,0.17,0,0,0,0,0,0,0,0.67,0.5,0.17,0,0,10,1,1492.53731343284,1680597.01492537,0,1680597.01492537,0,0,0,0,0,0,1680597.01492537,0,0,0,0,1456716.41791045,473134.328358209,0,0,0,0,0,0,420062.189054726,4604.4776119403,424666.666666667,892412.935323383,0,8773134.32835821,8773134.32835821,16430829.8507463,5184594.02985075,0,21615423.880597,19339291.721393,189043.816355721,508301.31358209,697345.129937811,17128174.9806841,3299514.24875622,26996987.2437811,9470479.45829602,36467466.7020771,-13828660.7319279,22638805.9701493,523.880597014925,283.582089552239,1074.62686567164,1273.70149253731,6810447.76119403,15828358.2089552,0,0,0,0,0,0,0,0,59.7014925373134,0,0,0,0,59.7014925373134,682.089552238806,682.089552238806,0,291.044776119403,237.313432835821,53.7313432835821,164.179104477612,0,1137.31343283582,0,7.46268656716418,0,2.98507462686567,0,0,0,59.7014925373134,0,119.402985074627,408.955223880597,71.6417910447761,0,0,0,0,0,362.686567164179,0,0,104.477611940299,0,0,0,0,0,0,0,0,0,0,0,7.72413793103448
1,0,0,0,0,0,0,27000,0,0,0,164000,34,3,405317,2,1.09,1.09,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0.58,0.58,0,0,0,0.58,0.58,0,0,0,0,0,0,0,0,5.5,2,879.310344827586,329310.344827586,0,329310.344827586,0,0,0,0,0,0,46551.724137931,0,0,0,282758.620689655,548275.862068965,51724.1379310345,0,0,0,0,0,53448.275862069,589107.75862069,936846.551724138,1525954.31034483,122155.172413793,675862.068965517,0,675862.068965517,4756022.4137931,0,0,4756022.4137931,3036185.10344828,315700.052911638,115636.437844828,431336.490756466,5863220.97351509,-7066.13793103396,7792207.51724138,1107198.55972198,8899406.07696336,-5870287.11144612,3029118.96551724,412.068965517241,0,0,156.586206896552,3029118.96551724,0,0,0,0,0,0,0,0,0,534.48275862069,0,0,0,39.6551724137931,574.137931034483,268.965517241379,143.103448275862,125.862068965517,0,0,0,8.62068965517241,0,277.586206896552,0,0,0,5.17241379310345,0,0,0,24.1379310344828,0,0,103.448275862069,8.62068965517241,0,0,0,0,0,124.137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0689655172414,7.3
1,0,0,0,0,0,102000,148000,0,0,0,0,99,4,441890,2,2.47,1.46,1.01,0,0,0.92,0.8,0.12,0,0,1.55,0.66,0.89,0,0,2.47,1.46,1.01,0,0,0.92,0.8,0.12,0,0,1.55,0.66,0.89,0,0,26.5555555555556,1,753.036437246963,101214.574898785,41295.5465587045,59919.028340081,0,0,0,0,0,41295.5465587045,59919.028340081,0,0,0,0,1885425.10121457,1622186.23481781,0,0,93927.1255060729,0,0,3156680.16194332,3700512.82051282,265414.281317328,3965927.10183015,843792.172739541,920647.773279352,2478947.36842105,3399595.1417004,7516247.36842105,6601061.13360324,0,14117308.5020243,21191050.9749745,644661.753024007,422681.345263158,1067343.09828717,9504238.23998757,27645791.1302886,26228350.9749745,4466938.23998757,30695289.2149621,18141552.890301,48836842.1052632,259.109311740891,3113.36032388664,8206.47773279352,8304.93927125506,1165991.90283401,47670850.2024291,0,0,0,0,0,0,4.04858299595142,4.04858299595142,506.072874493927,0,0,0,0,506.072874493927,304.048582995951,178.137651821862,125.910931174089,321.457489878543,156.275303643725,165.182186234818,104.048582995951,55.8704453441295,785.425101214575,0,29.1497975708502,0,1.61943319838057,0,0,0,19.0283400809717,0,190.283400809717,234.008097165992,2.83400809716599,0,0,237.246963562753,0,0,29.1497975708502,0,0,42.1052631578947,0,0,0,0,0,0,0,0,0,0,0,1.53846153846154
1,0,0,0,0,0,46000,0,0,0,0,143000,31,3,443278,2,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0.6,0,0.6,0,0,0.6,0,0,0,0,0,0,9,2,666.666666666667,315000,76666.6666666667,238333.333333333,0,0,0,0,0,76666.6666666667,0,0,0,0,238333.333333333,940000,1472500,2615000,0,0,0,0,0,8259833.33333333,172266.666666667,8432100,751666.666666667,2708333.33333333,0,2708333.33333333,16223410,4919183.33333333,0,21142593.3333333,19888728,1083909.06866667,533674.630666667,1617583.69933333,20549327.0326667,27244605.3333333,36112138,4325917.03266667,40438055.0326667,6695278.30066667,47133333.3333333,6733.33333333333,0,0,2558.66666666667,47133333.3333333,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,1516.66666666667,1516.66666666667,848.333333333333,848.333333333333,0,258.333333333333,258.333333333333,0,3.33333333333333,0,1110,0,0,0,0,0,0,0,188.333333333333,0,233.333333333333,310,25,0,0,10,0,10,210,0,0,123.333333333333,0,0,0,0,0,0,0,0,0,0,0,10.6
1,0,0,0,0,0,82000,0,0,0,0,178000,33,2,454036,1,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0.3,0,0.3,0,0,0,0,0,0,0,22,2,1600,866666.666666667,273333.333333333,593333.333333333,0,0,0,0,0,273333.333333333,0,0,0,0,593333.333333333,1896666.66666667,176666.666666667,0,0,0,0,0,843333.333333333,172986.111111111,106093.333333333,279079.444444444,74916.6666666667,5220000,0,5220000,13758956.6666667,1967730,0,15726686.6666667,6559095.44444444,20591.5290388889,393126.903,413718.432038889,19392675.0987056,147038904.555556,20318052.1111111,5633718.43203889,25951770.54315,127646229.45685,153598000,7540,333.333333333333,333.333333333333,3198.53333333333,150800000,2798000,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,1933.33333333333,1933.33333333333,576.666666666667,490,86.6666666666667,103.333333333333,103.333333333333,0,146.666666666667,0,826.666666666667,0,3.33333333333333,0,6.66666666666667,0,0,0,53.3333333333333,0,6.66666666666667,380,46.6666666666667,0,0,50,0,0,190,0,0,90,0,0,0,0,0,0,0,0,0,0,0,28.3529411764706
1,0,0,0,584000,0,1928000,0,0,0,0,0,37,4,427338,2,1.72,0,1.72,0,0,0.83,0,0.83,0,0,0.89,0,0.89,0,0,1.55,0,1.55,0,0,0.66,0,0.66,0,0,0.89,0,0.89,0,0,35.8333333333333,2,380.645161290323,1620645.16129032,1620645.16129032,0,0,0,0,376774.193548387,0,1243870.96774194,0,0,0,0,0,4945806.4516129,3085161.29032258,0,0,10322.5806451613,109677.419354839,0,0,1088107.52688172,111398.709677419,1199506.23655914,498172.043010753,1572903.22580645,2648387.09677419,4221290.32258065,39000421.9354839,19626091.6129032,989032.258064516,59615545.8064516,34502201.0537417,39978.8653333333,1398151.248,1438130.11333333,42669394.3714196,19962764.1075486,71512174.9892473,5659420.43591398,77171595.4251613,-22706630.263871,54464965.1612903,0,0,7076.12903225807,7076.12903225807,0,54464965.1612903,0,0,0,0,787.096774193549,0,2.58064516129032,789.677419354839,0,0,0,0,0,0,1774.83870967742,1338.70967741936,436.129032258065,1187.74193548387,457.41935483871,730.322580645161,328.387096774194,23.2258064516129,3314.1935483871,0,207.096774193548,0,32.258064516129,0,0,0,42.5806451612903,0,206.451612903226,337.41935483871,53.5483870967742,0,0,1736.77419354839,0,0,416.774193548387,0,0,281.290322580645,0,0,0,0,0,0,0,0,0,0,0,9.65116279069767
1,0,0,0,74000,0,42000,455000,0,0,0,0,37,1,427338,2,0.19,0,0.19,0,0,0.19,0,0.19,0,0,0,0,0,0,0,0.19,0,0.19,0,0,0.19,0,0.19,0,0,0,0,0,0,0,24,2,500,3005263.15789474,610526.315789474,2394736.84210526,0,0,0,389473.684210526,0,221052.631578947,2394736.84210526,0,0,0,0,1573684.21052632,3826315.78947368,0,0,12236842.1052632,563157.894736842,0,268421.052631579,4694701.75438596,635968.421052632,5330670.1754386,377631.578947368,2436842.10526316,0,2436842.10526316,16264731.5789474,7949173.68421053,0,24213905.2631579,35558497.6491228,1340976.20047368,920604.927894737,2261581.12836842,20963154.812579,12383554.9824561,51823229.2280702,4698423.23363158,56521652.4617018,-8579599.83012281,47942052.6315789,0,1421.05263157895,7247.36842105263,7247.36842105263,0,47942052.631579,0,0,0,0,736.842105263158,0,15.7894736842105,752.631578947368,26631.5789473684,0,0,0,0,26631.5789473684,705.263157894737,515.789473684211,189.473684210526,521.052631578947,452.631578947368,68.4210526315789,168.421052631579,0,1394.73684210526,0,15.7894736842105,0,0,0,0,0,31.5789473684211,0,210.526315789474,294.736842105263,110.526315789474,0,0,447.368421052632,0,0,94.7368421052632,0,0,173.684210526316,0,0,0,0,0,0,0,0,0,0,15.7894736842105,55.0555555555556
2,0,0,0,0,0,0,0,0,0,0,0,31,2,443278,2,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,6,1,857.142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574285.714285714,0,1108571.42857143,0,0,0,0,0,642142.857142857,29172.9323308271,671315.789473684,2147619.04761905,3020000,0,3020000,6461188.57142857,0,0,6461188.57142857,4945069.97994987,409353.815162907,164102.521142857,573456.336305764,10054644.9077343,8294930.02005012,11406258.5513784,3593456.33630576,14999714.8876842,-1759714.88768421,13240000,1428.57142857143,0,0,542.857142857143,13240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.714285714286,317.142857142857,28.5714285714286,0,0,0,0,0,345.714285714286,0,0,0,0,0,0,0,57.1428571428571,0,71.4285714285714,94.2857142857143,0,0,0,0,0,0,54.2857142857143,0,0,62.8571428571429,0,0,0,0,0,0,0,0,0,0,5.71428571428571,35.8333333333333
2,0,0,0,0,0,0,0,0,0,0,0,33,2,454036,2,0.33,0.33,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0,12.5,2,969.69696969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124242.42424242,706060.606060606,0,0,0,0,0,0,468277.777777778,2556878.78787879,3025156.56565657,1294191.91919192,6190909.09090909,0,6190909.09090909,16483390.9090909,903030.303030303,0,17386421.2121212,7506717.81818182,245512.183616162,387216.993484849,632729.17710101,23307029.177101,11559948.8484848,23990108.7272727,6823638.2680101,30813746.9952828,-11747080.3286162,19066666.6666667,709.090909090909,151.515151515152,636.363636363636,905.818181818182,9218181.81818182,9848484.84848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636.363636363636,636.363636363636,0,72.7272727272727,0,72.7272727272727,206.060606060606,0,915.151515151515,0,12.1212121212121,0,6.06060606060606,0,0,0,69.6969696969697,0,72.7272727272727,254.545454545455,0,0,0,0,0,0,363.636363636364,0,0,136.363636363636,0,0,0,0,0,0,0,0,0,0,0,28.3529411764706
2,0,0,0,0,0,0,0,0,0,0,0,99,1,441890,2,0.11,0.11,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,0.11,0.11,0,0,0,0.11,0.11,0,0,0,0,0,0,0,0,11,2,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98181.8181818182,0,0,9090.90909090909,0,0,0,704090.909090909,63672.7272727273,767763.636363636,0,1109090.90909091,0,1109090.90909091,1862372.72727273,0,0,1862372.72727273,1316926.36363636,228383.873545455,39688.3559090909,268072.229454545,3239535.86581818,2773982.72727273,3179299.09090909,1377163.13854545,4556462.22945455,-465553.138545454,4090909.09090909,0,90.9090909090909,363.636363636364,363.636363636364,0,4090909.09090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3636363636364,36.3636363636364,0,0,0,0,54.5454545454545,0,90.9090909090909,0,9.09090909090909,0,0,0,0,0,0,0,0,18.1818181818182,0,0,0,0,0,0,0,0,0,54.5454545454545,0,0,0,0,0,0,0,0,0,0,9.09090909090909,56.1333333333333
