"연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","지역별","규모별","조성비","경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액1","무기질비료_인산질_지출액1","무기질비료_가리질_지출액1","무기질비료_복합_지출액1","무기질비료_토양개량제_지출액1","무기질비료_기타_지출액1","유기질비료_퇴구비_지출액1","유기질비료_계분_지출액1","유기질비료_우분_지출액1","유기질비료_돈분_지출액1","유기질비료_기타_지출액1","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","생감 수량_ha당","반건시 수량_ha당","건시 수량_ha당","감말랭이 수량_ha당","건시 환산 소계 수량_ha당","총 생산량(생감 기준)_ha당","생감 기준평가액_ha당","건시 (생감 기준) 소계 평가액_ha당","총 생산액(생감 기준)_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","표고목 눕히기_시간_ha당","표고목 뒤집기_시간_ha당","표고목 벌채_시간_ha당","표고목 세우기_시간_ha당","표고목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","내급비","소득","부가가치","직접생산비","간접생산비","생산비 합계_ha당","순수익","가중치"
1,0,0,0,0,0,0,128920,0,0,0,0,36,1,247791,6,0.24,0,0,0.24,0,0.24,0,0,0.24,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,5,2,510,1289200,0,1289200,0,0,0,0,0,0,1289200,0,0,0,0,0,226800,0,0,322800,0,0,0,2278867,61308.68421,2340175.684,1243392.5,245700,0,245700,6186900,0,0,6186900,5670159.184,534491.8783,97512.255,632004.1333,1010,0,0,0,0,1010,2223010,0,2223010,0,0,0,0,0,0,0,0,8850,0,0,0,0,8850,300,260,40,0,0,0,100,0,400,0,0,0,0,0,0,0,0,0,10,60,50,0,0,0,0,20,160,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7064604.133,-3447149.184,-3447149.184,11857059.18,877704.1333,12734763.32,-10511753.32,98.38888889
1,0,0,0,0,0,0,1706430,0,0,0,0,35,3,255069,6,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,13.4375,1,424.8484848,344733.3333,0,344733.3333,0,0,0,0,0,0,344733.3333,0,0,0,0,435597.9798,268282.8283,50408.08081,196935.3535,129575.7576,289705.0505,0,208206.0606,1662190.412,161666.6869,1823857.099,468332.8283,2588480.808,0,2588480.808,2902501.414,5619073.131,515558.3838,9037132.929,10429732.49,251854.7831,135470.1878,387324.9709,0,0,3894.949495,191.3131313,15964.72929,15964.72929,0,30253162.01,30253162.01,0,0,0,0,0,0,0,0,4647.676768,0,0,0,0,4647.676768,102.020202,94.54545455,7.474747475,507.4747475,275.7575758,231.7171717,72.72727273,0.808080808,683.030303,0,0,0,0,0,0,0,20.2020202,0,55.95959596,398.5858586,16.56565657,3.838383838,0,0,0,2.424242424,137.1717172,0,0,48.08080808,0,0,0,0,0,0.202020202,0,0,0,0,0,0,0,0,0,0,0,0,0,6053909.593,19823429.52,26072163.69,13507836.3,2975805.779,16483642.08,13769519.93,34.33333333
1,0,0,0,0,0,0,819460,0,0,0,0,36,2,247791,6,2.24,0,0,2.24,0,2.24,0,0,2.24,0,0,0,0,0,0,0.66,0,0,0.66,0,0.66,0,0,0.66,0,0,0,0,0,0,36,2,378.7878788,1241606.061,0,1241606.061,0,0,0,0,0,0,1241606.061,0,0,0,0,473454.5455,477954.5455,353681.8182,0,0,0,0,179196.9697,357120,204649.3062,561769.3062,24867.80303,517000,0,517000,12259260.61,1247457.576,256695.4545,13763413.64,4831487.581,216830.0148,200345.087,417175.1018,4390.909091,0,0,4392.424242,13309.04545,17699.95455,4351390.909,20855274.23,25206665.14,0,0,0,0,0,0,0,0,6166.666667,0,0,0,0,6166.666667,269.6969697,240.9090909,28.78787879,107.5757576,13.63636364,93.93939394,434.8484848,0,812.1212121,0,0,0,0,0,0,0,87.87878788,0,0,142.4242424,25.75757576,0,0,0,0,54.54545455,380.3030303,0,0,121.2121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13426423.21,20375177.56,21646343.09,17323735.69,934175.1018,18257910.79,6948754.35,92.11111111
1,0,0,0,0,0,58970,420040,0,0,0,0,35,1,255069,6,0.27,0.27,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,0.27,0.27,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0,7,2,444.4444444,1774111.111,218407.4074,1555703.704,0,0,0,0,0,218407.4074,1555703.704,0,0,0,0,343148.1481,406000,798037.037,0,23925.92593,0,0,1242148.148,4524678.673,0,4524678.673,537268.5185,1579740.741,0,1579740.741,3662711.111,0,0,3662711.111,9904386.562,531866.2717,100238.49,632104.7617,559.2592593,0,0,0,0,559.2592593,1222540.741,0,1222540.741,0,0,0,0,0,0,2645.925926,2645.925926,9177.777778,0,0,0,0,9177.777778,74.07407407,74.07407407,0,0,0,0,133.3333333,0,207.4074074,0,0,0,7.407407407,0,0,0,22.22222222,0,0,7.407407407,77.77777778,0,0,0,0,0,40.74074074,0,0,51.85185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874556.614,-8681845.821,-8681845.821,13567097.67,2211845.502,15778943.18,-14556402.43,66.3
1,0,0,0,0,0,800,0,0,0,0,0,35,1,255069,5,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,10,2,705.8823529,4705.882353,4705.882353,0,0,0,0,0,0,4705.882353,0,0,0,0,0,719000,504294.1176,528117.6471,0,0,0,0,99411.76471,9808613.137,0,9808613.137,0,2007176.471,0,2007176.471,8842994.118,0,0,8842994.118,11919211.55,1156234.843,129987.0609,1286221.904,17552.94118,0,0,0,0,17552.94118,46374870.59,0,46374870.59,0,0,0,0,0,0,17.64705882,17.64705882,0,0,0,0,0,0,611.7647059,311.7647059,300,0,0,0,52.94117647,0,664.7058824,0,0,0,205.8823529,0,0,0,64.70588235,0,0,205.8823529,0,0,0,0,0,23.52941176,152.9411765,0,0,11.76470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12136392.49,34455659.04,34455659.04,20762205.67,3293398.375,24055604.04,22319266.55,66.3
1,0,0,0,0,0,8300,0,0,0,0,0,33,1,231595,6,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,31,2,142.8571429,23714.28571,23714.28571,0,0,0,0,0,0,23714.28571,0,0,0,0,0,250342.8571,404857.1429,0,0,0,0,0,21714.28571,930219.5238,0,930219.5238,1332207.143,127914.2857,0,127914.2857,6682808.571,0,0,6682808.571,3194650.238,236632.2863,89708.76129,326341.0475,2160,0,0,0,0,2160,3821040,0,3821040,0,0,0,0,0,0,3.142857143,3.142857143,0,0,0,0,0,0,425.7142857,268.5714286,157.1428571,0,0,0,45.71428571,0,471.4285714,0,0,0,0,0,0,0,60,0,140,182.8571429,0,0,0,0,0,0,42.85714286,0,0,45.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7137063.905,626389.7619,626389.7619,9877458.81,454255.3333,10331714.14,-6510674.143,53.9375
1,0,0,0,167840,0,0,0,0,0,0,31770,37,1,252733,6,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,22.5,2,348.4848485,604878.7879,508606.0606,96272.72727,0,0,0,508606.0606,0,0,0,0,0,0,96272.72727,648363.6364,925000,0,0,0,0,0,48969.69697,133774.8485,47256.86683,181031.7153,271285.6061,1034030.303,0,1034030.303,9287330.303,1471200,0,10758530.3,4403462.443,104487.1558,157776.7705,262263.9262,12981.81818,0,0,0,0,12981.81818,19290981.82,0,19290981.82,0,0,0,0,878.7878788,0,0,878.7878788,0,0,0,0,14890.90909,14890.90909,545.4545455,290.9090909,254.5454545,133.3333333,0,133.3333333,109.0909091,0,787.8787879,0,0,0,0,0,0,0,48.48484848,0,136.3636364,390.9090909,24.24242424,0,0,0,0,0,39.39393939,0,0,148.4848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10583624.53,14887519.38,16358719.38,13690792.75,1296294.229,14987086.97,4303894.843,104.2428571
1,0,0,0,175580,40000,0,93760,0,0,0,3420,37,2,252733,6,0.55,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0.49,0,0.49,0,0,0.49,0,0.49,0,0,0,0,0,0,0,44.66666667,2,214.2857143,638285.7143,439959.1837,198326.5306,0,0,0,358326.5306,81632.65306,0,191346.9388,0,0,0,6979.591837,68346.93878,50510.20408,0,0,0,0,0,227571.4286,1392685.204,234777.3016,1627462.506,0,2574836.735,0,2574836.735,1195367.347,0,0,1195367.347,2864909.791,291761.3895,26487.99184,318249.3814,4334.693878,0,0,0,0,4334.693878,6931175.51,0,6931175.51,0,0,0,0,946.9387755,408.1632653,0,1355.102041,902.0408163,0,0,0,502.0408163,1404.081633,57.14285714,57.14285714,0,0,0,0,18.36734694,0,75.51020408,0,0,0,0,0,0,0,0,0,0,0,36.73469388,0,0,0,0,0,4.081632653,0,0,34.69387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4088453.463,4066265.719,4066265.719,4060277.138,2893086.116,6953363.254,-22187.74418,44.52941176
1,0,0,0,75520,0,0,0,0,0,0,23820,37,3,252733,6,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,22.5,2,666.6666667,473047.619,359619.0476,113428.5714,0,0,0,359619.0476,0,0,0,0,0,0,113428.5714,1045809.524,586476.1905,585095.2381,0,0,0,0,482714.2857,8815880.952,3418562.321,12234443.27,493409.5238,2437333.333,0,2437333.333,11192419.05,0,0,11192419.05,16153728.65,3951339.732,174541.5771,4125881.31,12809.52381,2685.714286,0,0,8137.714286,20947.2381,25802380.95,11116117.71,36918498.67,0,0,0,0,619.047619,0,0,619.047619,0,0,0,0,7019.047619,7019.047619,661.9047619,661.9047619,0,0,0,0,57.14285714,0,719.047619,0,0,0,0,0,0,0,28.57142857,0,19.04761905,576.1904762,33.33333333,0,0,0,0,0,33.33333333,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17755633.69,20764770.01,20764770.01,27346147.7,6563214.643,33909362.34,3009136.322,35.73333333
2,0,0,0,0,0,0,0,0,0,0,0,35,1,255069,5,0.49,0,0.44,0,0.05,0.49,0,0.44,0,0.05,0,0,0,0,0,0.49,0,0.44,0,0.05,0.49,0,0.44,0,0.05,0,0,0,0,0,40.8,2,291.8367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689061.2245,368714.2857,0,117020.4082,0,0,0,181020.4082,263172.9847,123507.9592,386680.9439,253753.7415,2559204.082,0,2559204.082,3357183.673,1050528.571,0,4407712.245,3301848.583,215295.0412,70026.87214,285321.9134,0,0,3642.857143,0,14389.28571,14389.28571,0,27267696.43,27267696.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.3061224,83.67346939,81.63265306,87.75510204,36.73469388,51.02040816,63.26530612,0,316.3265306,0,0,0,0,0,0,0,57.14285714,0,0,173.4693878,0,0,0,0,0,0,30.6122449,0,0,55.10204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6201709.668,23965847.85,25016376.42,6659032.257,2844525.995,9503558.252,17764138.18,66.3
