"연령별","무기질비료_질소질_지출액1","무기질비료_인산질_지출액1","무기질비료_가리질_지출액1","무기질비료_복합_지출액1","무기질비료_토양개량제_지출액1","무기질비료_기타_지출액1","유기질비료_퇴구비_지출액1","유기질비료_계분_지출액1","유기질비료_우분_지출액1","유기질비료_돈분_지출액1","유기질비료_기타_지출액1","지역별","규모별","조성비","경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액2","무기질비료_인산질_지출액2","무기질비료_가리질_지출액2","무기질비료_복합_지출액2","무기질비료_토양개량제_지출액2","무기질비료_기타_지출액2","유기질비료_퇴구비_지출액2","유기질비료_계분_지출액2","유기질비료_우분_지출액2","유기질비료_돈분_지출액2","유기질비료_기타_지출액2","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","생감 수량_ha당","반건시 수량_ha당","건시 수량_ha당","감말랭이 수량_ha당","건시 환산 소계 수량_ha당","총 생산량(생감 기준)_ha당","생감 기준평가액_ha당","건시 (생감 기준) 소계 평가액_ha당","총 생산액(생감 기준)_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","표고목 눕히기_시간_ha당","표고목 뒤집기_시간_ha당","표고목 벌채_시간_ha당","표고목 세우기_시간_ha당","표고목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","내급비","소득","부가가치","직접생산비","간접생산비","생산비 합계_ha당","순수익","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,35,3,258895,5,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,14.4375,1,418.787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197816.161616162,428593.939393939,30303.0303030303,13458.5858585859,160707.070707071,0,0,157967.676767677,1609292.92929293,129292.929292929,1738585.85858586,269360.269360269,9640404.04040404,0,9640404.04040404,3140755.55555556,2823247.07070707,591062.626262626,6555065.25252525,6358732.63334954,214663.209845118,81788.4504684747,296451.660313593,509.090909090909,0,5333.33333333333,727.272727272727,23270.303030303,23779.3939393939,509090.909090909,59894593.9393939,60403684.8484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.1212121212121,81.2121212121212,10.9090909090909,201.818181818182,103.838383838384,97.979797979798,75.5555555555556,0,369.494949494949,0,0,0,0,0,0,0,20.4040404040404,0,35.1515151515151,120.40404040404,0,0,0,0,0,0,75.959595959596,0,0,60.4040404040404,0,0,0,0,57.1717171717172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13388875.9124859,54044952.2151353,57147997.2558923,9810752.84511784,9936855.70071763,19747608.5458355,40656076.3026494,27.6
1,0,0,0,0,0,0,0,0,0,0,800000,36,2,251508,6,2.24,0,0,2.24,0,2.24,0,0,2.24,0,0,0,0,0,0,0.66,0,0,0.66,0,0.66,0,0,0.66,0,0,0,0,0,0,37,2,378.787878787879,1212121.21212121,0,1212121.21212121,0,0,0,0,0,0,0,0,0,0,1212121.21212121,673333.333333333,419924.242424242,371212.121212121,0,18181.8181818182,0,0,0,339244.444444444,163668.421052632,502912.865497076,24000,606060.606060606,0,606060.606060606,9068169.6969697,4902748.48484848,0,13970918.1818182,8375942.07761829,156570.060768385,180683.587844545,337253.64861293,6212.12121212121,0,0,0,0,6212.12121212121,9318181.81818182,0,9318181.81818182,0,0,0,0,0,0,0,0,0,0,0,0,6060.60606060606,6060.60606060606,324.242424242424,324.242424242424,0,296.969696969697,236.363636363636,60.6060606060606,172.727272727273,24.2424242424242,818.181818181818,0,0,0,0,0,0,0,87.8787878787879,0,0,181.818181818182,48.4848484848485,0,0,0,0,0,333.333333333333,0,0,166.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011483.9516432,942239.74056353,5844988.22541201,17444111.774588,943314.254673536,18387426.0292615,-9069244.2110797,55.2666666666667
1,0,0,0,0,0,0,180000,0,0,0,0,36,1,251508,6,0.24,0,0,0.24,0,0.24,0,0,0.24,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,6,2,510,1800000,0,1800000,0,0,0,0,0,0,1800000,0,0,0,0,0,158600,0,0,310000,0,0,0,1183600,217031.578947368,1400631.57894737,1200000,288000,0,288000,13401200,982500,0,14383700,6103239.57894737,514688.982830842,180538.408295,695227.391125842,3000,0,0,0,0,3000,4500000,0,4500000,0,0,0,0,0,0,0,0,10000,0,0,0,0,10000,790,390,400,60,60,0,100,0,950,0,0,0,0,0,0,0,0,0,0,700,50,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14384427.3911258,-1603239.57894737,-620739.578947369,19504439.5789474,983227.391125842,20487666.9700732,-15987666.9700732,90.8205128205128
1,0,0,0,100000,0,0,0,0,0,0,320000,37,1,256777,6,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,23.5,2,348.484848484848,1272727.27272727,303030.303030303,969696.969696969,0,0,0,303030.303030303,0,0,0,0,0,0,969696.969696969,1061515.15151515,703757.575757576,1181818.18181818,0,45454.5454545454,0,0,85242.4242424242,119660.606060606,37789.8564593301,157450.462519936,261818.181818182,1212121.21212121,0,1212121.21212121,11337054.5454545,0,0,11337054.5454545,5026560.79585327,80578.733858807,170079.140005151,250657.873863958,8000,0,0,0,0,8000,8000000,0,8000000,0,0,0,0,606.060606060606,0,0,606.060606060606,0,0,0,0,4848.48484848485,4848.48484848485,563.636363636364,242.424242424242,321.212121212121,0,0,0,157.575757575758,0,721.212121212121,0,0,0,0,0,0,0,109.090909090909,0,96.969696969697,242.424242424242,24.2424242424242,0,0,0,0,0,48.4848484848485,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799833.6314397,2973439.20414673,2973439.20414673,16363615.3413078,1462779.08598517,17826394.427293,-9826394.42729298,96.0131578947368
1,0,0,0,156000,0,0,0,0,0,0,100000,37,1,256777,6,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,23.5,2,666.666666666667,1219047.61904762,742857.142857143,476190.476190476,0,0,0,742857.142857143,0,0,0,0,0,0,476190.476190476,193190.476190476,411428.571428571,404761.904761905,0,2857142.85714286,47619.0476190476,0,333333.333333333,8374603.17460317,2733994.98746867,11108598.1620718,476190.476190476,2857142.85714286,0,2857142.85714286,21389695.2380952,6190476.19047619,0,27580171.4285714,23498565.6382623,2872834.3798134,358280.703428095,3231115.08324149,41428.5714285714,0,0,0,0,41428.5714285714,47380952.3809524,0,47380952.3809524,0,0,0,0,1142.85714285714,0,0,1142.85714285714,0,0,0,0,952.380952380952,952.380952380952,1300,919.047619047619,380.952380952381,380.952380952381,380.952380952381,0,76.1904761904762,0,1757.14285714286,0,0,0,0,0,0,0,28.5714285714286,0,190.47619047619,1428.57142857143,14.2857142857143,0,0,0,0,0,47.6190476190476,0,0,47.6190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27477953.1784796,23882386.74269,30120481.9807853,44888260.8763576,6088257.94038435,50976518.8167419,-3595566.43578953,96.0131578947368
1,10800,0,0,0,0,0,0,0,96000,0,0,35,1,258895,6,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,11,2,705.882352941176,628235.294117647,63529.4117647059,564705.882352941,63529.4117647059,0,0,0,0,0,0,0,564705.882352941,0,0,1032352.94117647,382352.941176471,0,0,0,0,0,0,9317647.05882353,0,9317647.05882353,0,2352941.17647059,0,2352941.17647059,7809082.35294118,0,0,7809082.35294118,11619483.2352941,959881.426352941,106812.190897647,1066693.61725059,4941.17647058824,0,0,0,0,4941.17647058824,9882352.94117647,0,9882352.94117647,0,117.647058823529,0,0,0,0,0,117.647058823529,0,0,1411.76470588235,0,0,1411.76470588235,494.117647058823,211.764705882353,282.352941176471,0,0,0,41.1764705882353,0,535.294117647059,0,0,0,0,0,0,0,29.4117647058824,0,0,376.470588235294,117.647058823529,0,0,0,0,0,0,0,0,11.7647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228717.1466624,-1737130.29411765,-1737130.29411765,19428565.5882353,3419634.79372118,22848200.3819565,-12965847.44078,94.7142857142857
2,0,0,0,0,0,0,0,0,0,0,0,33,1,235300,6,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,0.35,0,0.35,0,0,0.35,0,0.35,0,0,0,0,0,0,0,32,2,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318857.142857143,171428.571428571,0,0,0,0,0,248571.428571429,497942.857142857,0,497942.857142857,1748571.42857143,150000,0,150000,8362325.71428571,0,0,8362325.71428571,3220671.42857143,188392.564197143,98671.8391231429,287064.403320286,514.285714285714,0,200,0,790,1304.28571428571,771428.571428571,1975000,2746428.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.857142857143,188.571428571429,114.285714285714,0,0,0,171.428571428571,0,474.285714285714,0,0,0,0,0,0,0,37.1428571428571,0,0,200,0,0,0,0,0,14.2857142857143,42.8571428571429,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8799390.117606,-474242.857142857,-474242.857142857,11582997.1428571,437064.403320286,12020061.5461774,-9273632.97474886,66.3846153846154
2,0,0,0,0,0,0,0,0,0,0,0,35,1,258895,6,0.16,0,0.16,0,0,0,0,0,0,0,0.16,0,0.16,0,0,0.16,0,0.16,0,0,0,0,0,0,0,0.16,0,0.16,0,0,14,2,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212500,75000,0,0,0,0,0,1875000,939166.666666667,68050,1007216.66666667,375000,0,2187500,2187500,8400300,0,0,8400300,5991111.66666667,216603.337714167,114518.18062,331121.518334167,25,0,0,0,0,25,50000,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,0,262.5,0,412.5,0,0,0,0,0,0,0,12.5,0,0,150,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8731421.51833417,-5941111.66666667,-3753611.66666667,12203911.6666667,2518621.51833417,14722533.1850008,-14672533.1850008,94.7142857142857
2,0,0,0,0,0,0,0,0,0,0,0,35,2,258895,5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,37,2,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488000,182000,0,0,0,0,0,0,1108266.66666667,145200,1253466.66666667,240000,0,1800000,1800000,11187216,0,0,11187216,5222361.66666667,298727.499327333,139393.4358464,438120.935173733,16800,0,0,0,0,16800,33600000,0,33600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,240,16,0,0,0,312,0,568,0,0,0,0,0,0,0,68,0,0,240,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11625336.9351737,28377638.3333333,30177638.3333333,14609577.6666667,2238120.93517373,16847698.6018404,16752301.3981596,39.1428571428571
2,0,0,0,0,0,0,0,0,0,0,0,37,1,256777,5,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,21,2,176.470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289117.647058823,400000,30823529.4117647,0,0,0,0,58823.5294117647,3395294.11764706,0,3395294.11764706,2823529.41176471,588235.294117647,0,588235.294117647,23084135.2941176,0,0,23084135.2941176,38047071.1176471,-56904.6321294118,592556.949514412,535652.317385,67647.0588235294,0,0,0,0,67647.0588235294,67647058.8235294,0,67647058.8235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376.47058823529,1176.47058823529,200,0,0,0,64.7058823529412,0,1441.17647058824,0,0,0,0,0,0,0,129.411764705882,0,588.235294117647,588.235294117647,0,0,0,0,0,0,0,0,0,135.294117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24208022.9056203,29599987.7058824,29599987.7058824,61131206.4117647,1123887.61150265,62255094.0232673,5391964.80026206,96.0131578947368
