"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","생감 수량_ha당","반건시 수량_ha당","건시 수량_ha당","감말랭이 수량_ha당","건시 환산 소계 수량_ha당","총 생산량(생감 기준)_ha당","생감 기준평가액_ha당","건시 (생감 기준) 소계 평가액_ha당","총 생산액(생감 기준)_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","골목 눕히기_시간_ha당","골목 뒤집기_시간_ha당","골목 벌채_시간_ha당","골목 세우기_시간_ha당","골목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","내급비","소득","부가가치","직접생산비","간접생산비","생산비 합계_ha당","순수익","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,36,1,261128,6,0.24,0,0,0.24,0,0.24,0,0,0.24,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,7,2,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163000,0,0,130000,0,0,0,1724050,261668.421052632,1985718.42105263,739166.666666667,258000,0,258000,4956400,0,0,4956400,3279013.0877193,635211.503122807,65092.56,700304.063122807,15240,0,0,0,0,15240,17983200,0,17983200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,70,80,0,0,0,120,0,270,0,0,0,0,0,0,0,0,0,10,140,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5914704.06312281,14704186.9122807,14704186.9122807,8235413.0877193,958304.063122807,9193717.15084211,8789482.84915789,90.8205128205128
1,0,0,0,0,0,0,2353700,0,0,0,0,35,3,268798,6,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,4.95,2.34,2.61,0,0,4.95,2.34,2.61,0,0,0,0,0,0,0,15.4375,1,418.585858585859,475494.949494949,0,475494.949494949,0,0,0,0,0,0,475494.949494949,0,0,0,0,358868.686868687,423454.545454545,0,0,263070.707070707,333737.373737374,0,91575.7575757576,1697544.78114478,134141.414141414,1831686.1952862,166821.548821549,2734949.49494949,0,2734949.49494949,5512486.26262626,7700561.21212121,157575.757575758,13370623.2323232,12005904.0938842,224894.917171717,189938.903838384,414833.821010101,17744.0404040404,0,0,0,0,17744.0404040404,25906298.989899,0,25906298.989899,0,0,0,0,0,0,0,0,7311.71717171717,0,0,0,0,7311.71717171717,122.424242424242,108.282828282828,14.1414141414141,508.282828282828,258.787878787879,249.494949494949,158.787878787879,0,789.494949494949,0,0,0,2.02020202020202,0,0,0,19.1919191919192,0,279.393939393939,335.353535353535,7.87878787878788,0,0,0,0,5.45454545454545,67.4747474747475,6.86868686868687,55.959595959596,0,0,0,0,9.8989898989899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8728010.21870839,13900394.8960148,22026528.5993266,17584130.996633,3149783.3159596,20733914.3125926,5172384.6773064,34.3333333333333
1,0,0,0,0,0,0,245000,0,0,0,0,36,2,261128,6,2.24,0,0,2.24,0,2.24,0,0,2.24,0,0,0,0,0,0,0.66,0,0,0.66,0,0.66,0,0,0.66,0,0,0,0,0,0,38,2,378.787878787879,371212.121212121,0,371212.121212121,0,0,0,0,0,0,371212.121212121,0,0,0,0,285303.03030303,627727.272727273,0,0,0,0,0,0,308712.373737374,169807.615629984,478519.989367358,18181.8181818182,545454.545454545,0,545454.545454545,9088162.12121212,6788966.66666667,193939.393939394,16071068.1818182,8913966.23994417,168158.017422116,215205.851515152,383363.868937267,1131.81818181818,0,5659.09090909091,375.757575757576,23491.9545454545,24623.7727272727,1856181.81818182,21321134.5454545,23177316.3636364,0,0,0,0,0,0,0,0,5151.51515151515,0,0,0,0,5151.51515151515,286.363636363636,251.515151515152,34.8484848484848,374.242424242424,280.30303030303,93.9393939393939,195.454545454545,7.57575757575758,863.636363636364,0,0,0,7.57575757575758,0,0,0,86.3636363636364,0,153.030303030303,210.606060606061,39.3939393939394,0,0,0,0,0,160.606060606061,0,137.878787878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1818181818182,10127992.5880574,14263350.1236922,21135244.1318448,18113140.4136098,928818.414391813,19041958.8280016,4135357.53563477,55.2666666666667
1,0,0,0,18700,0,0,0,0,0,0,322400,37,1,266599,6,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0.21,0,0.21,0,0,0.21,0,0.21,0,0,0,0,0,0,0,24.5,2,666.666666666667,1624285.71428571,89047.619047619,1535238.0952381,0,0,0,89047.619047619,0,0,0,0,0,0,1535238.0952381,301904.761904762,456190.476190476,0,0,880952.380952381,0,0,0,4091761.9047619,2194195.4887218,6285957.39348371,586904.761904762,2571428.57142857,0,2571428.57142857,14369185.7142857,0,0,14369185.7142857,10402794.4887218,2483443.48,218643.236190476,2702086.71619048,23042.8571428571,0,0,0,0,23042.8571428571,18979857.1428571,0,18979857.1428571,0,0,0,0,166.666666666667,0,0,166.666666666667,0,0,0,0,2742.85714285714,2742.85714285714,742.857142857143,595.238095238095,147.619047619048,0,0,0,76.1904761904762,0,819.047619047619,0,0,0,33.3333333333333,0,0,0,23.8095238095238,0,114.285714285714,576.190476190476,19.047619047619,0,0,0,0,0,0,0,52.3809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19642701.0019048,8577062.65413534,8577062.65413534,24771980.2030075,5273515.28761905,30045495.4906266,-11065638.3477694,93.5512820512821
1,0,0,0,72000,0,0,7800,0,0,0,279000,37,1,266599,6,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,24.5,2,348.484848484848,1087272.72727273,218181.818181818,869090.909090909,0,0,0,218181.818181818,0,0,23636.3636363636,0,0,0,845454.545454545,1062121.21212121,976969.696969697,0,0,0,0,0,90909.0909090909,1123953.03030303,31365.8213716108,1155318.85167464,129166.666666667,1090909.09090909,0,1090909.09090909,7402193.93939394,765333.333333333,0,8167527.27272727,5533690.57894737,185004.27789378,141171.52,326175.79789378,15654.5454545455,0,0,0,0,15654.5454545455,22386000,0,22386000,0,0,0,0,527.272727272727,0,0,527.272727272727,2060.60606060606,0,0,0,6545.45454545454,8606.0606060606,339.393939393939,181.818181818182,157.575757575758,42.4242424242424,42.4242424242424,0,96.969696969697,0,478.787878787879,0,0,0,0,0,0,0,51.5151515151515,0,36.3636363636364,196.969696969697,72.7272727272727,0,0,0,0,0,54.5454545454545,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819278.82819681,16852309.4210526,17617642.754386,12935884.5183413,1417084.88880287,14352969.4071442,8033030.59285582,93.5512820512821
1,162000,0,0,0,0,0,0,0,0,0,0,35,1,268798,5,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,12,2,705.882352941176,952941.176470588,952941.176470588,0,952941.176470588,0,0,0,0,0,0,0,0,0,0,47647.0588235293,325882.352941176,0,0,0,0,0,0,4821960.78431373,0,4821960.78431373,0,2647058.82352941,0,2647058.82352941,14024723.5294118,0,0,14024723.5294118,6417229.37254902,567462.901960784,190354.807058823,757817.709019608,15994.1176470588,0,0,0,0,15994.1176470588,30868647.0588235,0,30868647.0588235,0,952.941176470588,0,0,0,0,0,952.941176470588,0,0,0,0,0,0,852.941176470588,447.058823529412,405.882352941176,0,0,0,23.5294117647059,0,876.470588235294,0,0,0,0,0,0,0,23.5294117647059,0,0,582.35294117647,82.3529411764706,0,0,47.0588235294118,0,0,141.176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17429600.0619608,24451417.6862745,24451417.6862745,20441952.9019608,3404876.53254902,23846829.4345098,7021817.62431372,73.6666666666667
2,0,0,0,0,0,0,0,0,0,0,0,33,1,244300,6,0.31,0,0.31,0,0,0.31,0,0.31,0,0,0,0,0,0,0,0.31,0,0.31,0,0,0.31,0,0.31,0,0,0,0,0,0,0,21,2,322.58064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82903.2258064516,216774.193548387,0,0,0,0,0,81290.3225806452,58467.7419354839,0,58467.7419354839,477419.35483871,72580.6451612903,0,72580.6451612903,7133816.12903226,0,0,7133816.12903226,1161154.83870968,64825.02,93183.32,158008.34,10922.5806451613,0,0,0,0,10922.5806451613,9502645.16129032,0,9502645.16129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.612903225806,161.290322580645,90.3225806451613,0,0,0,141.935483870968,0,393.548387096774,0,0,0,0,0,0,0,16.1290322580645,0,0,183.870967741935,0,0,0,0,0,25.8064516129032,25.8064516129032,0,141.935483870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7364405.11419355,8341490.32258065,8341490.32258065,8294970.96774194,230588.98516129,8525559.95290323,977085.208387097,50.7647058823529
2,0,0,0,0,0,0,0,0,0,0,0,99,3,252634,6,5.33,0,0.33,5,0,5.33,0,0.33,5,0,0,0,0,0,0,2.33,0,0.33,2,0,2.33,0,0.33,2,0,0,0,0,0,0,21,2,278.969957081545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123047.210300429,27639.4849785408,0,9184.54935622317,3648.0686695279,0,0,350343.347639485,319224.034334764,27404.4364129207,346628.470747685,191165.951359084,818884.120171674,0,818884.120171674,1339011.15879828,1875278.96995708,51502.1459227468,3265792.27467811,3209617.40010114,89906.3945420977,46867.7212017167,136774.115743814,12639.4849785408,0,0,0,0,12639.4849785408,12564613.7339056,0,12564613.7339056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9570815450644,47.6394849785408,22.3175965665236,117.596566523605,98.2832618025751,19.31330472103,8.15450643776824,18.4549356223176,214.163090128755,0,0,0,0,0,0,0,8.15450643776824,0,15.450643776824,146.351931330472,0,0,0,0,0,0,30.9012875536481,0,8.15450643776824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15021459227468,2316124.19354343,9354996.33380444,11260322.6508546,4570083.35772909,955658.235915488,5525741.59364458,7038872.140261,66.5
2,0,0,0,0,0,0,0,0,0,0,248000,37,1,266599,6,0.2,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,38,1,650,1240000,0,1240000,0,0,0,0,0,0,0,0,0,0,1240000,1266500,404500,3666500,0,750000,0,0,0,561408.333333333,325395,886803.333333333,0,900000,0,900000,12432180,5209855,0,17642035,13690757.3333333,308483.242333333,309622.234,618105.476333333,13550,0,0,0,0,13550,18563500,0,18563500,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,530,530,0,290,290,0,135,0,955,0,0,0,0,0,0,0,110,0,180,540,10,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13950285.4763333,4872742.66666667,10082597.6666667,26122937.3333333,1518105.47633333,27641042.8096667,-9077542.80966667,93.5512820512821
2,0,0,0,0,0,0,0,0,0,0,26400,33,1,244300,6,0.16,0,0.16,0,0,0.16,0,0.16,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0,0,17,2,500,188571.428571429,0,188571.428571429,0,0,0,0,0,0,0,0,0,0,188571.428571429,517857.142857143,395000,0,0,0,0,0,292857.142857143,3327059.52380952,213428.571428571,3540488.0952381,1057142.85714286,2633571.42857143,0,2633571.42857143,10356000,0,0,10356000,6236216.66666667,652378.023809524,145703.542857143,798081.566666667,10607.1428571429,0,0,0,0,10607.1428571429,9228214.28571429,0,9228214.28571429,0,0,0,0,0,0,0,0,0,0,0,0,514.285714285714,514.285714285714,278.571428571429,207.142857142857,71.4285714285714,0,0,0,264.285714285714,0,542.857142857143,0,0,0,0,0,0,0,85.7142857142857,0,14.2857142857143,128.571428571429,50,0,0,0,0,0,0,0,264.285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13787652.9952381,2991997.61904762,2991997.61904762,16592216.6666667,3431652.99523809,20023869.6619048,-10795655.3761905,50.7647058823529
