"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","생감 수량_ha당","반건시 수량_ha당","건시 수량_ha당","감말랭이 수량_ha당","건시 환산 소계 수량_ha당","총 생산량(생감 기준)_ha당","생감 기준평가액_ha당","건시 (생감 기준) 소계 평가액_ha당","총 생산액(생감 기준)_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","내급비","소득","부가가치","직접생산비","간접생산비","생산비 합계_ha당","순수익","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,36,2,270119,2,2.68,0,0,2.68,0,2.68,0,0,2.68,0,0,0,0,0,0,0.8,0,0,0.8,0,0.8,0,0,0.8,0,0,0,0,0,0,39,2,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198000,247500,0,0,0,0,0,0,187547.916666667,87998.6842105263,275546.600877193,335843.75,335000,0,335000,2782408.75,3570850,0,6353258.75,4897859.35087719,200472.396552632,112859.39525,313331.791802632,2680,0,0,0,0,2680,6968000,0,6968000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,15,6.25,197.5,185,12.5,110,0,328.75,0,0,0,18.75,0,0,0,32.5,0,0,43.75,13.75,0,0,0,0,5,75,0,36.25,0,0,0,0,0,0,0,0,0,0,103.75,3430740.54180263,2070140.64912281,5640990.64912281,7680268.10087719,648331.791802632,8328599.89267982,-1360599.89267982,17.4074074074074
1,0,0,0,0,0,0,0,0,0,0,0,99,3,258912,2,4.95,2.44,2.51,0,0,4.95,2.44,2.51,0,0,0,0,0,0,0,4.95,2.44,2.51,0,0,4.95,2.44,2.51,0,0,0,0,0,0,0,16.4375,1,418.787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180646.464646465,588484.848484849,59191.9191919192,27676.7676767677,976363.636363636,410505.050505051,0,0,916937.71043771,118949.494949495,1035887.20538721,162020.202020202,5783030.3030303,0,5783030.3030303,3441164.04040404,10890353.1313131,448282.828282828,14779800,14930686.1303965,215909.437037037,282770.805252525,498680.242289562,9376.9696969697,0,0,0,0,9376.9696969697,15190690.9090909,0,15190690.9090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.656565656566,67.6767676767677,37.979797979798,633.939393939394,262.020202020202,371.919191919192,74.1414141414141,0,813.737373737374,0,0,0,0,0,0,0,10.5050505050505,0,186.666666666667,443.030303030303,15.959595959596,0,0,0,0,0,129.292929292929,0,28.2828282828283,0,0,0,0,0,0,0,0,0,0,0,9830512.50919943,260004.778694384,11901507.8653199,18479488.0942761,6281710.54531987,24761198.639596,-9570507.73050505,3.42857142857143
1,0,0,0,0,0,0,0,0,0,0,248000,37,1,271348,2,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,25.5,2,348.484848484848,751515.151515151,0,751515.151515151,0,0,0,0,0,0,0,0,0,0,751515.151515151,772424.242424242,390909.090909091,0,0,0,0,0,0,55988.6363636364,27818.1818181818,83806.8181818182,86553.0303030303,812121.212121212,0,812121.212121212,9207712.12121212,2728472.72727273,0,11936184.8484848,5085029.06060606,64881.2886363636,229927.153333333,294808.441969697,9948.48484848485,0,0,0,0,9948.48484848485,19896969.6969697,0,19896969.6969697,0,0,0,0,0,0,0,0,0,0,0,0,3636.36363636364,3636.36363636364,393.939393939394,148.484848484848,245.454545454545,163.636363636364,81.8181818181818,81.8181818181818,130.30303030303,0,687.878787878788,0,0,0,0,0,0,0,54.5454545454545,0,0,457.575757575758,36.3636363636364,0,0,0,0,0,0,0,139.393939393939,0,0,0,0,0,0,0,0,0,0,0,10314641.775303,14811940.6363636,17540413.3636364,14292741.1818182,1106929.65409091,15399670.8359091,4497298.8610606,44.0461538461538
1,0,0,0,0,0,0,0,0,57000,0,0,37,1,271348,1,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,10,2,1000,570000,0,570000,0,0,0,0,0,0,0,0,570000,0,0,1653000,1100000,0,180000,0,0,0,0,0,0,0,0,1220000,0,1220000,23423880,6002640,0,29426520,9776988,0,546630.032,546630.032,16080,0,0,1410,4272.3,20352.3,19296000,22643190,41939190,0,0,0,0,0,0,0,0,0,0,10000,0,0,10000,990,230,760,360,180,180,370,0,1720,0,0,0,0,0,0,0,350,0,0,800,100,0,0,0,0,150,70,0,150,0,0,0,50,0,0,0,0,0,0,50,25190510.032,32162202,38164842,33200868,1766630.032,34967498.032,6971691.968,95.2926829268293
1,0,0,0,0,0,0,54000,0,0,0,0,36,1,270119,2,0.24,0,0,0.24,0,0.24,0,0,0.24,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,8,2,510,540000,0,540000,0,0,0,0,0,0,540000,0,0,0,0,0,40000,0,0,70000,0,0,0,1914716.66666667,196351.052631579,2111067.71929825,523583.333333333,180000,0,180000,2488130,146560,0,2634690,3701330.05263158,753253.80711579,54525.854,807779.66111579,1280,0,0,0,0,1280,2442240,0,2442240,0,0,0,0,0,0,0,0,7000,0,0,0,0,7000,100,100,0,10,0,10,30,0,140,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,10,60,0,30,0,0,0,0,0,0,0,0,0,0,0,3475909.66111579,-1259090.05263158,-1112530.05263158,6189460.05263158,987779.66111579,7177239.71374737,-4734999.71374737,101.15
1,0,0,0,0,0,66000,0,0,0,0,0,99,1,258912,2,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,13,2,705.882352941176,388235.294117647,388235.294117647,0,0,0,0,0,0,388235.294117647,0,0,0,0,0,114705.882352941,429411.764705882,0,0,1776470.58823529,0,0,0,3730215.68627451,0,3730215.68627451,1620980.39215686,1970588.23529412,0,1970588.23529412,5934152.94117647,0,0,5934152.94117647,8318931.60784314,865947.462745098,143473.409411765,1009420.87215686,5370.58823529412,0,0,0,0,5370.58823529412,11815294.1176471,0,11815294.1176471,0,0,0,0,0,0,235.294117647059,235.294117647059,0,0,0,0,0,0,335.294117647059,170.588235294118,164.705882352941,0,0,0,17.6470588235294,0,352.941176470588,0,0,0,0,0,0,0,11.7647058823529,0,0,164.705882352941,35.2941176470588,0,0,0,0,11.7647058823529,111.764705882353,11.7647058823529,5.88235294117647,0,0,0,0,0,0,0,0,0,0,0,8914162.04862745,3496362.50980392,3496362.50980392,14253084.5490196,2980009.10745098,17233093.6564706,-5417799.53882353,135.4
1,0,0,0,255000,0,0,125000,0,0,0,413000,38,3,254057,2,2.35,0,1.49,0.79,0.07,2.35,0,1.49,0.79,0.07,0,0,0,0,0,2.35,0,1.49,0.79,0.07,2.35,0,1.49,0.79,0.07,0,0,0,0,0,45,2,128.936170212766,337446.808510638,108510.638297872,228936.170212766,0,0,0,108510.638297872,0,0,53191.4893617021,0,0,0,175744.680851064,247574.468085106,48510.6382978723,2295319.14893617,0,3404.25531914894,0,0,0,61960.9929078014,24725.6438969764,86686.6368047779,77393.6170212766,712340.425531915,0,712340.425531915,7349216.59574468,592880,0,7942096.59574468,3943272.57297499,37242.6545726017,180514.241787234,217756.896359836,6414.89361702128,0,0,0,0,6414.89361702128,9622340.42553192,0,9622340.42553192,0,0,0,0,170.212765957447,0,0,170.212765957447,595.744680851064,0,0,0,425.531914893617,1021.27659574468,377.021276595745,293.191489361702,83.8297872340426,40,1.70212765957447,38.2978723404255,30.2127659574468,0,447.234042553192,0,0,0,0,0,0,0,22.5531914893617,0,52.7659574468085,297.446808510638,5.53191489361702,0,0,0,0,0,40.8510638297872,0,28.0851063829787,0,0,0,0,0,0,0,0,0,0,0,8279313.91763643,5679067.85255693,6271947.85255693,11292489.1687197,930097.321891751,12222586.4906114,-2600246.06507951,3.3
1,0,0,0,87000,196000,0,0,0,0,0,2475000,36,3,270119,2,2.39,0.53,1.38,0.48,0,2.39,0.53,1.38,0.48,0,0,0,0,0,0,2.39,0.53,1.38,0.48,0,2.39,0.53,1.38,0.48,0,0,0,0,0,0,11.2222222222222,2,209.205020920502,1153974.89539749,118410.041841004,1035564.85355649,0,0,0,36401.6736401674,82008.3682008368,0,0,0,0,0,1035564.85355649,480962.343096234,263598.326359833,0,0,0,956485.355648536,0,718828.451882845,1032800.20920502,48947.8088526756,1081748.0180577,0,113389.121338912,0,113389.121338912,3676780.75313808,3574292.0502092,0,7251072.80334728,8500008.44065184,125304.048288923,179693.708117155,304997.756406078,14016.7364016736,0,0,0,0,14016.7364016736,19623430.9623431,0,19623430.9623431,0,0,0,0,83.6820083682008,2343.09623430962,0,2426.77824267782,0,0,0,0,3138.07531380753,3138.07531380753,24.6861924686192,16.3179916317992,8.36820083682008,172.803347280335,81.5899581589958,91.2133891213389,148.117154811715,71.5481171548117,417.154811715481,0,0,0,0,0,0,0,43.0962343096234,0,0,279.497907949791,16.7364016736402,0,0,0,0,0.836820083682008,71.5481171548117,0,5.43933054393305,0,0,0,0,0,0,0,0,0,0,0,4095167.63088307,11123422.5216913,15654199.927549,12176789.1937899,418386.87774499,12595176.0715349,7028254.89080819,3.26923076923077
2,0,0,0,0,0,0,0,0,0,0,0,36,2,270119,2,0.84,0.84,0,0,0,0.2,0.2,0,0,0,0.64,0.64,0,0,0,0.84,0.84,0,0,0,0.2,0.2,0,0,0,0.64,0.64,0,0,0,33.2222222222222,2,594.047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264880.95238095,145238.095238095,0,0,0,0,0,1000000,441728.174603175,47867.6691729323,489595.843776107,0,477380.952380952,2216666.66666667,2694047.61904762,7949920.23809524,7416833.33333333,0,15366753.5714286,12803333.8913952,76282.3425096074,295096.08547619,371378.427985798,15314.2857142857,0,0,0,0,15314.2857142857,33691428.5714286,0,33691428.5714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.761904761905,254.761904761905,0,410.714285714286,339.285714285714,71.4285714285714,148.809523809524,0,814.285714285714,0,0,0,0,0,0,0,59.5238095238095,0,0,251.190476190476,0,0,0,0,0,3.57142857142857,150,0,66.6666666666667,0,0,0,0,0,0,0,0,0,0,283.333333333333,8798679.61846199,20888094.6800334,30521594.6800334,18536587.4628237,3065426.04703342,21602013.5098571,12089415.0615714,17.4074074074074
2,0,0,0,0,0,0,0,0,0,0,0,99,3,258912,2,7.99,0.26,0,7.73,0,0,0,0,0,0,7.99,0.26,0,7.73,0,2.4,0.26,0,2.14,0,0,0,0,0,0,2.4,0.26,0,2.14,0,24.6,2,133.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241041.666666667,71250,0,0,0,0,0,440416.666666667,174161.111111111,19465.2631578947,193626.374269006,1306635.41666667,0,148333.333333333,148333.333333333,1662558.75,124613.333333333,0,1787172.08333333,2784828.79093567,71819.0809574561,62365.59825,134184.679207456,425,0,0,0,0,425,807500,0,807500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.25,66.25,0,6.66666666666667,6.66666666666667,0,20,0,92.9166666666667,0,0,0,0,0,0,0,11.6666666666667,0,0,36.25,0,0,0,0,0,2.5,30.8333333333333,0,9.58333333333333,0,0,0,0,0,0,0,0,0,0,2.08333333333333,1796743.42920746,-1977328.79093567,-1704382.12426901,4299054.20760234,282518.012540789,4581572.22014313,-3774072.22014313,3.42857142857143
