"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","기타재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","생감 수량_ha당","반건시 수량_ha당","건시 수량_ha당","감말랭이 수량_ha당","건시 환산 소계 수량_ha당","총 생산량(생감 기준)_ha당","생감 기준평가액_ha당","반건시 (생감 기준)평가액_ha당","건시 (생감 기준) 평가액_ha당","감말랭이(생감 기준) 평가액_ha당","건시 (생감 기준) 소계 평가액_ha당","총 생산액(생감 기준)_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","건조_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","시설물 보수_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","지주세우기_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","내급비","소득","부가가치","직접생산비","간접생산비","생산비 합계_ha당","순수익","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,99,1,263340,2,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,0.17,0,0.17,0,0,0.17,0,0.17,0,0,0,0,0,0,0,14,2,705.882352941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311764.705882353,0,0,0,0,0,0,4449666.66666667,0,4449666.66666667,1634215.68627451,2317647.05882353,0,2317647.05882353,7466617.64705882,0,0,7466617.64705882,6658987.05882353,1162527.93647059,156734.404411765,1319262.34088235,14000,0,0,0,0,14000,32620000,0,0,0,0,32620000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.235294117647,117.647058823529,170.588235294118,0,0,0,111.764705882353,0,400,0,0,0,0,0,0,0,0,0,0,117.647058823529,0,0,0,141.176470588235,0,17.6470588235294,123.529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,11103527.0467647,25961012.9411765,25961012.9411765,14125604.7058824,3636909.39970588,17762514.1055882,14857485.8944118,135.4
1,0,0,0,0,0,0,0,0,0,0,0,99,3,263340,1,4.95,2.44,2.51,0,0,4.95,2.44,2.51,0,0,0,0,0,0,0,4.95,2.44,2.51,0,0,4.95,2.44,2.51,0,0,0,0,0,0,0,17.4375,1,417.575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163838.383838384,1026060.60606061,96363.6363636364,81414.1414141414,44444.4444444444,1171717.17171717,0,45858.5858585859,1348611.95286195,176527.272727273,1525139.22558923,236734.006734007,2000000,0,2000000,6961571.31313131,12705842.8282828,335555.555555556,20002969.6969697,17577533.7478081,362147.350631313,457831.203030303,819978.553661616,2149.49494949495,16.7676767676768,2836.36363636364,595.959595959596,13060.2,15209.6949494949,988767.676767677,248441.636363636,58426963.6363636,7167051.81818182,65842457.0909091,66831224.7676768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.030303030303,142.626262626263,80.4040404040404,828.282828282828,303.232323232323,525.050505050505,125.656565656566,2.22222222222222,1179.19191919192,0,0,0,36.7676767676768,0,0,0,9.8989898989899,0,194.545454545455,476.969696969697,0,0,0,0,0,0,106.868686868687,0,18.989898989899,0,0,0,0,6.26262626262626,0,0,0,0,0,328.888888888889,9900324.70484337,49253691.0198686,63348031.7373737,24657879.8989899,2819978.55366162,27477858.4526515,39353366.3150253,3.42857142857143
1,0,0,0,0,0,0,2566000,0,0,0,0,36,3,276084,2,2.29,0.53,1.28,0.48,0,2.29,0.53,1.28,0.48,0,0,0,0,0,0,2.29,0.53,1.28,0.48,0,2.29,0.53,1.28,0.48,0,0,0,0,0,0,12.1111111111111,2,218.340611353712,1120524.01746725,0,1120524.01746725,0,0,0,0,0,0,1120524.01746725,0,0,0,0,258951.965065502,280786.026200873,0,0,0,0,0,1499563.31877729,1145727.43813683,63842.7028269363,1209570.14096376,0,138864.628820961,0,138864.628820961,3384775.10917031,3379021.83406114,0,6763796.94323144,8024501.30253582,163320.735106604,199960.988755459,363281.723862062,19104.8034934498,0,0,0,0,19104.8034934498,22734716.1572052,0,0,0,0,22734716.1572052,0,0,0,0,0,0,0,0,11737.9912663755,0,0,0,0,11737.9912663755,22.2707423580786,15.2838427947598,6.98689956331878,139.737991266376,69.8689956331878,69.8689956331878,123.580786026201,54.5851528384279,340.174672489083,0,0,0,0,0,0,0,27.0742358078603,0,0,238.864628820961,7.86026200873362,0,0,0,0,0.436681222707424,54.5851528384279,0,11.353711790393,0,0,0,0,0,0,0,0,0,0,0,3886921.46185333,14710214.8546694,18089236.6887306,11409276.4117061,502146.352683023,11911422.7643891,10823293.3928161,3.26923076923077
1,0,0,0,38000,0,0,0,0,166000,0,0,37,1,277908,2,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,11,2,1000,2040000,380000,1660000,0,0,0,380000,0,0,0,0,1660000,0,0,1300000,1040000,8240000,0,0,0,0,0,2381775,1452315.78947368,3834090.78947368,943500,1420000,0,1420000,28914740,11842500,280000,41037240,29599356.1139638,2831414.66006579,1081193.386,3912608.04606579,29400,0,0,0,0,29400,54096000,0,0,0,0,54096000,0,0,0,0,800,0,0,800,0,0,23800,0,0,23800,1540,0,1540,660,500,160,240,0,2440,0,0,0,20,0,0,0,320,0,250,910,440,0,0,0,0,70,140,0,230,0,0,0,0,0,0,0,0,0,0,60,34445990.7215757,24496643.8860362,36420501.2105263,58712738.7894737,5332608.04606579,64045346.8355395,-9949346.83553948,102.815789473684
1,0,0,0,49000,0,0,122000,0,0,0,0,37,1,277908,2,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0,0,0,26.5,2,348.484848484848,518181.818181818,148484.848484848,369696.96969697,0,0,0,148484.848484848,0,0,369696.96969697,0,0,0,0,675757.575757576,490909.090909091,0,0,0,0,0,0,58974.7474747475,34759.1706539075,93733.9181286549,82348.4848484848,957575.757575757,0,957575.757575757,11595260.6060606,5374278.78787879,0,16969539.3939394,7513117.67570441,90045.3775777512,375885.915757576,465931.293335327,20566.6666666667,0,0,0,0,20566.6666666667,31467000,0,0,0,0,31467000,0,0,0,0,303.030303030303,0,0,303.030303030303,3393.93939393939,0,0,0,0,3393.93939393939,430.30303030303,169.69696969697,260.606060606061,315.151515151515,157.575757575758,157.575757575758,184.848484848485,0,930.30303030303,0,0,0,0,0,0,0,127.272727272727,0,0,539.393939393939,27.2727272727273,0,0,0,0,0,42.4242424242424,0,175.757575757576,0,0,0,0,0,18.1818181818182,0,0,0,0,0,13018767.6569717,23953882.3242956,29328161.1121744,19108378.281765,1423507.05091108,20531885.3326761,10935114.6673239,45.4444444444444
2,0,0,0,0,0,0,0,0,0,0,0,36,1,276084,2,0.15,0,0.15,0,0,0.15,0,0.15,0,0,0,0,0,0,0,0.12,0,0.12,0,0,0.12,0,0.12,0,0,0,0,0,0,0,19,2,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166666.666666667,66666.6666666667,1233333.33333333,0,83333.3333333333,0,0,66666.6666666667,665017.361111111,305357.894736842,970375.255847953,415000,1066666.66666667,0,1066666.66666667,2664516.66666667,634733.333333333,0,3299250,3912859.25584795,732756.612549342,99055.7208333333,831812.333382675,7000,0,0,0,0,7000,17374000,0,0,0,0,17374000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3333333333333,50,33.3333333333333,33.3333333333333,33.3333333333333,0,50,0,166.666666666667,0,0,0,0,0,0,0,16.6666666666667,0,0,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,4562995.66671601,13461140.744152,14095874.0774854,6577375.92251462,1898479.00004934,8475854.92256396,8898145.07743604,106.473684210526
2,0,0,0,0,0,0,0,0,0,0,1304000,99,1,263340,2,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0,0.32,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0,0.32,0,0,13.5,2,187.5,4075000,0,4075000,0,0,0,0,0,0,0,0,0,0,4075000,196875,203125,0,0,0,0,0,0,2688390.625,0,2688390.625,458645.833333333,0,3237500,3237500,6990240.625,4990625,325000,12305865.625,16248880.0841995,591226.218984375,338134.44234375,929360.661328125,6562.5,0,0,0,0,6562.5,13978125,0,0,0,0,13978125,0,0,0,0,0,0,0,0,0,0,0,0,21750,21750,181.25,181.25,0,306.25,0,306.25,146.875,0,634.375,0,0,0,0,0,0,0,56.25,0,0,428.125,50,0,0,0,0,9.375,90.625,0,0,0,0,0,0,0,0,0,0,0,0,0,8109222.66046193,-2270755.08419953,6092748.54166667,20191242.0833333,4166860.66132812,24358102.7446615,-10379977.7446615,46.1666666666667
2,0,0,0,0,0,0,0,0,0,0,148000,37,1,277908,2,0.31,0,0.31,0,0,0.31,0,0.31,0,0,0,0,0,0,0,0.31,0,0.31,0,0,0.31,0,0.31,0,0,0,0,0,0,0,40,1,419.354838709677,477419.35483871,0,477419.35483871,0,0,0,0,0,0,0,0,0,0,477419.35483871,458064.516129032,264516.129032258,3900000,0,0,0,0,0,179241.935483871,193100.806451613,372342.741935484,0,458064.516129032,0,458064.516129032,11877677.4193548,1720012.90322581,0,13597690.3225806,7470263.64516129,281665.775625,376758.46,658424.235625,13729.0322580645,0,0,0,0,13729.0322580645,28007225.8064516,0,0,0,0,28007225.8064516,0,0,0,0,0,0,0,0,0,0,0,0,1387.09677419355,1387.09677419355,522.58064516129,522.58064516129,0,90.3225806451613,90.3225806451613,0,80.6451612903226,0,693.548387096774,0,0,0,0,0,0,0,51.6129032258065,0,151.612903225806,303.225806451613,9.67741935483871,0,0,0,0,0,87.0967741935484,0,64.5161290322581,0,0,0,0,0,25.8064516129032,0,0,0,0,0,12994166.1711089,20536962.1612903,22256975.0645161,19347941.0645161,1116488.75175403,20464429.8162702,7542795.99018145,45.4444444444444
2,0,0,0,0,0,0,0,0,0,0,1996000,36,2,276084,1,0.9,0.9,0,0,0,0.18,0.18,0,0,0,0.72,0.72,0,0,0,0.9,0.9,0,0,0,0.18,0.18,0,0,0,0.72,0.72,0,0,0,33.8888888888889,2,462.222222222222,2217777.77777778,0,2217777.77777778,0,0,0,0,0,0,0,0,0,0,2217777.77777778,830000,165555.555555556,0,0,0,0,0,4021111.11111111,424388.888888889,68259.0643274854,492647.953216374,0,507777.777777778,2130000,2637777.77777778,8116098.88888889,8169288.88888889,0,16285387.7777778,18302465.2865497,109810.982083821,473924.619277778,583735.601361599,62222.2222222222,0,0,0,0,62222.2222222222,60355555.5555556,0,0,0,0,60355555.5555556,0,0,0,0,0,0,0,0,0,0,0,0,7233.33333333333,7233.33333333333,291.111111111111,291.111111111111,0,306.666666666667,254.444444444444,52.2222222222222,108.888888888889,104.444444444444,811.111111111111,0,0,0,0,0,0,0,76.6666666666667,0,0,192.222222222222,45.5555555555556,0,0,0,0,7.77777777777778,301.111111111111,74.4444444444445,40,0,0,0,0,0,0,0,0,0,0,73.3333333333333,9207612.26802826,42053090.2690058,52352379.1578947,24288564.1754386,3221513.37913938,27510077.554578,32845478.0009776,18.0769230769231
2,0,0,0,0,0,0,0,0,0,0,2037000,36,3,276084,2,2.37,0.55,1.82,0,0,2.37,0.55,1.82,0,0,0,0,0,0,0,2.37,0.55,1.82,0,0,2.37,0.55,1.82,0,0,0,0,0,0,0,26.3333333333333,2,94.9367088607595,859493.670886076,0,859493.670886076,0,0,0,0,0,0,0,0,0,0,859493.670886076,211392.405063291,182278.481012658,0,0,0,203375.52742616,0,1066666.66666667,911987.341772152,145129.025094382,1057116.36686653,2102.67229254571,71729.9578059072,0,71729.9578059072,2538088.18565401,1488644.7257384,0,4026732.9113924,5347154.51595233,166304.267067511,131981.284198312,298285.551265823,5198.31223628692,0,0,0,0,5198.31223628692,6030042.19409283,0,0,0,0,6030042.19409283,0,0,0,0,0,0,0,0,0,0,0,0,2286.91983122363,2286.91983122363,46.4135021097046,46.4135021097046,0,73.8396624472574,40.506329113924,33.3333333333333,68.3544303797468,8.86075949367089,197.46835443038,0,0,0,0,0,0,0,18.1434599156118,0,0,123.628691983122,0,0,0,12.6582278481013,0,4.21940928270042,16.4556962025316,0,14.7679324894515,0,0,0,0,0,0,0,0,0,0,7.59493670886076,2908103.69472574,682887.678140499,2374907.93130506,7885242.70160634,370015.50907173,8255258.21067807,-2225216.01658524,3.26923076923077
