"연령별","무기질비료_질소질_지출액1","무기질비료_인산질_지출액1","무기질비료_가리질_지출액1","무기질비료_복합_지출액1","무기질비료_토양개량제_지출액1","무기질비료_기타_지출액1","유기질비료_퇴구비_지출액1","유기질비료_계분_지출액1","유기질비료_우분_지출액1","유기질비료_돈분_지출액1","유기질비료_기타_지출액1","지역별","규모별","조성비","경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액2","무기질비료_인산질_지출액2","무기질비료_가리질_지출액2","무기질비료_복합_지출액2","무기질비료_토양개량제_지출액2","무기질비료_기타_지출액2","유기질비료_퇴구비_지출액2","유기질비료_계분_지출액2","유기질비료_우분_지출액2","유기질비료_돈분_지출액2","유기질비료_기타_지출액2","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","특대 수량_ha당","대 수량_ha당","중 수량_ha당","소 수량_ha당","특대 평가액_ha당","대 평가액_ha당","중 평가액_ha당","소 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별_시간_ha당","수확 및 운반_시간_ha당","시비_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","표고목 눕히기_시간_ha당","표고목 뒤집기_시간_ha당","표고목 벌채_시간_ha당","표고목 세우기_시간_ha당","표고목 폐기_시간_ha당","버섯발생작업_시간_ha당","재배장 소독_시간_ha당","종균접종_시간_ha당","천공작업_시간_ha당","표고세척_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,38,1,275283,6,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,40,2,271.739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85597.8260869565,0,0,0,0,0,0,67663.0434782609,5434.78260869565,73097.8260869565,45289.8550724638,19347.8260869565,0,19347.8260869565,2147341.30434783,0,0,2147341.30434783,479268.507246377,16803.1826530797,24208.7445234783,41011.927176558,2207701.05761134,734318.449275362,2626609.8115942,60359.7532635144,2686969.56485772,-1473382.60833598,1213586.95652174,16.304347826087,103.260869565217,521.739130434783,119.565217391304,57065.2173913043,263043.47826087,784782.608695652,108695.652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1739130434783,5.43478260869565,0,0,38.5869565217391,0,121.195652173913,0,0,0,0,0,0,0,0,0,67.3913043478261,0,0,0,0,23.3695652173913,0,0,0,30.4347826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2222222222222
1,0,0,0,0,0,0,0,0,0,0,255000,99,1,255762,6,1.9,0,0,1.9,0,0,0,0,0,0,1.9,0,0,1.9,0,1.87,0,0,1.87,0,0,0,0,0,0,1.87,0,0,1.87,0,16,2,247.058823529412,136363.636363636,0,136363.636363636,0,0,0,0,0,0,0,0,0,0,136363.636363636,0,44010.6951871658,10427.807486631,0,40106.9518716578,0,0,619475.935828877,30392.1568627451,12032.0855614973,42424.2424242424,196078.431372549,0,213903.743315508,213903.743315508,1813899.46524064,0,0,1813899.46524064,1558553.44385027,36956.2087107843,28885.2399624599,65841.4486732442,1879740.91391389,-226847.561497326,3158549.1657754,279745.191988752,3438294.35776415,-2106588.47541121,1331705.88235294,182.887700534759,174.866310160428,72.7272727272727,0,810192.513368984,400443.85026738,121069.518716578,0,0,0,0,0,0,0,0,0,0,0,0,0,320.855614973262,320.855614973262,56.6844919786096,0,0,0,40.6417112299465,0,97.3262032085562,42.7807486631016,0,0,0,0,0,0,4.27807486631016,4.27807486631016,27.807486631016,2.13903743315508,0,0,0,0,0,0,0,14.9732620320856,0,0,0,1.06951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6363636363636
1,0,0,0,0,0,0,0,0,0,0,8500000,99,3,255762,6,7,0,0,7,0,7,0,0,7,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,8.25,2,390,2833333.33333333,0,2833333.33333333,0,0,0,0,0,0,0,0,0,0,2833333.33333333,0,95633.3333333333,141666.666666667,8000,125000,0,0,233833.333333333,148611.111111111,69166.6666666667,217777.777777778,109375,201000,0,201000,2391628.66666667,2233333.33333333,53333.3333333333,4678295.33333333,6279468.74313168,45885.3035180903,87988.2510873,133873.55460539,2754081.58925149,-1836468.74313168,8698676.77777778,334873.55460539,9033550.33238317,-4590550.33238317,4443000,200,460,341.666666666667,50,1300000,2070000,1025000,48000,0,0,0,0,0,0,0,0,0,0,0,0,6666.66666666667,6666.66666666667,65.3333333333333,0,0,66.6666666666667,61.3333333333333,64,257.333333333333,24,0,0,0,0,0,0,0,74.6666666666667,34.6666666666667,37.3333333333333,0,0,0,0,0,0,0,82.6666666666667,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6
1,0,0,0,0,0,0,42000,0,0,0,1584000,34,4,280823,6,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,8,0,0,8,0,0,0,0,0,0,8,0,0,8,0,22.7142857142857,2,1012.5,203250,0,203250,0,0,0,0,0,0,5250,0,0,0,198000,130250,230000,0,0,21625,0,0,0,176010.375,6250,182260.375,53437.5,0,140000,140000,2369630,208726,0,2578356,1450371.875,27846.7231391469,34297.35378365,62144.0769227969,2431774.0769228,872559.375,3680001.875,202144.076922797,3882145.9519228,-1559214.7019228,2322931.25,319.375,151.625,0,0,1755193.75,567737.5,0,0,0,0,0,0,0,0,0,0,50,0,0,0,300,350,62.75,0,0,17,62.5,0,142.25,3,0,0,0,0,0,22,0,0,39.75,2,0,0,0,10,30,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2068965517241
1,0,0,0,0,0,0,480000,0,0,0,2550000,34,4,280823,6,11.31,0,0,11.31,0,11.31,0,0,11.31,0,0,0,0,0,0,11.31,0,0,11.31,0,11.31,0,0,11.31,0,0,0,0,0,0,17.2,2,335.985853227232,267904.50928382,0,267904.50928382,0,0,0,0,0,0,42440.3183023873,0,0,0,225464.190981432,2652.5198938992,14986.7374005305,0,0,1989.3899204244,0,0,46286.4721485411,212566.312997347,1989.3899204244,214555.702917772,59681.6976127321,292042.440318302,0,292042.440318302,1604594.25287356,234128.735632184,34040.6719717065,1872763.66047745,1127343.24017059,31693.4932211538,23923.0037165385,55616.4969376923,1981959.38674058,2409349.95169502,2761643.68965517,347658.937255995,3109302.62691117,427390.564954438,3536693.19186561,0,353.669319186561,884.173297966401,0,0,884173.297966401,2652519.8938992,0,0,0,0,0,0,0,0,0,282.935455349248,0,0,0,530.503978779841,813.439434129089,39.2572944297082,30.8576480990274,5.65870910698497,6.18921308576481,27.9398762157383,4.24403183023873,114.146772767462,9.72590627763041,0,0,0,0,0,0,0.884173297966401,3.27144120247568,51.4588859416446,4.42086648983201,0,0,0,1.3262599469496,13.4394341290893,1.7683465959328,0,27.0557029177719,0,0,0,0.442086648983201,0.353669319186561,0,0,0,0,0,0,0,0,0,0,0,0,10.2068965517241
1,0,0,0,280000,0,0,176000,0,0,0,0,36,3,266157,6,3.99,0,0,3.99,0,3.99,0,0,3.99,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,19.6,2,430,152000,93333.3333333333,58666.6666666667,0,0,0,93333.3333333333,0,0,58666.6666666667,0,0,0,0,0,113716.666666667,10000,0,6666.66666666667,0,0,148333.333333333,147710,45000,192710,90000,116375.666666667,0,116375.666666667,2048170.66666667,0,0,2048170.66666667,979583.666666667,52799.1607495,26875.2288574333,79674.3896069333,2244220.72294027,-612917,3027754.33333333,196050.0562736,3223804.38960693,-2857137.72294027,366666.666666667,13.3333333333333,120,0,0,66666.6666666667,300000,0,0,0,0,0,0,133.333333333333,0,0,133.333333333333,533.333333333333,0,0,0,0,533.333333333333,46,0,0,0,60.6666666666667,0,106.666666666667,5.33333333333333,0,0,0,0,0,0,2.66666666666667,2.66666666666667,5.33333333333333,20,0,0,0,18.6666666666667,0,0,0,48.6666666666667,0,0,0,0.666666666666667,2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,10.9166666666667
1,0,0,0,550000,0,0,0,0,0,0,0,34,3,280823,6,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,38.6666666666667,2,330,183333.333333333,183333.333333333,0,0,0,0,183333.333333333,0,0,0,0,0,0,0,0,1066.66666666667,0,0,0,0,0,0,46885.5555555556,10666.6666666667,57552.2222222222,99750,333333.333333333,0,333333.333333333,1226413.33333333,58333.3333333333,16000,1300746.66666667,681585.028219427,23719.8437211111,16101.4403586667,39821.2840797777,1614841.47808257,1985081.63844724,1923271.88888889,373154.617413111,2296426.506302,370240.160364666,2666666.66666667,0,0,1333.33333333333,0,0,0,2666666.66666667,0,0,0,0,0,333.333333333333,0,0,333.333333333333,0,0,0,0,0,0,70.3333333333333,0,2.66666666666667,5.33333333333333,4.66666666666667,0,83,0,0,0,0,0,0,0,1,0,58.6666666666667,5.33333333333333,0,0,0,0,13.3333333333333,0,0,4.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6896551724138
2,0,0,0,0,0,0,0,0,0,0,0,34,2,280823,6,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,22.6,2,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,147500,0,7500,4000,0,0,24250,134235,0,134235,0,0,500000,500000,2248641,229224,0,2477865,1360532,6416.05377672,29208.65188975,35624.70566647,2284265.70566647,213468,3109173,535624.70566647,3644797.70566647,-2070797.70566647,1574000,30,320,200,100,114000,960000,400000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5,0,8,8,40,0,140.5,0,0,0,0,0,0,0,0,0,79,0,0,0,0,12,0,0,0,47,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,27
2,0,0,0,0,0,0,0,0,0,0,0,36,3,266157,6,4.71,0,0,4.71,0,3.11,0,0,3.11,0,1.6,0,0,1.6,0,4.04,0,0,4.04,0,3.04,0,0,3.04,0,1,0,0,1,0,29.3333333333333,2,99.009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59364.6864686469,12369.7238144867,71734.4102831336,74257.4257425743,49504.9504950495,12376.2376237624,61881.1881188119,341623.267326733,0,0,341623.267326733,424525.07364947,15199.7150554651,3703.75989621287,18903.474951678,410031.69277346,-7445.86572867818,753772.103352441,80784.6630704898,834556.76642293,-417477.558502138,417079.207920792,14.8514851485149,7.42574257425743,173.267326732673,0,75495.0495049505,29702.9702970297,311881.188118812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9009900990099,15.0990099009901,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9166666666667
2,0,0,0,0,0,0,0,0,0,0,0,36,4,266157,6,7.33,0,0.33,7,0,7.33,0,0.33,7,0,0,0,0,0,0,6.34,0,0.2,6.14,0,6.34,0,0.2,6.14,0,0,0,0,0,0,29,2,227.444794952681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22263.4069400631,9463.72239747634,0,31309.1482649842,0,0,1703.47003154574,27705.047318612,5686.53494936078,33391.5822679728,49684.5425867508,293990.536277603,0,293990.536277603,519297.003154574,141998.422712934,0,661295.425867508,555971.295201727,12057.9042958762,7871.41923879338,19929.3235346696,833216.862966846,208650.155902374,1075268.2983563,313919.859812272,1389188.15816857,-624566.707064472,764621.451104101,0,178.233438485804,0,0,0,764621.451104101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0378548895899,11.3564668769716,0,4.88958990536278,7.09779179810726,3.78548895899054,41.1671924290221,0,0,0,0,0,0,0,0,6.15141955835962,23.9747634069401,0,0,0,0,0.473186119873817,0,0,0,10.410094637224,0,0,0,0.157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9166666666667
