"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","제재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","특대 수량_ha당","대 수량_ha당","중 수량_ha당","소 수량_ha당","특대 평가액_ha당","대 평가액_ha당","중 평가액_ha당","소 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,10648000,34,4,289401,2,14.14,0,0,14.14,0,14.14,0,0,14.14,0,0,0,0,0,0,14.14,0,0,14.14,0,14.14,0,0,14.14,0,0,0,0,0,0,19.2,2,268.741159830269,753041.018387553,0,753041.018387553,0,0,0,0,0,0,0,0,0,0,753041.018387553,54950.495049505,26308.3451202263,0,4950.49504950495,2121.64073550212,46676.0961810466,0,2376.23762376238,103029.231494578,1199.25742574257,104228.488920321,30886.0207449316,274540.311173975,0,274540.311173975,1185740.87694484,546393.210749646,16619.5190947666,1748753.60678925,1866575.59442714,22239.3283639793,43810.3537199434,66049.6820839227,1537707.84343236,207278.719575694,3063693.4446016,340589.993257897,3404283.4378595,-1330429.12385667,2073854.31400283,73.6916548797737,626.166902404526,73.6916548797737,36.8458274398868,250551.626591231,1664865.62942009,125275.813295615,33161.2446958982,0,0,0,0,0,0,0,0,0,0,0,0,707.213578500707,707.213578500707,28.0763790664781,21.6407355021216,13.2248939179632,11.951909476662,15.1343705799151,6.50636492220651,96.5346534653465,2.05091937765205,0,0,0,0,0,3.18246110325318,3.11173974540311,4.1018387553041,54.8090523338048,3.81895332390382,0,0,0,2.26308345120226,11.7397454031117,1.76803394625177,0,9.47666195190948,0,0,0,0.212164073550212,0,0,0,0,0,1.6875
1,0,0,0,0,0,0,0,0,0,0,2556000,34,4,289401,2,13.6,0,0,13.6,0,0,0,0,0,0,13.6,0,0,13.6,0,13.6,0,0,13.6,0,0,0,0,0,0,13.6,0,0,13.6,0,24.7142857142857,2,595.588235294118,187941.176470588,0,187941.176470588,0,0,0,0,0,0,0,0,0,0,187941.176470588,34485.2941176471,58088.2352941177,0,0,54705.8823529412,11323.5294117647,0,0,191363.112745098,5250,196613.112745098,50284.9264705882,0,52279.4117647059,52279.4117647059,1087219.19117647,11580.8823529412,1176.47058823529,1099976.54411765,946715.850476718,33547.3814460784,24012.2429852941,57559.6244313726,1145942.88669975,-305082.982829659,1982819.70098039,109839.036196078,2092658.73717647,-1451025.86952941,641632.867647059,110.147058823529,34.4852941176471,19.5588235294118,0,481764.705882353,99235.8088235294,60632.3529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,176.470588235294,176.470588235294,16.1764705882353,0,0,0,34.1176470588235,0.661764705882353,50.9558823529412,0,0,0,0,0,0,8.45588235294118,0,0,1.91176470588235,6.47058823529412,0,0,0,7.79411764705883,15.5882352941177,0,0,10.7352941176471,0,0,0,0,0,0,0,0,0,1.6875
1,0,0,0,0,0,0,1852000,0,0,0,0,34,1,289401,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,2,300,1852000,0,1852000,0,0,0,0,0,0,1852000,0,0,0,0,115000,435000,11500,0,14000,0,0,506000,245016.666666667,209314.736842105,454331.403508772,1313000,300000,0,300000,6105077,354824,0,6459901,5345056.40350877,373077.372736842,155930.4566,529007.829336842,6934084.82933684,1038743.59649123,11450133.4035088,829007.829336842,12279141.2328456,-5895341.23284561,6383800,541,468,333,271,4111800,1350400,677700,243900,0,0,0,0,0,0,0,0,4800,0,0,0,0,4800,198,113,10,9,33,2,365,53,0,0,0,0,0,12,0,0,223,18,0,0,0,6,0,0,0,34,0,0,0,0,0,0,0,0,19,28.2903225806452
1,0,0,0,251000,0,0,0,0,0,0,1065000,34,2,289401,2,3.25,0,0,3.25,0,0,0,0,0,0,3.25,0,0,3.25,0,2.6,0,0,2.6,0,0,0,0,0,0,2.6,0,0,2.6,0,18.3333333333333,2,403.846153846154,506153.846153846,96538.4615384615,409615.384615385,0,0,0,96538.4615384615,0,0,0,0,0,0,409615.384615385,21923.0769230769,61153.8461538461,0,0,0,203076.923076923,0,43038.4615384615,342492.307692308,6590.76923076923,349083.076923077,526041.666666667,0,327307.692307692,327307.692307692,3129025,0,0,3129025,2327179.58974359,119841.730984615,65808.5611538462,185650.292138462,3314675.29213846,-252564.205128205,5128896.8974359,512957.984446154,5641854.88188205,-3567239.49726667,2074615.38461538,108.076923076923,296.538461538462,248.076923076923,308.461538461538,510692.307692308,839115.384615385,445576.923076923,279230.769230769,0,0,0,0,138.461538461538,0,0,138.461538461538,0,0,0,0,384.615384615385,384.615384615385,60,82.3076923076923,0,0,35,0,177.307692307692,0,0,0,0,0,0,8.84615384615385,0,13.4615384615385,108.076923076923,7.30769230769231,0,0,0,4.23076923076923,21.1538461538462,0,0,12.3076923076923,0,0,0,1.92307692307692,0,0,0,0,0,16.3541666666667
1,0,0,0,387000,0,0,0,0,0,0,5679000,99,4,264842,1,13.66,0,0,13.66,0,13.66,0,0,13.66,0,0,0,0,0,0,13.66,0,0,13.66,0,13.66,0,0,13.66,0,0,0,0,0,0,24.5,2,131.771595900439,444070.27818448,28330.8931185944,415739.385065886,0,0,0,28330.8931185944,0,0,0,0,0,0,415739.385065886,82869.6925329429,68594.4363103953,0,0,1464.12884333821,0,93997.0717423133,0,42993.2284040996,26732.0644216691,69725.2928257687,6009.02879453392,198400.732064422,0,198400.732064422,1364378.477306,498471.815519766,21303.074670571,1884153.36749634,1535744.13965274,25004.3013079551,42747.4729868228,67751.7742947779,1646133.66343658,5785039.16927845,2915725.29673011,266152.5063592,3181877.80308931,4138905.50584187,7320783.30893119,304.612005856515,1232.86969253294,560.102489019034,112.957540263543,1502891.65446559,4573433.38213763,1120204.97803807,124253.294289898,0,0,0,0,48.8286969253294,0,0,48.8286969253294,0,0,0,0,585.651537335286,585.651537335286,22.913616398243,22.4743777452416,5.27086383601757,25.5490483162518,26.3543191800878,0,102.562225475842,0,0,0,0,0,0.439238653001464,4.90483162518302,0,19.8389458272328,56.3689604685212,3.58711566617862,0,0,0,0,15.5197657393851,0,0,1.90336749633968,0,0,0,0,0,0,0,0,0,1.88888888888889
1,0,0,0,47000,0,0,0,0,0,0,0,38,1,292048,2,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,42,2,271.739130434783,25543.4782608696,25543.4782608696,0,0,0,0,25543.4782608696,0,0,0,0,0,0,0,0,60869.5652173913,0,0,75000,0,0,7065.21739130435,62796.1956521739,3880.4347826087,66676.6304347826,124882.246376812,18804.347826087,0,18804.347826087,1671952.17391304,288600,0,1960552.17391304,940685.137681159,35899.3148731884,35341.9052173913,71241.2200905797,1761997.74182971,-737532.963768116,2612637.3115942,90045.5679166667,2702682.87951087,-2499530.70559783,203152.173913043,0,96.7391304347826,0,0,0,203152.173913043,0,0,0,0,0,0,50.5434782608696,0,0,50.5434782608696,0,0,0,0,0,0,46.7391304347826,0,8.69565217391304,8.69565217391304,34.7826086956522,0,98.9130434782609,0,0,0,0,0,0,0,0,26.0869565217391,31.5217391304348,1.6304347826087,0,0,0,1.08695652173913,0,2.17391304347826,0,34.7826086956522,0,0,0,0,0,0,0,0,1.6304347826087,32.1666666666667
2,0,0,0,0,0,0,0,0,0,0,0,34,4,289401,1,6.5,0,0,6.5,0,6.5,0,0,6.5,0,0,0,0,0,0,6.5,0,0,6.5,0,6.5,0,0,6.5,0,0,0,0,0,0,24,2,392.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12461.5384615385,53846.1538461538,3184.61538461538,0,0,85230.7692307692,0,72923.0769230769,58850,24975.5465587045,83825.5465587045,80800,109230.769230769,0,109230.769230769,420672.615384615,885384.615384615,24923.0769230769,1330980.30769231,1583952.83028599,43350.6882995951,25873.1992615385,69223.8875611336,607154.83460308,5013631.78509863,2012653.00809717,178454.656791903,2191107.66488907,4406476.95049555,6597584.61538462,368.615384615385,881.384615384615,256.307692307692,144.307692307692,2323815.38461538,3349276.92307692,736861.538461538,187630.769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7692307692308,7.53846153846154,27.3846153846154,19.8461538461538,0,3.69230769230769,75.2307692307692,11.0769230769231,0,0,0,0,0,0,0,0,30.9230769230769,0,0,0,0,32.7692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,7.3
2,0,0,0,0,0,0,0,0,0,0,0,34,4,289401,2,13.5,0,0,13.5,0,13.5,0,0,13.5,0,0,0,0,0,0,13.5,0,0,13.5,0,13.5,0,0,13.5,0,0,0,0,0,0,16.25,2,259.259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45037.037037037,8444.44444444445,18740.7407407407,0,10518.5185185185,0,95111.1111111111,3370.37037037037,34410.6481481481,12693.3333333333,47103.9814814815,10535.8024691358,449607.407407407,0,449607.407407407,949147.703703704,196370.37037037,11333.3333333333,1156851.40740741,726576.192562063,23040.6453228395,22212.0222518519,45252.6675746914,1453398.29600028,611268.251882381,1685114.41358025,494860.074982099,2179974.48856235,-842130.044117901,1337844.44444444,108,127.259259259259,92.5925925925926,57.8518518518519,708474.074074074,401377.777777778,175925.925925926,52066.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4444444444444,11.1111111111111,6.51851851851852,1.33333333333333,17.7037037037037,2.22222222222222,59.3333333333333,0,0,0,0,0,0,1.7037037037037,0,2.44444444444444,14.2222222222222,0,0,0,0,0,21.9259259259259,0,0,8.66666666666667,0,0,0,2.96296296296296,0,0,0,0,7.40740740740741,1.6875
2,0,0,0,0,0,0,0,0,0,0,0,99,1,264842,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,20,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,4540,0,4540,306366.666666667,100000,0,100000,872274,0,0,872274,625748.666666667,51580.3610666666,15309.7484,66890.1094666667,1039164.10946667,-45644.6666666667,1498022.66666667,166890.109466667,1664912.77613333,-1084808.77613333,580104,0,168,0,0,0,580104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0,0,5,0,47,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,27.125
2,0,0,0,0,0,0,0,0,0,0,1278000,34,4,289401,2,5.67,0,0,5.67,0,0,0,0,0,0,5.67,0,0,5.67,0,5.67,0,0,5.67,0,0,0,0,0,0,5.67,0,0,5.67,0,22.6,2,246.913580246914,225396.825396825,0,225396.825396825,0,0,0,0,0,0,0,0,0,0,225396.825396825,17460.3174603175,14814.8148148148,0,3350.97001763668,0,23280.4232804233,0,35731.9223985891,14044.6796002352,3305.55555555556,17350.2351557907,58690.4761904762,0,139682.53968254,139682.53968254,1051748.14814815,0,0,1051748.14814815,825159.524397413,12768.5787389771,22771.6047971781,35540.1835361552,1087288.3316843,2459.52322163421,1737225.13286302,175222.723218695,1912447.85608172,-1084828.80846267,827619.047619048,18.342151675485,45.8553791887125,266.490299823633,73.5449735449735,62363.315696649,123809.523809524,575255.731922399,66190.4761904762,0,0,0,0,0,0,0,0,0,0,0,0,211.640211640212,211.640211640212,45.326278659612,0,0,0,8.994708994709,0,54.320987654321,2.11640211640212,0,0,0,0,0,1.23456790123457,0,3.7037037037037,36.1552028218695,1.58730158730159,0,0,0,0.705467372134039,2.29276895943563,0,0,5.64373897707231,0,0,0,0.881834215167549,0,0,0,0,0,7.3
