"▣ 연령별","무기질비료_질소질_지출액","무기질비료_인산질_지출액","무기질비료_가리질_지출액","무기질비료_복합_지출액","무기질비료_토양개량제_지출액","무기질비료_기타_지출액","유기질비료_퇴구비_지출액","유기질비료_계분_지출액","유기질비료_우분_지출액","유기질비료_돈분_지출액","유기질비료_기타_지출액","▣ 지역별","▣ 규모별(통계표기준)","조성비","▣ 경영수준별","경지면적_합계_계","경지면적_합계_논","경지면적_합계_밭","경지면적_합계_임지","경지면적_합계_기타","경지면적_자작지_계","경지면적_자작지_논","경지면적_자작지_밭","경지면적_자작지_임지","경지면적_자작지_기타","경지면적_차용지_계","경지면적_차용지_논","경지면적_차용지_밭","경지면적_차용지_임지","경지면적_차용지_기타","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","수령","▣ 전/겸업별","재배본수_ha당","비료비_ha당","무기질비료_ha당","유기질비료_ha당","무기질비료_질소질_지출액_ha당","무기질비료_인산질_지출액_ha당","무기질비료_가리질_지출액_ha당","무기질비료_복합_지출액_ha당","무기질비료_토양개량제_지출액_ha당","무기질비료_기타_지출액_ha당","유기질비료_퇴구비_지출액_ha당","유기질비료_계분_지출액_ha당","유기질비료_우분_지출액_ha당","유기질비료_돈분_지출액_ha당","유기질비료_기타_지출액_ha당","농약비_ha당","수도광열비_ha당","기타재료비_ha당","소농구비_ha당","수선비_ha당","임차료_ha당","위탁영농비_ha당","기타비용_ha당","기계_감가상각비_ha당","시설물_감가상각비_ha당","감가상각비_ha당","자동차비_ha당","자가토지용역비_ha당","임차토지용역비_ha당","토지용역비_ha당","자가노동비_ha당","고용노동비_ha당","급식물비_ha당","노동비_ha당","경영비","고정자본용역비_ha당","유동자본용역비_ha당","자본용역비_ha당","내급비","소득","직접생산비","간접생산비","생산비 합계_ha당","순수익","총 평가액_ha당","특대 수량_ha당","대 수량_ha당","중 수량_ha당","소 수량_ha당","특대 평가액_ha당","대 평가액_ha당","중 평가액_ha당","소 평가액_ha당","부산물 생산량_ha당","무기질_질소질_수량_ha당","무기질_인산질_수량_ha당","무기질_가리질_수량_ha당","무기질_복합_수량_ha당","무기질_토양개량제_수량_ha당","무기질_기타_수량_ha당","무기질_합계_수량_ha당","유기질_퇴구비_수량_ha당","유기질_계분_수량_ha당","유기질_우분_수량_ha당","유기질_돈분_수량_ha당","유기질_기타_수량_ha당","유기질_합계_수량_ha당","총 노동시간_보통자가_남_ha당","총 노동시간_보통자가_여_ha당","총 노동시간_보통고용_남_ha당","총 노동시간_보통고용_여_ha당","총 노동시간_특수자가_ha당","총 노동시간_특수고용_ha당","총 노동시간_합계_ha당","간벌_시간_ha당","경운_시간_ha당","관수(살수)_시간_ha당","두둑_시간_ha당","멀칭_시간_ha당","배수로 정비 및 관리_시간_ha당","병해충방제_시간_ha당","보식작업_시간_ha당","선별 및 포장_시간_ha당","수확_시간_ha당","시비_시간_ha당","식재(조림)_시간_ha당","열매솎기(적과)_시간_ha당","인공교배 또는 수정_시간_ha당","재배지 정리_시간_ha당","전정_시간_ha당","접목 및 관리_시간_ha당","정지_시간_ha당","제초_시간_ha당","종묘 이식_시간_ha당","차광막 설치_시간_ha당","채종_시간_ha당","꽃눈솎기(적뢰)_시간_ha당","출하_시간_ha당","일반관리_시간_ha당","파종_시간_ha당","세척_시간_ha당","운반 및 저장_시간_ha당","기타_시간_ha당","가중치"
1,0,0,0,0,0,0,0,0,0,0,0,34,2,300789,2,3.25,0,0,3.25,0,0,0,0,0,0,3.25,0,0,3.25,0,2.6,0,0,2.6,0,0,0,0,0,0,2.6,0,0,2.6,0,19.3333333333333,2,346.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7307.69230769231,5615.38461538462,0,0,0,0,0,152692.307692308,344397.435897436,6162.69230769231,350560.128205128,470884.615384615,0,300000,300000,1793918.46153846,0,0,1793918.46153846,1587849.12820513,130911.469891667,39484.607,170396.076891667,1964314.53843013,1404743.17948718,3081767.58974359,470396.076891667,3552163.66663526,-559571.358942949,2992592.30769231,0,703.076923076923,168.846153846154,202.307692307692,0,2341246.15384615,388346.153846154,263000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2307692307692,51.9230769230769,0,0,10.7692307692308,0,101.923076923077,0,0,0,0,0,0,0,10,6.92307692307692,66.1538461538461,0,0,0,0,2.69230769230769,4.23076923076923,0,0,10.7692307692308,0,0,0,0,1.15384615384615,0,0,0,0,0,16.3541666666667
1,0,0,0,0,0,0,0,0,0,0,0,34,4,300789,1,14.14,0,0,14.14,0,14.14,0,0,14.14,0,0,0,0,0,0,14.14,0,0,14.14,0,14.14,0,0,14.14,0,0,0,0,0,0,20.2,2,268.741159830269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19448.3734087695,14038.189533239,0,0,7072.13578500707,0,0,4384.72418670438,185648.721122112,1259.19377652051,186907.914898633,33615.6294200849,277581.329561528,0,277581.329561528,1072505.51626591,350087.057991513,14144.2715700141,1436736.84582744,919823.801456713,40706.0952955563,29855.8574151344,70561.9527106907,1431312.29387538,2567256.11367766,2002992.81305988,348143.282272218,2351136.0953321,1135943.81980227,3487079.91513437,0,1047.171145686,0,0,0,3487079.91513437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4893917963225,14.0735502121641,8.76944837340877,9.68882602545969,17.7510608203678,1.6973125884017,74.4695898161245,7.63790664780764,0,0,0,0,0,1.76803394625177,0,3.18246110325318,25.7425742574257,0,0,0,0,6.08203677510608,20.2263083451202,0,0,9.47666195190948,0,0,0,0,0.353606789250354,0,0,0,0,0,1.6875
1,0,0,0,455000,0,0,0,0,0,0,4663000,99,4,270258,2,13.66,0,0,13.66,0,13.66,0,0,13.66,0,0,0,0,0,0,13.66,0,0,13.66,0,13.66,0,0,13.66,0,0,0,0,0,0,30.8571428571429,2,168.374816983895,374670.571010249,33308.9311859444,341361.639824305,0,0,0,33308.9311859444,0,0,0,0,0,0,341361.639824305,59516.8374816984,73821.3762811127,11054.1727672035,0,805.270863836018,0,0,0,101467.026598341,23180.7989960259,124647.825594367,5273.91410444119,232650.073206442,0,232650.073206442,1221288.94582723,867945.754026354,46120.0585651537,2135354.75841874,1807153.70880279,35638.9399805654,53502.7431844802,89141.6831650457,1570040.77409034,1134888.38490145,3055402.72652165,321791.756371488,3377194.48289314,-435152.38918889,2942042.09370425,272.98682284041,363.98243045388,200.95168374817,73.2796486090776,1184762.81112738,1275030.45387994,403912.884333821,78335.9443631039,0,0,0,0,31.4787701317716,0,0,31.4787701317716,0,0,0,0,658.857979502196,658.857979502196,29.4289897510981,8.05270863836018,14.2752562225476,38.1405563689605,22.0351390922401,0,111.932650073206,0,0,0,0,0,0,1.17130307467057,0,0,75.3294289897511,4.97803806734993,0,0,0,0,24.2313323572474,0,0,6.22254758418741,0,0,0,0,0,0,0,0,0,0,2.42857142857143
1,0,0,0,83000,0,0,15000,0,0,0,0,38,1,296914,2,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,1.84,0,0,1.84,0,1.84,0,0,1.84,0,0,0,0,0,0,43,2,27.1739130434783,53260.8695652174,45108.6956521739,8152.17391304348,0,0,0,45108.6956521739,0,0,8152.17391304348,0,0,0,0,0,25706.5217391304,0,0,11413.0434782609,0,0,0,62437.5,3225.27173913043,65662.7717391304,109592.391304348,19021.7391304348,0,19021.7391304348,2192816.84782609,241847.826086957,8152.17391304348,2442816.84782609,805207.221483887,38004.1098213315,51043.9252445652,89048.0350658968,2308228.99836462,-318946.351918669,3005366.44565217,108069.774196332,3113436.21984851,-2627175.35028329,486260.869565217,0,253.260869565217,0,0,0,486260.869565217,0,0,0,0,0,0,48.9130434782609,0,0,48.9130434782609,65.2173913043478,0,0,0,0,65.2173913043478,46.7391304347826,42.3913043478261,0,0,27.1739130434783,9.23913043478261,125.54347826087,0,0,0,0,0,0,0,0,9.78260869565217,75,2.71739130434783,0,0,0,0,1.6304347826087,0,0,36.4130434782609,0,0,0,0,0,0,0,0,0,0,32.1666666666667
1,115000,0,0,758000,0,0,0,0,0,0,2238000,99,3,270258,1,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,0,24,2,337.5,777750,218250,559500,28750,0,0,189500,0,0,0,0,0,0,559500,252750,130425,51000,18500,0,0,0,173750,45436.4583333333,96143.8486842105,141580.307017544,24005.2083333333,0,162750,162750,1905926,1390737.75,133500,3430163.75,3449824.86612568,168947.561048657,97411.9258125,266359.486861157,2249466.88608636,10798979.3838743,5270182.26535088,429109.486861157,5699291.75221203,8549512.49778797,14248804.25,530.25,1850.75,655.5,134,3075450,8883600,2102188.5,187565.75,0,25,0,0,180,0,0,205,0,0,0,0,900,900,47,38.75,12.5,71,17.5,0,186.75,0,0,0,0,0,0,1.25,0,36,109.5,17.5,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,14.4444444444444
2,0,0,0,0,0,0,0,0,0,0,0,34,2,300789,2,2.6,0,0,2.6,0,2.6,0,0,2.6,0,0,0,0,0,0,2.6,0,0,2.6,0,2.6,0,0,2.6,0,0,0,0,0,0,14.5,2,230.769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8461.53846153846,5269.23076923077,43461.5384615385,0,0,0,0,21923.0769230769,197758.814102564,0,197758.814102564,53544.8717948718,226153.846153846,0,226153.846153846,1845826.15384615,0,0,1845826.15384615,631208.07051282,62092.96609375,38787.572,100880.53809375,2172860.53809375,539415.006410257,2477034.22435897,327034.384247596,2804068.60860657,-1633445.53168349,1170623.07692308,0,351.538461538462,0,0,0,1170623.07692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1538461538461,21.1538461538462,0,0,11.1538461538462,0,98.4615384615385,9.23076923076923,0,0,0,0,0,0,1.53846153846154,10.3846153846154,44.2307692307692,0,0,0,0,8.46153846153846,16.9230769230769,0,0,6.92307692307692,0,0,0,0,0.769230769230769,0,0,0,0,0,16.3541666666667
2,0,0,0,0,0,0,0,0,0,0,0,34,4,300789,2,13.5,0,0,13.5,0,13.5,0,0,13.5,0,0,0,0,0,0,13.5,0,0,13.5,0,13.5,0,0,13.5,0,0,0,0,0,0,16.25,2,259.259259259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122888.888888889,6348.14814814815,0,8814.81481481482,1481.48148148148,0,0,36666.6666666667,34202.4691358024,10550.4483430799,44752.9174788824,9250.61728395062,454518.518518519,0,454518.518518519,698426,493730.666666667,3333.33333333333,1195490,1026103.69858638,23360.1410682911,27639.5535,50999.6945682911,1205897.04926326,132335.56067288,1726482.53476283,505518.21308681,2232000.74784964,-1073561.48859038,1158439.25925926,98.7407407407407,116.37037037037,81.2592592592593,60.8888888888889,623132.592592593,356580.740740741,130014.814814815,48711.1111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2962962962963,9.11111111111111,12.6666666666667,6.74074074074074,13.3333333333333,5.40740740740741,59.5555555555556,0,0,0,0,0,0,2.07407407407407,0,0,23.7037037037037,0,0,0,0,0,13.037037037037,0,0,11.1851851851852,0,0,0,0,0.962962962962963,0,0,0,0,8.59259259259259,1.6875
2,0,0,0,0,0,0,0,0,0,0,0,34,4,300789,2,5.67,0,0,5.67,0,0,0,0,0,0,5.67,0,0,5.67,0,5.67,0,0,5.67,0,0,0,0,0,0,5.67,0,0,5.67,0,23.6,2,129.982363315697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3350.97001763668,4021.16402116402,16049.3827160494,0,0,0,0,80423.2804232804,15823.0452674897,3373.94411955815,19196.9893870479,173764.55026455,0,300000,300000,482864.197530864,0,0,482864.197530864,897595.336829729,15281.4677162041,11822.1862433862,27103.6539595903,509967.851490455,-414246.130480522,1080459.53436059,327103.65395959,1407563.18832018,-924213.981970977,483349.206349206,0,145.149911816578,0,0,0,483349.206349206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0493827160494,0,0,0,7.2310405643739,0,23.2804232804233,0,0,0,0,0,0,0,1.23456790123457,1.58730158730159,8.11287477954145,0,0,0,0,2.64550264550265,5.82010582010582,0,0,3.35097001763668,0,0,0,0,0.529100529100529,0,0,0,0,0,7.68421052631579
2,0,0,0,0,0,0,0,0,0,0,0,38,1,296914,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,20.75,2,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,264000,0,48000,0,0,0,163861.666666667,0,163861.666666667,230450,276000,0,276000,4927962,906447,0,5834409,2027672.66666667,73143.8955,126227.84135,199371.73685,5403333.73685,1457147.33333333,6955634.66666667,475371.73685,7431006.40351667,-3946186.40351667,3484820,101,786,395,421,367640,2145780,592500,378900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,21,48,0,92,0,285,86,0,0,0,0,0,0,42,0,103,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,32.1666666666667
2,0,0,0,0,0,0,0,0,0,0,5316000,34,4,300789,2,13.6,0,0,13.6,0,0,0,0,0,0,13.6,0,0,13.6,0,13.6,0,0,13.6,0,0,0,0,0,0,13.6,0,0,13.6,0,25.7142857142857,2,595.588235294118,390882.352941177,0,390882.352941177,0,0,0,0,0,0,0,0,0,0,390882.352941177,22647.0588235294,209661.764705882,8308.82352941177,0,180205.882352941,0,0,0,190246.691176471,4363.60294117647,194610.294117647,44129.9019607843,0,44558.8235294118,44558.8235294118,2646877.64705882,225403.529411765,0,2872281.17647059,1621197.43137255,35420.5577359069,74232.3392352941,109652.896971201,2756530.54403003,-1289610.66666667,4223516.25490196,154211.720500613,4377727.97540257,-4046141.21069669,331586.764705882,17.1323529411765,19.4117647058824,77.0588235294118,35.8823529411765,70927.9411764706,70658.8235294118,154117.647058824,35882.3529411765,0,0,0,0,0,0,0,0,0,0,0,0,330.882352941177,330.882352941177,76.3235294117647,0,11.0294117647059,1.02941176470588,48.75,0,137.132352941176,0,0,0,0,0,0,15.8088235294118,0,0,16.4705882352941,32.2058823529412,0,0,0,0,45.4411764705882,0,0,22.8676470588235,0,0,0,0,0,0,0,0,0,4.33823529411765,1.6875
