"조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","표고목 눕히기_시간_만본당","표고목 뒤집기_시간_만본당","표고목 벌채_시간_만본당","표고목 세우기_시간_만본당","표고목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
16308065,0.1,0,0,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,5260,0,319893.536121673,0,0,0,0,0,0,87509.5057034221,60836.5019011407,148346.007604563,285171.102661597,315256.653992395,0,315256.653992395,6522809.88593156,0,380228.136882129,6903038.02281369,17061475.6463878,112368.82,94981.55,207350.37,311.787072243346,257.908745247148,569.695817490494,2774904.94296578,2255927.79467681,5030832.73764259,0,102.661596958175,102.661596958175,0,0,0,0,266.159695817491,0,368.821292775665,0,0,0,0,0,0,0,0,0,3.80228136882129,74.1444866920152,0,0,0,0,0,0,0,0,0,24.7148288973384,0,0,0,0,0,0,0,0,0,0,266.159695817491,0,0,0,0,0,0,0,0,7425645.04680608,-12030642.9087452,23964513.6692015,522607.023992395,24487120.6931939,-19456287.9555513,7.39285714285714
16308065,0.1,0.05,0.05,0,0,0.1,0.05,0.05,0,0,0,0,0,0,0,5100,0,148870.588235294,0,0,0,0,0,0,99712.4183006536,173374.613003096,273087.03130375,405000,2007176.47058824,0,2007176.47058824,6759258.82352941,1139196.07843137,50980.3921568627,7949435.29411765,18281571.6123749,235528.9375387,106492.722352941,342021.659891641,2500,112,2612,21131533.3333333,979664,22111197.3333333,0,550.980392156863,245.098039215686,305.882352941176,105.882352941176,31.3725490196078,74.5098039215686,1.96078431372549,0,658.823529411765,0,0,0,64.7058823529412,0,0,0,0,0,62.7450980392157,339.21568627451,0,0,0,0,0,0,0,0,0,5.88235294117647,0,19.6078431372549,0,0,39.2156862745098,0,0,0,45.0980392156863,0,0,72.5490196078431,0,9.80392156862745,0,0,0,0,0,9152084.43176164,3829625.7209584,25084457.9136567,2349198.13047988,27433656.0441366,-5322458.71080324,11.2
16308065,0.12,0,0,0.12,0,0,0,0,0,0,0.12,0,0,0.12,0,12000,0,733320,0,0,0,0,75000,0,338150,173578.947368421,511728.947368421,0,0,458287.5,458287.5,2179955,0,0,2179955,18086401.4473684,185181.511368421,39295.81625,224477.327618421,53.3333333333333,2189.6,2242.93333333333,433851.666666667,19152431.2,19586282.8666667,0,138.333333333333,138.333333333333,0,0,0,0,8.33333333333333,0,146.666666666667,0,2.5,0,0,0,0,0,0,0,15.8333333333333,95.8333333333333,0,0,0,0,0,20,0,0,0,8.33333333333333,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404432.32761842,1499881.41929825,19808068.9473684,682764.827618421,20490833.7749868,-904550.908320174,7.39285714285714
16308065,0.14,0.14,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,5500,0,907396.363636364,0,0,0,0,0,43909.0909090909,632890.909090909,43636.3636363636,676527.272727273,818181.818181818,316800,0,316800,1655518.18181818,0,0,1655518.18181818,18754079.5454545,238092.513272727,34279.7308181818,272372.244090909,230.909090909091,1999.2,2230.10909090909,2159425.45454545,17487002.4,19646427.8545455,9090.90909090909,165.454545454545,0,165.454545454545,0,0,0,0,0,165.454545454545,0,0,0,29.0909090909091,0,0,0,0,0,9.09090909090909,127.272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2244690.42590909,892348.309090912,20409597.7272727,589172.244090909,20998769.9713636,-1352342.11681818,7.39285714285714
16308065,0.15,0,0.15,0,0,0,0,0,0,0,0.15,0,0.15,0,0,5000,36000,21600,0,0,0,0,0,34500,22500,0,22500,300000,0,594000,594000,1772728,1400000,0,3172728,18716665,49509.75,42932.4882,92442.2382,530,0,530,5010312,0,5010312,0,134,90,44,112,112,0,0,0,246,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,1865170.2382,-13706353,19895393,686442.2382,20581835.2382,-15571523.2382,14.0909090909091
16308065,0.15,0.15,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,11000,0,0,0,0,0,0,0,0,49090.9090909091,23636.3636363636,72727.2727272727,327272.727272727,217800,0,217800,2133801.81818182,0,0,2133801.81818182,16708065,80382.3636363636,28059.4939090909,108441.857545455,327.272727272727,3946.47272727273,4273.74545454545,2912727.27272727,34519796.9454545,37432524.2181818,0,156.363636363636,121.818181818182,34.5454545454545,0,0,0,0,0,156.363636363636,0,0,0,0,0,0,0,0,0,0,156.363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460043.67572727,20724459.2181818,18841866.8181818,326241.857545455,19168108.6757273,18264415.5424545,14.0909090909091
16308065,0.16,0,0.16,0,0,0.16,0,0.16,0,0,0,0,0,0,0,10000,0,318060,0,0,0,0,0,0,190500,44000,234500,630000,81675,0,81675,7650435,0,0,7650435,17490625,135972.9725,104785.70925,240758.68175,2508,0,2508,17533200,0,17533200,0,606,300,306,0,0,0,6,0,612,0,0,0,0,0,0,0,0,0,82,506,0,0,0,0,0,12,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972868.68175,42575,25141060,322433.68175,25463493.68175,-7930293.68175,11.2
16308065,0.16,0,0.16,0,0,0.16,0,0.16,0,0,0,0,0,0,0,5000,0,1095768,0,0,0,0,0,0,193033.333333333,188985.6,382018.933333333,1285200,217800,0,217800,15748966,0,0,15748966,19071051.9333333,377624.004658667,221508.2521,599132.256758667,4560,0,4560,29298000,0,29298000,0,1264,632,632,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,196,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,36,0,0,0,0,0,0,16565898.2567587,10226948.0666667,34820017.9333333,816932.256758667,35636950.190092,-6338950.190092,11.2
16308065,0.16,0.16,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,5000,0,18000,0,0,0,0,0,276000,65250,0,65250,1350000,544500,0,544500,2269254,0,0,2269254,18017315,148055.85,33706.7901,181762.6401,302,5526.36,5828.36,2687800,48339070.92,51026870.92,0,178,104,74,0,0,0,0,0,178,0,2,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995516.6401,33009555.92,20286569,726262.6401,21012831.6401,30014039.2799,14.0909090909091
16308065,0.17,0,0,0.17,0,0.17,0,0,0.17,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,30800,29376,60176,0,1089000,0,1089000,3873056,0,0,3873056,16368241,40670.2148,50930.6864,91600.9012,920,0,920,12788000,0,12788000,0,312,154,158,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,5053656.9012,-3580241,20241297,1180600.9012,21421897.9012,-8633897.9012,14.0909090909091
