"연령별","지역별","규모별","조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","전/겸업별","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","표고목 눕히기_시간_만본당","표고목 뒤집기_시간_만본당","표고목 벌채_시간_만본당","표고목 세우기_시간_만본당","표고목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
1,34,1,16652231,0.4,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0,5000,1,0,1700000,0,0,0,0,0,0,84466.6666666667,1762560,1847026.66666667,816000,108900,0,108900,10171808,0,0,10171808,21015257.6666667,188461.0090824,128709.9872032,317170.9962856,0,1142.4,1142.4,0,11424000,11424000,0,720,416,304,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,128,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597878.9962856,-9591257.66666667,31187065.6666667,426070.9962856,31613136.6629523,-20189136.6629523,21.3
1,36,2,16652231,0.66,0,0,0.66,0,0.66,0,0,0.66,0,0,0,0,0,0,10000,2,0,20000,0,0,0,0,0,3000,468666.666666667,28000,496666.666666667,240000,30000,0,30000,1663320,0,0,1663320,17411897.6666667,85855.02635,18282.491228,104137.517578,0,714,714,0,7725480,7725480,0,120,80,40,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797457.517578,-9686417.66666667,19075217.6666667,134137.517578,19209355.1842447,-11483875.1842447,5.30769230769231
1,36,3,16652231,1.98,0,0,1.98,0,1.98,0,0,1.98,0,0,0,0,0,0,36000,2,0,16444.4444444444,0,0,0,0,0,290255.555555556,389829.62962963,49777.7777777778,439607.407407407,695555.555555556,100000,0,100000,1898701.66666667,983333.333333333,135833.333333333,3017868.33333333,19123772.8279933,109067.553128778,36043.8062710833,145111.359399861,3.33333333333333,3441.08333333333,3444.41666666667,36410,37705150,37741560,0,129.444444444444,60,69.4444444444444,23.3333333333333,16.6666666666667,6.66666666666667,6.66666666666667,13.3333333333333,172.777777777778,0,0,0,0,0,0,0,0,0,2.22222222222222,125.555555555556,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2233300.82770283,18617787.1720067,21111962.2962963,245111.359399861,21357073.6556962,16384486.3443038,5.30769230769231
2,34,1,16652231,0.3,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,5000,2,0,0,0,0,0,0,0,1136000,678066.666666667,210526.315789474,888592.98245614,734400,0,435600,435600,2525600,0,0,2525600,19846823.9824561,277425.973766754,39697.78564,317123.759406754,0,171.36,171.36,0,1713600,1713600,0,160,160,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2842723.75940675,-18133223.9824561,21936823.9824561,752723.759406754,22689547.7418629,-20975947.7418629,21.3
2,34,2,16652231,0.23,0,0,0.23,0,0.23,0,0,0.23,0,0,0,0,0,0,10000,2,0,307000,0,0,0,0,0,70000,423613.333333333,95927.04,519540.373333333,22272,138600,0,138600,4057237,0,0,4057237,17571043.3733333,124483.100210448,48074.44557105,172557.545781498,90,357,447,900000,3570000,4470000,0,226,113,113,0,0,0,40,0,266,0,0,0,0,0,0,0,0,0,50,176,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4368394.5457815,-13101043.3733333,21628280.3733333,311157.545781498,21939437.9191148,-17469437.9191148,21.3
2,34,2,16652231,1.3,0,0,1.3,0,1.3,0,0,1.3,0,0,0,0,0,0,14500,2,0,334482.75862069,0,0,0,0,0,522758.620689655,43117.2413793103,60777.9310344828,103895.172413793,126124.137931034,90118.6206896552,0,90118.6206896552,6318682.06896552,0,0,6318682.06896552,17739491.6896552,79919.5115872,77798.850453,157718.3620402,787.586206896552,778.013793103448,1565.6,5946206.89655172,7780137.93103448,13726344.8275862,0,442.068965517241,283.448275862069,158.620689655172,0,0,0,0,0,442.068965517241,0,0,0,8.96551724137931,0,0,0,0,0,0,251.034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6206896551724,38.6206896551724,0,38.6206896551724,66.2068965517241,0,0,0,0,0,0,6566519.05169537,-4013146.86206897,24058173.7586207,247836.982729855,24306010.7413505,-10579665.9137643,21.3
2,36,1,16652231,0.4,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0,9500,2,0,247684.210526316,0,0,7368.42105263158,0,0,29473.6842105263,181052.631578947,181008.310249307,362060.941828255,308771.929824561,35529978.9473684,0,35529978.9473684,4318458.94736842,378947.368421053,44210.5263157895,4741616.84210526,17990104.0905588,212960.678959926,54491.6849677895,267452.363927716,625.263157894737,1518.18947368421,2143.45263157895,6937894.7368421,15617810.5263158,22555705.2631579,0,298.947368421053,136.842105263158,162.105263157895,16.8421052631579,16.8421052631579,0,16.8421052631579,0,332.631578947368,0,0,0,0,0,0,0,0,0,12.6315789473684,35.7894736842105,0,0,0,0,0,0,0,0,0,16.8421052631579,0,0,0,0,10.5263157894737,0,0,0,33.6842105263158,105.263157894737,0,117.894736842105,0,0,0,0,0,0,0,40156534.2502849,4565601.1725991,22349207.0295476,35797431.3112961,58146638.3408437,-35590933.0776858,5.30769230769231
2,36,1,16652231,0.423,0,0,0.423,0,0.423,0,0,0.423,0,0,0,0,0,0,5050,2,0,118811.881188119,0,0,0,0,0,0,551852.145214522,215445.544554455,767297.689768977,801980.198019802,297029.702970297,0,297029.702970297,2439544.55445545,217243.564356436,0,2656788.11881188,18557564.3333333,306444.147837611,30092.08374,336536.23157761,0,2403.56435643564,2403.56435643564,0,26439207.9207921,26439207.9207921,0,178.217821782178,99.009900990099,79.2079207920792,15.8415841584158,7.92079207920792,7.92079207920792,0,0,194.059405940594,0,0,0,0,0,0,0,0,0,0,99.009900990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.049504950495,0,0,0,0,0,0,0,0,0,0,3073110.48900335,7881643.58745875,20997108.8877888,633565.934547907,21630674.8223367,4808533.09845539,5.30769230769231
2,36,3,16652231,1.21,0,0,1.21,0,1.21,0,0,1.21,0,0,0,0,0,0,20000,1,0,84250,0,0,4000,0,0,447945,113700,79458.6466165414,193158.646616541,1333333.33333333,121000,0,121000,4425072,0,0,4425072,18714917.9799499,223350.375022732,53788.32037055,277138.695393282,657,621.18,1278.18,6390000,6811560,13201560,0,76,52,24,0,0,0,142,0,218,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,4823210.69539328,-5513357.97994987,23139989.9799499,398138.695393282,23538128.6753432,-10336568.6753432,5.30769230769231
2,36,3,16652231,1.71,0,0,1.71,0,1.71,0,0,1.71,0,0,0,0,0,0,29000,1,0,11034.4827586207,0,0,0,0,0,360755.172413793,57714.9425287356,50177.8584392015,107892.800967937,0,155172.413793103,0,155172.413793103,2495482.06896552,550924.137931034,25172.4137931034,3071578.62068966,17687389.8728638,41538.6277623158,37331.793668,78870.4214303158,0,3114.51724137931,3114.51724137931,0,34156282.7586207,34156282.7586207,0,131.724137931034,66.8965517241379,64.8275862068966,33.1034482758621,33.1034482758621,0,28.9655172413793,0,193.793103448276,0,0,0,0,0,0,0,0,0,5.51724137931035,134.48275862069,0,0,0,0,0,0,0,0,0,28.9655172413793,0,0,0,0,0,0,0,0,0,0,0,24.8275862068966,0,0,0,0,0,0,0,2750145.03918967,16468892.8857569,20203492.07683,234042.835223419,20437534.9120534,13718747.8465673,5.30769230769231
