"▣ 연령별","▣ 지역별","▣ 규모별","조성비","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","▣ 전/겸업별","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","골목 눕히기_시간_만본당","골목 뒤집기_시간_만본당","골목 벌채_시간_만본당","골목 세우기_시간_만본당","골목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
1,34,1,17169283,0.4,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0,5000,1,0,677200,0,0,0,0,0,0,143083.333333333,2695680,2838763.33333333,1632833.33333333,191600,0,191600,14295028,0,0,14295028,22318079.6666667,362652.342666667,185655.6272,548307.969866667,0,1428,1428,0,16861824,16861824,0,906,472,434,0,0,0,0,0,906,0,184,0,2,0,0,0,0,0,108,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15034935.9698667,-5456255.66666666,36613107.6666667,739907.969866667,37353015.6365333,-20491191.6365333,19.3636363636364
1,36,2,17169283,0.66,0,0,0.66,0,0.66,0,0,0.66,0,0,0,0,0,0,10000,2,0,8400,0,0,0,0,0,0,373655,21840,395495,293916.666666667,52800,0,52800,838346,0,0,838346,17867094.6666667,93385.5718,10499.6504,103885.2222,221,0,221,3784300,0,3784300,0,52,32,20,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995031.2222,-14082794.6666667,18705440.6666667,156685.2222,18862125.8888667,-15077825.8888667,7.125
2,34,1,17169283,0.3,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0,0,5000,2,0,230000,0,0,75000,0,0,2270400,465729.166666667,131368.421052632,597097.587719298,1959416.66666667,0,479200,479200,2020256,0,0,2020256,22780397.254386,363633.528289474,56986.1344,420619.662689474,0,85.68,85.68,0,711144,711144,0,116,116,0,0,0,0,0,0,116,0,2,0,6,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440875.66268947,-22069253.254386,24321453.254386,899819.662689474,25221272.9170754,-24510128.9170754,19.3636363636364
2,34,2,17169283,1.15,0,0,1.15,0,1.15,0,0,1.15,0,0,0,0,0,0,11500,2,0,311043.47826087,0,0,13043.4782608696,0,0,1359652.17391304,37339.1304347826,47821.7391304348,85160.8695652174,340768.115942029,200000,0,200000,20346329.5652174,0,0,20346329.5652174,19278951.115942,101799.74626087,273172.851826087,374972.598086957,1886.95652173913,0,1886.95652173913,16187304.3478261,0,16187304.3478261,434.782608695652,1240.86956521739,987.826086956522,253.04347826087,0,0,0,0,0,1240.86956521739,0,0,0,17.3913043478261,0,0,0,0,0,0,553.04347826087,0,0,0,0,0,0,0,0,0,0,0,15.6521739130435,0,0,0,16.5217391304348,0,0,199.130434782609,329.565217391304,0,55.6521739130435,53.9130434782609,0,0,0,0,0,0,20921302.1633043,-3091646.76811594,39625280.6811594,574972.598086957,40200253.2792464,-24012948.9314203,19.3636363636364
2,36,1,17169283,0.39,0,0,0.39,0,0.39,0,0,0.39,0,0,0,0,0,0,5050,2,0,49900.9900990099,0,0,0,0,0,0,379115.511551155,134451.485148515,513566.99669967,785717.821782178,522772.277227723,0,522772.277227723,337203.96039604,0,0,337203.96039604,18518468.8085809,263929.867689769,4800.10138613861,268729.969075908,0,2474.25742574257,2474.25742574257,0,36668495.0495049,36668495.0495049,0,19.8019801980198,19.8019801980198,0,0,0,0,0,0,19.8019801980198,0,1.98019801980198,0,0,0,0,0,0,0,0,17.8217821782178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128706.20669967,18150026.2409241,18855672.7689769,791502.24630363,19647175.0152805,17021320.0342244,4
2,36,1,17169283,0.68,0,0,0.68,0,0.68,0,0,0.68,0,0,0,0,0,0,8500,2,0,233411.764705882,91764.7058823529,0,10588.2352941176,0,0,180000,290252.941176471,99105.8823529412,389358.823529412,0,99294.1176470588,0,99294.1176470588,4231467.05882353,0,0,4231467.05882353,18074406.5294118,122340.289176471,58865.6738823529,181205.963058824,2.35294117647059,1965.6,1967.95294117647,44235.2941176471,22473360,22517595.2941176,0,217.647058823529,212.941176470588,4.70588235294118,0,0,0,18.8235294117647,0,236.470588235294,0,5.88235294117647,0,0,0,0,0,0,0,12.9411764705882,61.1764705882353,0,0,0,0,0,0,0,0,0,82.3529411764706,0,41.1764705882353,0,0,10.5882352941176,7.05882352941177,0,0,0,0,0,0,0,0,0,0,0,0,15.2941176470588,4511967.13952941,4443188.76470588,22305873.5882353,280500.080705882,22586373.6689412,-68778.3748235293,4
2,36,2,17169283,0.4,0,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,0,10500,2,0,223619.047619048,98476.1904761905,0,8571.42857142857,5238.09523809524,0,810190.476190476,186858.73015873,135559.69924812,322418.42940685,357666.666666667,469333.333333333,0,469333.333333333,9003764.76190476,1096533.33333333,0,10100298.0952381,20091996.6675021,206128.702642606,139455.277333333,345583.97997594,158.095238095238,1366.8,1524.89523809524,3625333.33333333,14948440,18573773.3333333,0,536.190476190476,329.52380952381,206.666666666667,66.6666666666667,66.6666666666667,0,21.9047619047619,0,624.761904761905,0,4.76190476190476,0,0,0,0,0,0,0,16.1904761904762,191.428571428571,0,0,0,0,0,0,0,0,0,21.9047619047619,0,0,0,0,23.8095238095238,0,0,0,0,0,0,189.52380952381,153.333333333333,0,0,0,0,0,23.8095238095238,9818682.07521404,-1518223.33416876,29095761.4294069,814917.313309273,29910678.7427161,-11336905.4093828,7.125
2,36,2,17169283,1.8,0,0,1.8,0,1.8,0,0,1.8,0,0,0,0,0,0,16500,2,0,471454.545454545,47272.7272727273,0,19575.7575757576,0,0,750727.272727273,232546.464646465,83956.3636363636,316502.828282828,341409.090909091,203757.575757576,0,203757.575757576,3594663.63636364,0,0,3594663.63636364,19116225.2222222,139488.062181818,60557.8048484848,200045.867030303,4.24242424242424,5088.87272727273,5093.11515151515,90363.6363636364,56790261.8181818,56880625.4545455,0,121.818181818182,120.606060606061,1.21212121212121,0,0,0,66.0606060606061,0,187.878787878788,0,4.24242424242424,0,0,0,0,0,0,0,12.1212121212121,82.4242424242424,0,0,0,0,0,0,0,0,0,66.0606060606061,0,0,0,0,8.48484848484848,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5454545454545,3998467.07915151,37764400.2323232,22710888.8585859,403803.442787879,23114692.3013737,33765933.1531717,7.125
2,36,2,17169283,1.9,0,0,1.9,0,1.9,0,0,1.9,0,0,0,0,0,0,19000,2,0,295105.263157895,20526.3157894737,0,2105.26315789474,0,0,683947.368421053,628519.736842105,160148.476454294,788668.213296399,296486.842105263,197473.684210526,0,197473.684210526,2693572.63157895,0,0,2693572.63157895,19256122.265928,246371.413196676,45821.1848421053,292192.598038781,13.1578947368421,2803.38947368421,2816.54736842105,178789.473684211,36611665.2631579,36790454.7368421,0,117.368421052632,77.8947368421053,39.4736842105263,0,0,0,37.3684210526316,0,154.736842105263,0,5.26315789473684,0,0,0,0,0,0,0,9.47368421052632,94.7368421052632,0,0,0,0,0,0,0,0,0,37.3684210526316,0,0,0,0,5.78947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10526315789474,3183238.91382826,17534332.4709141,21949694.8975069,489666.282249307,22439361.1797562,14351093.5570859,7.125
2,36,3,17169283,0.83,0.83,0,0,0,0.83,0.83,0,0,0,0,0,0,0,0,22500,2,0,749777.777777778,104000,0,6000,479111.111111111,1777777.77777778,1754400,93152.5925925926,46854.7368421053,140007.329434698,827944.444444444,176000,0,176000,6979083.11111111,3096901.33333333,699111.111111111,10775095.5555556,26320077.870609,101514.941158674,199104.678222222,300619.619380897,12,7746.10666666666,7758.10666666666,151200,93875133.3333333,94026333.3333333,0,368,368,0,68.8888888888889,55.5555555555556,13.3333333333333,30.2222222222222,85.3333333333333,552.444444444444,0,14.2222222222222,0,0,0,0,0,0,0,23.1111111111111,254.222222222222,0,0,0,0,0,0,0,0,0,28.4444444444444,0,0,0,0,12.4444444444444,0,0,0,0,0,0,217.333333333333,0,0,0,0,0,0,2.66666666666667,7939938.7448733,67706255.4627244,33783396.9961014,476619.619380897,34260016.6154823,59766316.7178511,4.94736842105263
