"재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","재배봉수_계","배지구입비_만봉당","농약비_만봉당","수도광열비_만봉당","제재료비_만봉당","소농구비_만봉당","수선비_만봉당","임차료_만봉당","위탁영농비_만봉당","기타비용_만봉당","기계_감가상각비_만봉당","시설물_감가상각비_만봉당","감가상각비_만봉당","자동차비_만봉당","자가토지용역비_만봉당","임차토지용역비_만봉당","토지용역비_만봉당","자가노동비_만봉당","고용노동비_만봉당","급식물비_만봉당","노동비_만봉당","경영비","고정자본용역비_만봉당","유동자본용역비_만봉당","자본용역비_만봉당","생표고_소계 수량_만봉당","건표고_소계(생표고 기준) 수량_만봉당","총 생산량(생표고 기준)_만봉당","생표고_소계(생표고 기준) 평가액_만봉당","건표고_소계(생표고 기준) 평가액_만봉당","총 평가액(생표고 기준)_만봉당","부산물 생산량_만봉당","총 노동시간_보통자가_만봉당","총 노동시간_보통자가_남_만봉당","총 노동시간_보통자가_여_만봉당","총 노동시간_보통고용_만봉당","총 노동시간_보통고용_남_만봉당","총 노동시간_보통고용_여_만봉당","총 노동시간_특수자가_만봉당","총 노동시간_특수고용_만봉당","총 노동시간_합계_만봉당","간벌_시간_만봉당","건조_시간_만봉당","경운_시간_만봉당","관수(살수)_시간_만봉당","두둑_시간_만봉당","멀칭_시간_만봉당","배수로 정비 및 관리_시간_만봉당","병해충방제_시간_만봉당","보식작업_시간_만봉당","선별_시간_만봉당","수확 및 운반_시간_만봉당","시비_시간_만봉당","시설물 보수_시간_만봉당","식재(조림)_시간_만봉당","열매솎기(적과)_시간_만봉당","인공교배 또는 수정_시간_만봉당","재배지 정리_시간_만봉당","전정_시간_만봉당","접목 및 관리_시간_만봉당","정지_시간_만봉당","제초_시간_만봉당","종묘 이식_시간_만봉당","차광막 설치_시간_만봉당","채종_시간_만봉당","꽃눈솎기(적뢰)_시간_만봉당","출하_시간_만봉당","지주세우기_시간_만봉당","일반관리_시간_만봉당","파종_시간_만봉당","표고목 눕히기_시간_만봉당","표고목 뒤집기_시간_만봉당","표고목 벌채_시간_만봉당","표고목 세우기_시간_만봉당","표고목 폐기_시간_만봉당","버섯발생작업_시간_만봉당","재배장 소독_시간_만본당","종균접종_시간_만봉당","천공작업_시간_만봉당","표고세척_시간_만봉당","배지하역_시간_만봉당","배지비닐 개봉_시간_만봉당","갈변처리_시간_만봉당","봉지 뒤집기_시간_만봉당","배지운반^쌓기_시간_만봉당","배지 폐기_시간_만봉당","기타_시간_만봉당","내급비","소득","직접생산비","간접생산비","생산비 합계_만봉당","순수익","가중치"
0.02,0,0.02,0,0,0.02,0,0.02,0,0,0,0,0,0,0,10000,15500000,0,3795,0,0,0,0,0,0,0,1100000,1100000,0,42500,0,42500,3592177,0,0,3592177,16603795,101255,47287.0317999999,148542.0318,1724,0,1724,10820561,0,10820561,0,337,28,309,0,0,0,0,0,337,0,0,0,3,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,114,0,0,0,0,0,0,0,29,0,0,0,3783219.0318,-5783234,20195972,191042.0318,20387014.0318,-9566453.0318,15.1111111111111
0.02,0,0.02,0,0,0.02,0,0.02,0,0,0,0,0,0,0,10000,16500000,0,58300,0,0,0,0,0,0,156291.666666667,2372700,2528991.66666667,168000,850000,0,850000,2956676,235072,0,3191748,19490363.6666667,272893.490166667,42738.1312,315631.621366667,513,0,513,5066350,0,5066350,0,283,17,266,16,16,0,0,0,299,0,0,0,51,0,0,0,0,0,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,43,0,0,21,24,74,0,4122307.62136667,-14424013.6666667,22447039.6666667,1165631.62136667,23612671.2880333,-18546321.2880333,14.8888888888889
0.03,0,0.03,0,0,0.03,0,0.03,0,0,0,0,0,0,0,10000,24750000,0,3440620,4191563,0,0,0,651000,0,3675980,5621000,9296980,196000,850000,0,850000,60894006,10568000,373200,71835206,53149352.8529129,1038238.9458,1053556.81535,2091795.76115,13256,0,13256,123273661,0,123273661,14000,5075,2090,2985,1166,0,1166,0,0,6241,0,0,0,499,0,0,0,0,0,1073,3704,0,0,0,0,0,0,0,0,0,84,0,0,0,0,104,0,388,0,0,0,0,0,0,60,0,0,0,0,33,32,0,57,80,127,0,64153811.9082371,70124308.1470871,114361369,2941795.76115,117303164.76115,5970496.23885,14.8888888888889
0.03,0,0.03,0,0,0.03,0,0.03,0,0,0,0,0,0,0,11000,16500000,0,172822.727272727,144886.363636364,0,0,0,0,0,2722500,4271500,6994000,954545.454545455,160454.545454545,0,160454.545454545,14930080.9090909,690909.090909091,28363.6363636364,15649353.6363636,25458418.1467509,1039224.31674242,209966.874863636,1249191.19160606,2388.18181818182,0,2388.18181818182,23310590.9090909,0,23310590.9090909,16818.1818181818,1230.90909090909,525.454545454545,705.454545454545,58.1818181818182,29.0909090909091,29.0909090909091,0,0,1289.09090909091,0,0,0,49.0909090909091,0,0,0,0,0,73.6363636363636,613.636363636364,0,0,0,0,0,0,0,0,0,7.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,116.363636363636,0,0,0,0,73.6363636363636,72.7272727272727,106.363636363636,122.727272727273,0,53.6363636363636,0,16366835.7721279,-2147827.23766002,40415608.1818182,1409645.73706061,41825253.9188788,-18514663.0097879,14.8888888888889
0.05,0,0.05,0,0,0.05,0,0.05,0,0,0,0,0,0,0,13000,14730769.2307692,0,445807.692307692,0,0,0,0,0,0,3598974.35897436,1373307.69230769,4972282.05128205,290769.230769231,911538.461538462,0,911538.461538462,7026543.07692308,53846.1538461538,0,7080389.23076923,20493474.3589744,672805.453589744,98969.4895384615,771774.943128205,1050.76923076923,0,1050.76923076923,7873573.07692308,0,7873573.07692308,0,579.230769230769,250.769230769231,328.461538461538,3.84615384615385,3.84615384615385,0,0,0,583.076923076923,0,0,0,47.6923076923077,0,0,0,0,0,31.5384615384615,253.846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846153846154,0,0,0,0,0,0,18.4615384615385,0,0,0,0,36.1538461538462,24.6153846153846,73.0769230769231,54.6153846153846,19.2307692307692,8.46153846153846,0,8709856.48158974,-12619901.2820513,27520017.4358974,1683313.40466667,29203330.8405641,-21329757.763641,14.8888888888889
0.05,0.05,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,10000,15500000,0,6949721,0,0,0,0,0,0,0,5208060,5208060,627916.666666667,59000,0,59000,8229561,2926110,0,11155671,31211807.6666667,635782.555833333,238085.9048,873868.460633333,9420,0,9420,59327000,0,59327000,0,636,411,225,218,164,54,0,0,854,0,0,0,0,0,0,0,0,0,63,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,9162429.46063333,28115192.3333333,39441368.6666667,932868.460633333,40374237.1273,18952762.8727,7.5
0.06,0,0.06,0,0,0.06,0,0.06,0,0,0,0,0,0,0,18000,15500000,0,1916445,19738.8888888889,0,98644.4444444444,0,0,215778.333333333,1575240.74074074,3773809.52380952,5349050.26455026,388888.888888889,661111.111111111,0,661111.111111111,6649092.77777778,1300000,30000,7979092.77777778,24793452.0403614,910856.979761905,134520.547694444,1045377.52745635,6200.55555555555,0,6200.55555555555,28463250,0,28463250,0,526.666666666667,281.666666666667,245,106.666666666667,80,26.6666666666667,0,0,633.333333333333,0,0,0,6.66666666666667,0,0,0,0,0,41.6666666666667,205.555555555556,0,15.5555555555556,0,0,0,0,0,0,0,0,0,15.5555555555556,0,0,0,0,4.44444444444444,0,0,0,0,0,0,135.555555555556,0,0,0,0,37.7777777777778,133.333333333333,0,22.7777777777778,0,14.4444444444444,0,8380675.19608964,3669797.95963858,31467638.5978836,1706488.63856746,33174127.2364511,-4710877.23645106,7.5
0.06,0.06,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,10000,17500000,0,2806344,568863,0,80500,0,0,497348,2912800,7365789.47368421,10278589.4736842,2840610,500000,0,500000,13323579,548012,24000,13895591,35121214.6192863,1594408.32776316,237452.9164,1831861.24416316,13298,107.1,13405.1,69363401,832488.3,70195889.3,0,915,900,15,40,38,2,0,0,955,0,0,0,0,0,0,0,0,0,85,457,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,33,0,0,68,0,49,4,0,0,30,20,0,15678492.0985611,35074674.6807137,48467845.4736842,2331861.24416316,50799706.7178474,19396182.5821526,5.83333333333333
0.07,0,0.07,0,0,0.07,0,0.07,0,0,0,0,0,0,0,10200,19500000,0,1984452.94117647,0,0,173176.470588235,0,29411.7647058824,277886.274509804,3011519.60784314,9701809.67123692,12713329.2790801,689882.352941177,232578.431372549,0,232578.431372549,6312646.07843137,1087709.80392157,47647.0588235293,7448002.94117647,36462852.0870171,1401902.83060593,130402.477794118,1532305.30840004,13164.7058823529,0,13164.7058823529,63293018.627451,0,63293018.627451,0,516.666666666667,241.176470588235,275.490196078431,81.3725490196078,81.3725490196078,0,0,0,598.039215686274,0,0,0,0,0,0,0,0,0,64.7058823529412,303.921568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.4509803921569,0,0,0,0,0,0,20.5882352941176,0,0,0,0,50.9803921568627,15.6862745098039,0,0,58.8235294117647,5.88235294117647,0,8118173.67693357,26830166.5404339,42816142.0241781,1764883.73977259,44581025.7639507,18711992.8635003,5.83333333333333
0.08,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0,0,15000,22500000,0,3521561.33333333,0,0,0,0,0,765024,2086944.44444444,8692857.14285714,10779801.5873016,1350416.66666667,1416666.66666667,0,1416666.66666667,5863382.66666667,178666.666666667,20800,6062849.33333333,39096085.3212181,1485538.8015873,136095.065866667,1621633.86745397,5184.66666666667,152.32,5336.98666666667,41939420,1183983.36,43123403.36,0,412,380,32,16,10.6666666666667,5.33333333333333,0,0,428,0,0,0,33.3333333333333,0,0,0,0,0,0,336.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6666666666667,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,5.33333333333333,6,0,8921868.13353749,4027318.03878194,44979652.9206349,3038300.53412064,48017953.4547556,-4894550.09475555,5.83333333333333
