"연령별","지역별","규모별","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","재배봉수_계","전/겸업별","배지구입비_만봉당","농약비_만봉당","수도광열비_만봉당","제재료비_만봉당","소농구비_만봉당","수선비_만봉당","임차료_만봉당","위탁영농비_만봉당","기타비용_만봉당","기계_감가상각비_만봉당","시설물_감가상각비_만봉당","감가상각비_만봉당","자동차비_만봉당","자가토지용역비_만봉당","임차토지용역비_만봉당","토지용역비_만봉당","자가노동비_만봉당","고용노동비_만봉당","급식물비_만봉당","노동비_만봉당","경영비","고정자본용역비_만봉당","유동자본용역비_만봉당","자본용역비_만봉당","생표고_소계 수량_만봉당","건표고_소계(생표고 기준) 수량_만봉당","총 생산량(생표고 기준)_만봉당","생표고_소계(생표고 기준) 평가액_만봉당","건표고_소계(생표고 기준) 평가액_만봉당","총 평가액(생표고 기준)_만봉당","부산물 생산량_만봉당","총 노동시간_보통자가_만봉당","총 노동시간_보통자가_남_만봉당","총 노동시간_보통자가_여_만봉당","총 노동시간_보통고용_만봉당","총 노동시간_보통고용_남_만봉당","총 노동시간_보통고용_여_만봉당","총 노동시간_특수자가_만봉당","총 노동시간_특수고용_만봉당","총 노동시간_합계_만봉당","간벌_시간_만봉당","건조_시간_만봉당","경운_시간_만봉당","관수(살수)_시간_만봉당","두둑_시간_만봉당","멀칭_시간_만봉당","배수로 정비 및 관리_시간_만봉당","병해충방제_시간_만봉당","보식작업_시간_만봉당","선별_시간_만봉당","수확 및 운반_시간_만봉당","시비_시간_만봉당","시설물 보수_시간_만봉당","식재(조림)_시간_만봉당","열매솎기(적과)_시간_만봉당","인공교배 또는 수정_시간_만봉당","재배지 정리_시간_만봉당","전정_시간_만봉당","접목 및 관리_시간_만봉당","정지_시간_만봉당","제초_시간_만봉당","종묘 이식_시간_만봉당","차광막 설치_시간_만봉당","채종_시간_만봉당","꽃눈솎기(적뢰)_시간_만봉당","출하_시간_만봉당","지주세우기_시간_만봉당","일반관리_시간_만봉당","파종_시간_만봉당","표고목 눕히기_시간_만봉당","표고목 뒤집기_시간_만봉당","표고목 벌채_시간_만봉당","표고목 세우기_시간_만봉당","표고목 폐기_시간_만봉당","버섯발생작업_시간_만봉당","재배장 소독_시간_만본당","종균접종_시간_만봉당","천공작업_시간_만봉당","표고세척_시간_만봉당","배지하역_시간_만봉당","배지비닐 개봉_시간_만봉당","갈변처리_시간_만봉당","봉지 뒤집기_시간_만봉당","배지운반^쌓기_시간_만봉당","배지 폐기_시간_만봉당","기타_시간_만봉당","내급비","소득","직접생산비","간접생산비","생산비 합계_만봉당","순수익","가중치"
1,33,1,0.42,0,0.42,0,0,0.42,0,0.42,0,0,0,0,0,0,0,10000,1,12000000,0,883230,0,0,0,0,360000,50000,4337800,11110000,15447800,1260000,255000,0,255000,12898945,210000,0,13108945,30211030,1141842.578,156143.34058875,1297985.91858875,1600,0,1600,9526480,0,9526480,0,800,742,58,24,24,0,13,0,837,0,0,0,151,0,0,0,0,0,87,329,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,32,24,0,60,0,30,0,14451930.9185888,-20684550,43109975,1552985.91858875,44662960.9185888,-35136480.9185888,9.71428571428571
1,33,3,0.78,0.78,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,110000,1,5138181.81818182,0,573227.272727273,595454.545454545,0,1990909.09090909,0,0,541818.181818182,452953.787878788,2085974.02597403,2538927.81385281,47727.2727272727,0,166205.181818182,166205.181818182,3761226.18181818,2587461.81818182,0,6348688,14179912.995671,246103.57648467,108959.635125655,355063.211610325,2645.45454545455,1466.94545454545,4112.4,26454545.4545455,29338909.0909091,55793454.5454545,0,226.363636363636,226.363636363636,0,351.272727272727,128.454545454545,222.818181818182,7.81818181818182,0.545454545454545,586,0,0,0,43.6363636363636,0,0,0,3.63636363636364,0,89.0909090909091,164.545454545455,0,0,0,0,0,0,0,0,0,15.6363636363636,0,0,0,0,0,0,157.818181818182,0,0,0,0,0,0,0,0,0,0,0,0,40.9090909090909,0,53.8181818181818,2.18181818181818,14.7272727272727,0,4116289.39342851,41613541.5497836,17774933.995671,521268.393428506,18296202.3890995,37497252.156355,9.71428571428571
1,33,3,3.75,3.75,0,0,0,0,0,0,0,0,3.75,3.75,0,0,0,110000,1,10704545.4545455,0,573227.272727273,595454.545454545,0,1990909.09090909,0,0,541818.181818182,341995.454545455,2436623.37662338,2778618.83116883,152727.272727273,0,165750.636363636,165750.636363636,3996859.81818182,2495461.81818182,0,6492321.63636364,19998513.1038961,295105.044871805,110516.860739336,405621.905611141,2500,691.930909090909,3191.93090909091,25000000,13838618.1818182,38838618.1818182,0,240.909090909091,240.909090909091,0,343.090909090909,128.454545454545,214.636363636364,7.81818181818182,0.545454545454545,592.363636363636,0,0,0,48.1818181818182,0,0,0,3.63636363636364,0,90,170,0,0,0,0,0,0,0,0,0,14.7272727272727,0,0,0,0,0,0,155.090909090909,0,0,0,0,0,0,0,0,0,0,0,0,41.8181818181818,0,52,0,16.9090909090909,0,4402481.72379296,18840105.0779221,23829622.2857143,571372.541974777,24400994.8276891,14437623.3541291,9.71428571428571
1,34,3,0.34,0.34,0,0,0,0.34,0.34,0,0,0,0,0,0,0,0,55000,1,0,0,520778.181818182,0,0,5636.36363636364,0,0,0,1526606.06060606,460000,1986606.06060606,298363.636363636,154545.454545455,0,154545.454545455,4223549.09090909,230392.727272727,0,4453941.81818182,3041776.96969697,196373.985112879,55160.2651425455,251534.250255424,375.272727272727,649.090909090909,1024.36363636364,2849127.27272727,13890545.4545455,16739672.7272727,0,281.454545454545,175.272727272727,106.181818181818,14.5454545454545,14.5454545454545,0,7.27272727272727,0,303.272727272727,0,0,0,18.1818181818182,0,0,4.36363636363636,0,0,91.6363636363636,107.636363636364,0,0,0,0,0,0,0,0,0,7.27272727272727,0,0,0,0,0,0,68.3636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81818181818182,0,0,0,4629628.79570997,13697895.7575758,7265326.06060606,406079.704800879,7671405.76540694,9068266.96186579,7.5
1,36,1,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,10000,1,26150000,0,2422000,914000,0,0,0,0,25890,10991666.6666667,3909210.52631579,14900877.1929825,2083333.33333333,500000,0,500000,8241932,3802968,160000,12204900,50349585.7477124,2221054.65578947,168769.6888035,2389824.34459297,1222,1320.9,2542.9,8721898,26418000,35139898,0,585,309,276,262,165,97,0,0,847,0,0,0,36,0,0,0,0,0,60,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,16,0,0,0,0,124,58,0,0,0,144,0,11241239.1231964,-15209687.7477124,58701000.5263158,2889824.34459297,61590824.8709088,-26450926.8709088,5.83333333333333
1,36,2,0.08,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0,0,24000,1,25000000,0,2922083.33333333,0,0,0,0,150000,32083.3333333333,1317187.5,5760416.66666667,7077604.16666667,191406.25,416666.666666667,0,416666.666666667,14589957.0833333,0,0,14589957.0833333,35373177.0833333,539706.654042969,191833.496754188,731540.150797156,12960,0,12960,107715416.666667,0,107715416.666667,0,961.666666666667,771.666666666667,190,0,0,0,0,0,961.666666666667,0,0,0,24.1666666666667,0,0,0,0,0,91.6666666666667,575.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,6.66666666666667,0,0,0,0,23.3333333333333,0,0,0,0,0,0,15738163.9007972,72342239.5833333,49963134.1666667,1148206.81746382,51111340.9841305,56604075.6825362,5.83333333333333
1,37,1,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,10000,1,11000000,0,610000,0,0,0,0,0,10000,87000,7968947.36842105,8055947.36842105,0,425000,0,425000,18382314,0,0,18382314,19675947.3684211,821380.807701316,206016.4375781,1027397.24527942,5735,0,5735,46675000,0,46675000,0,1292,688,604,0,0,0,0,0,1292,0,0,0,32,0,0,0,0,0,400,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,0,0,0,0,0,32,0,156,4,0,0,19834711.2452794,26999052.6315789,38058261.368421,1452397.24527942,39510658.6137005,7164341.38629954,4.85714285714286
2,31,2,0.17,0.17,0,0,0,0.17,0.17,0,0,0,0,0,0,0,0,30000,1,25000000,0,1086666.66666667,236666.666666667,0,0,14000,0,5200000,20166.6666666667,799333.333333333,819500,420000,500000,0,500000,6937785.33333333,116000,4000,7057785.33333333,32892899.113617,151273.54245,147393.518292467,298667.060742467,840,0,840,8466666.66666667,0,8466666.66666667,0,465.333333333333,362.666666666667,102.666666666667,13.3333333333333,13.3333333333333,0,0,8,486.666666666667,0,0,0,34.6666666666667,0,0,0,0,0,45.3333333333333,233.333333333333,0,13.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,18.6666666666667,37.3333333333333,0,0,21.3333333333333,18.6666666666667,0,7740386.61379215,-24426232.4469503,39834618.6666667,798667.060742467,40633285.7274091,-32166619.0607425,9.71428571428571
2,33,1,0.02,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0,0,10000,1,20000000,0,1200000,0,0,0,0,0,220000,262500,1160000,1422500,750000,0,60000,60000,5640168,180000,0,5820168,23832500,204961.39325,78495.3673972,283456.7606472,3906,7.14,3913.14,21691772,21420,21713192,0,432,136,296,16,16,0,0,0,448,0,0,0,48,0,0,0,0,0,48,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,80,0,0,104,0,16,0,5923624.7606472,-2119308,29412668,343456.7606472,29756124.7606472,-8042932.7606472,9.71428571428571
2,33,1,0.53,0,0.53,0,0,0.53,0,0.53,0,0,0,0,0,0,0,15000,1,10000000,0,4814933.33333333,0,0,0,120000,0,56666.6666666667,1123417.77777778,9184423.80952381,10307841.5873016,0,1320850,0,1320850,8628519.33333333,213333.333333333,0,8841852.66666667,25512774.9206349,918160.63131897,149977.452103567,1068138.08342254,2433.33333333333,333.2,2766.53333333333,24333333.3333333,6664000,30997333.3333333,0,533.333333333333,533.333333333333,0,0,0,0,4.66666666666667,10.6666666666667,548.666666666667,0,0,0,130.666666666667,0,0,0,0,0,88,133.333333333333,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0,0,0,82.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,37.3333333333333,0,56,16,0,0,11017507.4167559,5484558.41269842,34141294.2539683,2388988.08342254,36530282.3373908,-5532949.00405745,9.71428571428571
