"▣ 연령별","▣ 지역별","▣ 규모별","재배면적_합계_계","재배면적_합계_논","재배면적_합계_밭","재배면적_합계_임지","재배면적_합계_기타","재배면적_자작지_계","재배면적_자작지_논","재배면적_자작지_밭","재배면적_자작지_임지","재배면적_자작지_기타","재배면적_차용지_계","재배면적_차용지_논","재배면적_차용지_밭","재배면적_차용지_임지","재배면적_차용지_기타","골목본수_계","▣ 전/겸업별","배지구입비_만본당","농약비_만본당","수도광열비_만본당","제재료비_만본당","소농구비_만본당","수선비_만본당","임차료_만본당","위탁영농비_만본당","기타비용_만본당","기계_감가상각비_만본당","시설물_감가상각비_만본당","감가상각비_만본당","자동차비_만본당","자가토지용역비_만본당","임차토지용역비_만본당","토지용역비_만본당","자가노동비_만본당","고용노동비_만본당","급식물비_만본당","노동비_만본당","경영비","고정자본용역비_만본당","유동자본용역비_만본당","자본용역비_만본당","생표고_소계 수량_만본당","건표고_소계(생표고 기준) 수량_만본당","총 생산량(생표고 기준)_만본당","생표고_소계(생표고 기준) 평가액_만본당","건표고_소계(생표고 기준) 평가액_만본당","총 평가액(생표고 기준)_만본당","부산물 생산량_만본당","총 노동시간_보통자가_만본당","총 노동시간_보통자가_남_만본당","총 노동시간_보통자가_여_만본당","총 노동시간_보통고용_만본당","총 노동시간_보통고용_남_만본당","총 노동시간_보통고용_여_만본당","총 노동시간_특수자가_만본당","총 노동시간_특수고용_만본당","총 노동시간_합계_만본당","간벌_시간_만본당","건조_시간_만본당","경운_시간_만본당","관수(살수)_시간_만본당","두둑_시간_만본당","멀칭_시간_만본당","배수로 정비 및 관리_시간_만본당","병해충방제_시간_만본당","보식작업_시간_만본당","선별_시간_만본당","수확 및 운반_시간_만본당","시비_시간_만본당","시설물 보수_시간_만본당","식재(조림)_시간_만본당","열매솎기(적과)_시간_만본당","인공교배 또는 수정_시간_만본당","재배지 정리_시간_만본당","전정_시간_만본당","접목 및 관리_시간_만본당","정지_시간_만본당","제초_시간_만본당","종묘 이식_시간_만본당","차광막 설치_시간_만본당","채종_시간_만본당","꽃눈솎기(적뢰)_시간_만본당","출하_시간_만본당","지주세우기_시간_만본당","일반관리_시간_만본당","파종_시간_만본당","골목 눕히기_시간_만본당","골목 뒤집기_시간_만본당","골목 벌채_시간_만본당","골목 세우기_시간_만본당","골목 폐기_시간_만본당","버섯발생작업_시간_만본당","재배장 소독_시간_만본당","종균접종_시간_만본당","천공작업_시간_만본당","표고세척_시간_만본당","배지하역_시간_만본당","배지비닐 개봉_시간_만본당","갈변처리_시간_만본당","봉지 뒤집기_시간_만본당","배지운반^쌓기_시간_만본당","배지 폐기_시간_만본당","기타_시간_만본당","내급비","소득","직접생산비","간접생산비","생산비 합계_만본당","순수익","가중치"
1,33,3,0.78,0.78,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,130000,1,6900000,0,1656161.53846154,1838076.92307692,0,101538.461538462,0,0,490707.692307692,289923.717948718,2639050.3470214,2928974.06497012,131814.102564103,0,108538.461538462,108538.461538462,5328498.61538462,9276854.30769231,0,14605352.9230769,23432665.5521496,364367.533867361,231778.785476923,596146.319344284,3317.23076923077,2462.20153846154,5779.43230769231,34167476.9230769,35642111.0769231,69809588,0,322.538461538462,249.153846153846,73.3846153846154,856.769230769231,514.153846153846,342.615384615385,0,0.615384615384615,1179.92307692308,10.5384615384615,0.307692307692308,0,89.4615384615385,0,0,0,0,0,216,281.153846153846,0,0,0,0,0,0,0,0,0,2.76923076923077,0,0,0,80.6153846153846,0,0,0,0,0,0,0,0,0,16.8461538461538,0,0,0,0,0,91.3846153846154,0,90.3846153846154,0,58.5384615384615,241.923076923077,5924644.9347289,46376922.4478504,28652625.7059958,704684.780882745,29357310.4868785,40452277.5131215,9.71428571428571
1,34,3,0.34,0.34,0,0,0,0,0,0,0,0,0.34,0.34,0,0,0,55000,1,18000000,0,762618.181818182,0,81818.1818181818,51927.2727272727,0,0,0,1849242.42424242,5911272.72727273,7760515.15151515,593145.454545455,0,72727.2727272727,72727.2727272727,4842008,249934.727272727,3545.45454545455,5095488.18181818,27572860.2687757,586093.515151515,76863.0570909091,662956.572242424,425.090909090909,221.989090909091,647.08,4606672.72727273,1790712,6397384.72727273,0,298.181818181818,205.818181818182,92.3636363636364,17.8181818181818,10.9090909090909,6.90909090909091,0,0,316,0.545454545454545,4.36363636363636,0,30.7272727272727,0,0,1.81818181818182,0,0,49.8181818181818,91.2727272727273,0,0,0,0,0,0.727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27272727272727,0,0,0,32.1818181818182,0,8,0,25.6363636363636,65.6363636363636,5508336.00043638,-21175475.541503,32345512.4242424,735683.844969697,33081196.2692121,-26683811.5419394,7.5
1,36,1,0.25,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,10000,1,19400000,0,3119600,71000,0,0,0,3514400,580200,11585000,5763368.42105263,17348368.4210526,2125000,725000,0,725000,8475024,1266290,0,9741314,47424858.4210526,2814306.82807018,211128.7736,3025435.60167018,3162,0,3162,41562700,0,41562700,4000,581,167,414,77,58,19,19,0,677,6,0,0,28,0,0,0,0,0,2,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,95,24,0,0,0,33,32,12225459.6016702,-5862158.42105263,55899882.4210526,3750435.60167018,59650318.0227228,-18087618.0227228,5.83333333333333
1,36,2,0.08,0,0.08,0,0,0.08,0,0.08,0,0,0,0,0,0,0,20500,1,22087804.8780488,0,3505658.53658537,0,0,0,0,736634.146341463,786731.707317073,1731707.31707317,7814079.58921694,9545786.90629012,518292.682926829,17073.1707317073,0,17073.1707317073,19078047.804878,0,0,19078047.804878,37180908.8575096,1147058.43440308,298927.695219512,1445986.12962259,5744.87804878049,0,5744.87804878049,49193658.5365854,0,49193658.5365854,0,1125.85365853659,987.804878048781,138.048780487805,0,0,0,8.78048780487805,0,1134.63414634146,0,0,0,37.0731707317073,0,0,0,0,0,0,670.243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2439024390244,0,0,0,0,0,0,0,0,0,65.3658536585366,0,0,0,0,84.8780487804878,0,0,0,0,0,206.829268292683,20541107.1052324,12012749.6790757,56258956.6623877,1463059.3003543,57722015.962742,-8528357.42615661,5.83333333333333
1,37,1,0.1,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,10000,1,11000000,0,634400,0,0,0,0,0,7200,82500,10200252.6315789,10282752.6315789,0,616000,0,616000,21729096,0,0,21729096,21924352.6315789,820434.644210526,277396.6304,1097831.27461053,7204,0,7204,55714100,0,55714100,0,1363,770,593,0,0,0,0,0,1363,0,0,0,72,0,0,0,0,0,345,674,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,46,0,30,33,0,90,23442927.2746105,33789747.368421,43653448.631579,1713831.27461053,45367279.9061895,10346820.0938105,4.85714285714286
2,31,2,0.17,0.17,0,0,0,0,0,0,0,0,0.17,0.17,0,0,0,30000,1,25000000,0,450666.666666667,0,0,0,0,0,1752000,41666.6666666667,1109333.33333333,1151000,566666.666666667,0,235000,235000,2884011.66666667,0,0,2884011.66666667,29155333.3333333,232032.933333333,63074.8113333333,295107.744666667,732.666666666667,0,732.666666666667,7743200,0,7743200,0,169.666666666667,143,26.6666666666667,0,0,0,0,0,169.666666666667,0,0,0,9.33333333333333,0,0,0,0,0,11.3333333333333,89.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6666666666667,0,0,0,0,3,5,0,6.66666666666667,3.33333333333333,16,0,3179119.41133333,-21412133.3333333,31804345,530107.744666667,32334452.7446667,-24591252.7446667,9.71428571428571
2,33,1,0.02,0,0.02,0,0,0,0,0,0,0,0.02,0,0.02,0,0,10000,1,22000000,0,1112800,0,0,0,0,686400,114500,2845833.33333333,1484800,4330633.33333333,765000,0,28000,28000,10611556,424000,37500,11073056,29462774.1306978,603561.113333333,161035.7744,764596.887733333,13770,0,13770,74897200,0,74897200,0,755,134,621,31,31,0,0,0,786,0,0,0,19,0,0,0,0,0,292,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,69,0,0,5,0,3,17,11412212.0903689,45434425.8693022,40082389.3333333,792596.887733333,40874986.2210667,34022213.7789333,9.71428571428571
2,33,1,0.07,0,0.07,0,0,0,0,0,0,0,0.07,0,0.07,0,0,15000,1,23466666.6666667,0,1207466.66666667,0,0,1600000,0,0,0,306666.666666667,974019.047619048,1280685.71428571,1246666.66666667,0,1566666.66666667,1566666.66666667,23595129.3333333,999333.333333333,0,24594462.6666667,31367485.7142857,264635.84,339783.923733333,604419.763733333,5727.33333333333,0,5727.33333333333,36759800,0,36759800,0,1394.66666666667,1182.66666666667,212,70.6666666666667,70.6666666666667,0,4,0,1469.33333333333,33.3333333333333,0,0,120.666666666667,0,0,0,0,0,109.333333333333,490.666666666667,0,0,0,0,0,0,0,0,0,4,0,0,0,88,0,0,0,0,0,0,0,0,0,56,0,0,0,0,9.33333333333333,0,0,226,21.3333333333333,68,242.666666666667,24199549.0970667,5392314.28571429,53395948.3809524,2171086.4304,55567034.8113524,-18807234.8113524,9.71428571428571
2,33,3,0.78,0.78,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,130000,1,6900000,0,1656161.53846154,1466000,0,101538.461538462,0,0,490707.692307692,289923.717948718,2639050.3470214,2928974.06497012,131814.102564103,0,108538.461538462,108538.461538462,5722615.23076923,9835700.46153846,0,15558315.6923077,23619434.7829188,364367.533867361,238981.769969231,603349.303836591,1921.07692307692,2395.74461538462,4316.82153846154,19787092.3076923,34678485.6923077,54465578,0,343.153846153846,277.461538461538,65.6923076923077,901.230769230769,558.307692307692,342.923076923077,0,0.615384615384615,1245,49.3846153846154,0.307692307692308,0,89.4615384615385,0,0,0,0,0,216.769230769231,289.615384615385,0,0,0,0,0,0,0,0,0,2.76923076923077,0,0,0,41.7692307692308,0,0,0,0,0,0,0,0,0,13.2307692307692,0,0,0,0,0,91.3846153846154,0,101,0,63.7692307692308,285.538461538462,6325964.53460582,30846143.2170812,29233511.5521496,711887.765375053,29945399.3175247,24520178.6824753,9.71428571428571
2,34,2,0.07,0.07,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,38720,2,11000000,0,923321.280991736,54493.8016528926,0,0,0,0,18698.347107438,729459.366391185,686931.818181818,1416391.184573,195925.878099174,318440.082644628,0,318440.082644628,4139507.48966942,0,0,4139507.48966942,13608830.4924242,158617.60072314,63686.6594008264,222304.260123967,2005.68181818182,0,2005.68181818182,8129390.49586777,0,8129390.49586777,0,261.363636363636,148.243801652893,113.119834710744,0,0,0,0,0,261.363636363636,0,0,0,5.68181818181818,0,0,0,0,0,11.1053719008264,76.7045454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.6528925619835,0,0,0,0,0,33.0578512396694,0,0,54.2355371900826,28.9256198347107,0,4680251.83243802,-5479439.99655647,17748337.9820937,540744.342768595,18289082.3248623,-10159691.8289945,7.5
