"지역구분","업종구분","경영형태","경영주 성별","연령","종사 기간별","전겸업 여부","겸업 주 업종","산림소유 여부","산림 규모별","재배지 면적","소유지 면적","임차지 면적","지목구성_재배지_전체","지목구성_재배지_논","지목구성_재배지_밭","지목구성_재배지_임야","지목구성_재배지_기타","지목구성_소유지_전체","지목구성_소유지_논","지목구성_소유지_밭","지목구성_소유지_임야","지목구성_소유지_기타","지목구성_임차지_전체","지목구성_임차지_논","지목구성_임차지_밭","지목구성_임차지_임야","지목구성_임차지_기타","재배본수","평균수령","재배지 운영 관리방식","가구총수입","임업총수입","생산량","생산량_포전판매","생산량_없음","판매량_원물","판매량_원물_포전판매","판매량_원물_없음","판매량_가공","판매량_가공_포전판매","판매량_가공_없음","판매수입_원물","판매수입_원물_포전판매","판매수입_원물_없음","판매수입_가공","판매수입_가공_포전판매","판매수입_가공_없음","판매 가공품 종류_1","판매 가공품 종류_2","판매 가공품 종류_3","주요 판매처 비율_농협","주요 판매처 비율_산림조합","주요 판매처 비율_수집상","주요 판매처 비율_가공업체","주요 판매처 비율_도소매상","주요 판매처 비율_직거래","주요 판매처 비율_기타","직거래 판매방법_전화주문","직거래 판매방법_인터넷주문","직거래 판매방법_기타온라인판매","직거래 판매방법_직접판매","직거래 판매방법_임산물축제","직거래 판매방법_기타오프라인판매","판매대금 결제방법별 비중_1개월 이내 현금","판매대금 결제방법별 비중_후불","판매대금 결제방법별 비중_선도금","판매대금 결제방법별 비중_기타","재고량 여부","재고량","저장경험","판매 밤의 출하시기_수확 ~ 추석 이전","판매 밤의 출하시기_추석 연휴 판매","판매 밤의 출하시기_추석이후 ~ 12월 31일","판매 밤의 출하시기_1월 1일~설 이전","판매 밤의 출하시기_설 이후","저장 주된 목적","투입비용_비료비","투입비용_농약비","투입비용_기타재료비","투입비용_수도광열비","투입비용_임차료","투입비용_수선비","투입비용_인건비","투입비용_기타","투입비용_합계","보유 시설 및 장비_건조기","보유 시설 및 장비_경운기","보유 시설 및 장비_관리기","보유 시설 및 장비_관리사","보유 시설 및 장비_관정","보유 시설 및 장비_굴삭기","보유 시설 및 장비_기계톱","보유 시설 및 장비_다목적관리기","보유 시설 및 장비_동력분무기","보유 시설 및 장비_동력약제살포기","보유 시설 및 장비_드릴","보유 시설 및 장비_선별기","보유 시설 및 장비_소형 화물차","보유 시설 및 장비_소형트럭","보유 시설 및 장비_시설하우스","보유 시설 및 장비_예초기(예취기)","보유 시설 및 장비_온실","보유 시설 및 장비_운반차","보유 시설 및 장비_자동 접종기","보유 시설 및 장비_자동세척기","보유 시설 및 장비_(저온)저장고","보유 시설 및 장비_종균 성형기","보유 시설 및 장비_지게차","보유 시설 및 장비_창고","보유 시설 및 장비_천공기","보유 시설 및 장비_키크레인(트럭)","보유 시설 및 장비_탈피기","보유 시설 및 장비_트랙터","보유 시설 및 장비_항공방제","보유 시설 및 장비_수동분무기","보유 시설 및 장비_사륜오토바이","보유 시설 및 장비_SS기","보유 시설 및 장비_비료살포기","보유 시설 및 장비_기타","고용노동남성 총인원수","고용노동여성 총인원수","자가노동남성 총인원수","자가노동여성 총인원수","고용노동남성 1인당 평균작업일수","고용노동여성 1인당 평균작업일수","자가노동남성 1인당 평균작업일수","자가노동여성 1인당 평균작업일수","고용노동남성 1인당 하루평균노동비","고용노동여성 1인당 하루평균노동비","자가노동남성 1인당 하루평균노동비","자가노동여성 1인당 하루평균노동비","고용노동력 확보 지역","수확 방법","작업로 설치 여부","작업로 설치 면적","작업로 설치 예정 연도","작업로 설치 예정 면적","풀베기방식_기계사용","풀베기방식_제초제 사용","풀베기방식_초생재배","풀베기방식_기타","생산비 조달방법 비중_자부담","생산비 조달방법 비중_정부보조","생산비 조달방법 비중_정부융자","생산비 조달방법 비중_금융기관 융자","생산비 조달방법 비중_수집상 선도금","생산비 조달방법 비중_기타","재배업 전망","재배업 전망_좋아지는 이유","재배업 전망_나빠지는 이유","재배업 계획","재배업 계획_늘리려는 이유","재배업 계획_줄이거나 중단하려는 이유","3년간 생산량 변화","3년간 소득 변화","재배업 애로사항","수입 희망 금액","묘목 생산판매 여부","신규식재 의향","면적 증가 의향","선호 품종","작목 대체 계획","주 대체 작목","재배업 시 시급하게 필요한 사항","친환경 인증 등 공식인증 인증여부","받은 공식인증 종류_친환경인증","받은 공식인증 종류_지리적표시제","받은 공식인증 종류_GAP","받은 공식인증 종류_품질인증","받은 공식인증 종류_기타","사업정보 획득경로","임업경영체 등록여부","임업 관련 지원금 수혜 여부_산림경영기반조성(숲가꾸기 및 임도시설)","임업 관련 지원금 수혜 여부_산림경영기반조성(전문임업인기반조성)","임업 관련 지원금 수혜 여부_산양삼 생산","임업 관련 지원금 수혜 여부_귀산촌인 창업 및 주택구입 지원","임업 관련 지원금 수혜 여부_단기산림소득지원","임업 관련 지원금 수혜 여부_단기산림소득지원 관련 보조수반 융자사업","임업 관련 지원금 수혜 여부_조림목 묘목 생산","임업 관련 지원금 수혜 여부_목재이용활성화 지원","임업 관련 지원금 수혜 여부_임업인경영자금 지원","임업 관련 지원금 수혜 여부_임업인 재해복구 긴급지원","임업 관련 지원금 수혜 여부_산림소득 유통분야 공모사업","임업 관련 지원금 수혜 여부_임산물 수출지원","임업 관련 지원금 수혜 여부_임산물 판로지원 사업","임업 관련 지원금 수혜 여부_없음","산림청에 바라는 점","산림청에 바라는 점_1","가중치"
10,1,1,1,5,4,1,,1,4,6500,6500,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,200,38,1,3600,20,100,,,20,,,0,,1,20,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,2,,,,,,,0,10,0,0,0,0,0,0,10,,,,,,,,,9,,,,,14,,16,,,,,,,,24,,,,,,,,,,,2,,1,,2,,30,,30,,0,0,1,1,1,1000,,,1,,,,100,0,0,0,0,0,5,,2,3,,1,3,3,1,100,3,2,2,2,2,,3,2,,,,,,8,2,,,,,,,,,,,,,,9998,501,1,29.77778
10,1,2,1,5,2,2,1,2,,2644,2644,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,80,19,1,1511.29,150,420,,,400,,,0,,1,200,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,1,20,40,40,0,0,1,5,2,0,10,0,0,0,0,17,,,,,,,,,,,,,,,,16,,18,,,21,,,,,,,,,,,,,,,,1,1,,,2,10,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,3,,,2,,,2,2,1,300,3,2,2,2,2,,7,2,,,,,,3,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,2,2,3,1,2,5,2,,13222,3305,9917,100,0,100,0,0,100,0,100,0,0,100,0,100,0,0,80,45,1,1978.851,1518.656,1340,,,1333,,,0,,1,800,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,1,20,20,20,20,20,2,20,10,10,10,50,0,0,0,100,,,,,,,,,,,,,,,,16,,18,,,,,,24,,,27,,,,,,,,,,,1,,,,60,,,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,2,1,,2,,,2,2,1,1000,3,2,2,2,2,,7,2,,,,,,6,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,3,1,4,3,3,1,2,,15,15,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,5,20,1,400,10,20,,,10,,,0,,1,10,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,1,5,1,0,0,100,0,0,9997,6,3,0,0,0,0,0,0,9,1,2,3,,,,7,,9,10,11,,,,15,16,,,,,21,,,,,,,,,,,,,,,,1,,,,30,,,,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,4,,2,2,,,3,3,1,50,3,2,2,2,1,1,3,2,,,,,,10,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,3,1,5,1,3,1,2,,3161,3161,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,200,7,1,2500,999,100,,,0,,1,0,,1,0,,1,0,,1,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,0,0,0,0,0,0,0,0,0,1,2,3,,,,,,9,,11,,,14,,16,,,,,,,,24,,,,,,,,,,,,,1,,,,2,,,,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,3,,,2,,,3,3,1,300,3,2,2,2,2,,7,2,,,,,,10,1,,,,,,,,,,,,,,9998,502,1,29.77778
10,1,3,1,5,2,3,1,2,,3960,3960,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,999,13,1,,70,0,,1,0,,1,0,,1,70,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,2,,,,,,,6,30,0,5,0,1,0,0,42,,,3,,,,,,9,,11,,,14,,16,,,,,21,,,24,,,,,,,,,,,,,1,,,,20,,,,0,0,,3,1,3,,,1,2,,,100,0,0,0,0,0,4,,2,2,,,3,3,1,300,3,2,2,2,2,,7,2,,,,,,10,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,3,1,5,4,3,1,1,1,100,100,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,20,30,1,5000,100,100,,,100,,,0,,1,100,,,0,,1,,,,100,0,0,0,0,0,0,,,,,,,0,100,0,0,2,,2,,,,,,,2,0,0,0,0,0,0,0,2,1,2,3,,5,,7,,9,10,11,,13,,15,16,,,,,21,,,24,,,,28,,,,,,,,,1,1,,,30,30,,,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,2,1,,2,,,1,1,9998,200,3,2,2,2,2,,9,2,,,,,,10,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,3,2,4,4,3,1,2,,1322,1322,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,15,30,1,2201.6902,235.2,130,,,120,,,0,,1,60,,,0,,1,,,,0,0,0,0,0,100,0,50,0,0,50,0,0,100,0,0,0,2,,2,,,,,,,5,3,1,4,0,0,0,0,13,,,,,,,,,,,,,,,,16,,,,,,,,24,,,,,,,,,,,,,,1,,,,200,,,0,0,,1,3,,,,1,2,,,100,0,0,0,0,0,4,,1,2,,,2,2,2,100,3,2,2,2,2,,7,2,,,,,,3,2,,,,,,,,,,,,,,9998,,,29.77778
10,1,3,2,5,5,3,1,1,1,300,300,0,100,0,100,0,0,100,0,100,0,0,0,0,0,0,0,20,50,1,360,10,40,,,20,,,0,,1,20,,,0,,1,,,,0,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0,2,,2,,,,,,,7,0,0,0,0,0,0,0,7,,,,,,,,,9,,,,,,,16,,,,,,,,,,,,,,,,,,,,,1,1,,,7,30,100,80,0,0,,1,3,,,,1,,,,100,0,0,0,0,0,4,,4,2,,,3,3,1,50,3,2,2,2,2,,4,2,,,,,,10,2,,,,,,,,,,,,,,9998,,,29.77778
11,1,1,1,4,2,1,,1,4,79200,79200,0,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,900,15,1,5000,1400,4000,,,4000,,,0,,1,1400,,,0,,1,,,,0,100,0,0,0,0,0,,,,,,,100,0,0,0,2,,2,,,,,,,120,70,5,50,0,10,0,0,255,,,,,,,7,,9,,,,,14,,16,,,,,21,,,24,,,27,,,,,,,,,,1,1,,,150,40,,,0,0,,1,1,1000,,,1,2,,,80,20,0,0,0,0,3,,,2,,,1,1,3,3000,3,1,2,2,2,,4,2,,,,,,2,1,,,,,,,,,,10,,,,,501,1,12
