"지역","업종구분","경영형태","경영주 성별","연령","종사 기간별","전겸업 여부","겸업 주 업종","산림 소유 여부","산림 규모별","산림 임차 여부","임차한 산림 면적","재배장 면적 노지재배지_본인 소유","재배장 면적 노지재배지_임차","재배장 면적 시설재배사_본인 소유","재배장 면적  시설재배사_임차","재배장 면적 시설(톱밥) 재배사_본인 소유","재배장 면적 시설(톱밥) 재배사_임차","표고버섯 평균 재배본수","톱밥배지 표고 재배 전향 의향 여부","톱밥배지 표고 재배형태","톱밥배지 평균 중량","톱밥배지 수량","가구 총 수입","임업 총 수입","생표고_생산량","생표고_생산량_없음","생표고_생산량_포전판매","생표고 판매량_원물","생표고 판매량_원물_없음","생표고 판매량_원물_포전판매","생표고 판매량_가공","생표고 판매량_가공_없음","생표고 판매량_가공_포전판매","생표고 판매 수입_원물","생표고 판매 수입_원물_없음","생표고 판매 수입_원물_포전판매","생표고 판매 수입_가공","생표고 판매 수입_가공_없음","생표고 판매 수입_가공_포전판매","건표고_생산량","건표고_생산량_없음","건표고_생산량_포전판매","건표고 판매량_원물","건표고 판매량_원물_없음","건표고 판매량_원물_포전판매","건표고 판매량_가공","건표고 판매량_가공_없음","건표고 판매량_가공_포전판매","건표고 판매 수입_원물","건표고 판매 수입_원물_없음","건표고 판매 수입_원물_포전판매","건표고 판매 수입_가공","건표고 판매 수입_가공_없음","건표고 판매 수입_가공_포전판매","톱밥배지_생산량","톱밥배지_생산량_없음","톱밥배지_생산량_포전판매","톱밥배지 판매량_원물","톱밥배지 판매량_원물_없음","톱밥배지 판매량_원물_포전판매","톱밥배지 판매량_가공","톱밥배지 판매량_가공_없음","톱밥배지 판매량_가공_포전판매","톱밥배지 판매 수입_원물","톱밥배지 판매 수입_원물_없음","톱밥배지 판매 수입_원물_포전판매","톱밥배지 판매 수입_가공","톱밥배지 판매 수입_가공_없음","톱밥배지 판매 수입_가공_포전판매","가장 많이 판매한 가공품 1","가장 많이 판매한 가공품 2","가장 많이 판매한 가공품 3","작년 생산한 임산물 중 재고여부","작년 생산한 임산물 재고량","주요 판매처 비율_농협","주요 판매처 비율_산림조합","주요 판매처 비율_수집상","주요 판매처 비율_가공업체","주요 판매처 비율_도소매상","주요 판매처 비율_직거래","주요 판매처 비율_기타","직거래 임산물 판매방법_전화 주문","직거래 임산물 판매방법_인터넷 주문","직거래 임산물 판매방법_온라인 판매_기타","직거래 임산물 판매방법_온라인 판매_기타항목","직거래 임산물 판매방법_직접 판매","직거래 임산물 판매방법_임산물 축제","직거래 임산물 판매방법_오프라인 판매_기타","직거래 임산물 판매방법_오프라인 판매_기타항목","코로나 온라인 판매량","작년 판매대금 결제방법_1개월 이내 현금","작년 판매대금 결제방법_후불(어음 또는 1개월 이후 현금)","작년 판매대금 결제방법_선도금","작년 판매대금 결제방법_기타","생표고 평균 저장개월","폐골목 처리 방법","투입비용_표고지목 구입비(원목)/톱밥배지 구입비(톱밥)","투입비용_종균비","투입비용_기타재료비","투입비용_수도광열비","투입비용_임차료","투입비용_수선비","투입비용_인건비","투입비용_기타","보유시설 및 장비_건조기","보유시설 및 장비_기계톱","보유시설 및 장비_저온 저장고","보유시설 및 장비_드릴","보유시설 및 장비_천공기","보유시설 및 장비_자동 접종기","보유시설 및 장비_종균 성형기","보유시설 및 장비_소형 화물차","보유시설 및 장비_경운기","보유시설 및 장비_양수기","보유시설 및 장비_예취기","보유시설 및 장비_기타","총 인원 수-고용남성(男)","총 인원 수-고용여성(女)","총 인원 수-자가남성(男)","총 인원 수-자가여성(女)","1인당 평균 작업 일 수-고용남성(男)","1인당 평균 작업 일 수-고용여성(女)","1인당 평균 작업 일 수-자가남성(男)","1인당 평균 작업 일 수-자가여성(女)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-고용남성(男)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-고용여성(女)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-자가남성(男)","1인당 하루 평균 노동비 (간식^ 현물 등 포함)-자가여성(女)","고용노동력 확보지역","작년 생산비 조달 방법_자부담","작년 생산비 조달 방법_정부 보조","작년 생산비 조달 방법_정부 융자","작년 생산비 조달 방법_금융기관 융자","작년 생산비 조달 방법_수집상 선도금","작년 생산비 조달 방법_기타","버섯 재배업 전망","버섯 재배업 전망이유_긍정","버섯 재배업 전망이유_부정","3년간 생산량 변화","3년간 소득 변화","버섯 재배업 재배계획","버섯 재배 늘리려는 이유","버섯 재배 줄이려는 이유","버섯 재배업 애로사항","버섯 재배업 개선 필요 사항","가장 시급한 산림정책","공식 인증 여부","받은 공식인증_친환경 인증","받은 공식인증_지리적 표시제","받은 공식인증_GAP(추진이력제)","받은 공식인증_품질 인증","받은 공식인증_기타","사업 정보 획득 경로","임업경영체 등록여부","임업관련 지원금 수혜여부_산림경영기반조성(숲가꾸기 및 임도시설)","임업관련 지원금 수혜여부_산림경영기반조성(전문임업인기반조성)","임업관련 지원금 수혜여부_산양삼 생산","임업관련 지원금 수혜여부_귀산촌인 창업 및 주택구입 지원","임업관련 지원금 수혜여부_단기산림소득지원","임업관련 지원금 수혜여부_단기산림소득지원 관련 보조수반 융자사업","임업관련 지원금 수혜여부_조림목 묘목 생산","임업관련 지원금 수혜여부_목재이용활성화 지원","임업관련 지원금 수혜여부_임업인경영자금 지원","임업관련 지원금 수혜여부_임업인 재해복구 긴급지원","임업관련 지원금 수혜여부_산림소득 유통분야 공모사업","임업관련 지원금 수혜여부_임산물 수출지원","임업관련 지원금 수혜여부_임산물 판로지원 사업","임업관련 지원금 수혜여부_없음","산림청에 바라는 점","산림청에 바라는 점_없음","가중치"
10,1,2,1,3,1,2,6,1,1,2,0,2700,600,0,0,,,3000,1,,,,7075.2296,2398.8,700,,,700,,,,1,,700,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,20,0,0,0,0,0,100,0,0,80,0,,20,0,0,,3,0,0,100,0,2,3,0,0,35,0,20,0,0,0,,2,3,4,5,,,,,,,,0,0,1,1,0,0,60,30,0,0,0,0,,100,0,0,0,0,0,4,,6,3,3,2,,,2,3,2,2,,,,,,1,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,2,1,4,1,2,6,2,,2,0,0,1320,0,0,,,1000,2,,,,1500,800,890,,,890,,,,1,,800,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,1,4,0,0,0,3,30,0,0,0,,2,,4,,,,,,,,,0,0,1,0,0,0,60,0,0,0,0,0,,100,0,0,0,0,0,3,,,3,3,3,,1,2,5,5,2,,,,,,6,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,2,2,3,2,2,5,1,4,2,0,300,0,0,0,,,2000,2,,,,10000,10000,625,,,625,,,0,,,1000,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,50,50,0,0,0,0,,100,0,0,,,100,0,0,0,2,3,0,0,0,5,0,0,0,0,1,2,3,4,,,,8,9,,,,0,0,1,1,0,0,60,60,0,0,0,0,,100,0,0,0,0,0,1,1,,1,1,1,3,,2,6,2,2,,,,,,10,2,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,3,1,4,2,3,1,1,4,2,0,4290,0,0,0,,,8000,2,,,,1000,0,50,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,4,0,0,0,2,0,0,20,0,1,2,,4,,,,8,9,,,,2,0,1,0,1,0,2,0,100,0,0,0,1,100,0,0,0,0,0,3,,,3,3,3,,3,1,5,2,2,,,,,,10,2,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,3,1,4,3,3,1,1,1,2,0,900,0,0,0,,,1100,2,,,,5000,1500,200,,,200,,,,1,,200,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,1,4,0,0,0,3,0,0,0,0,1,2,3,4,,,,8,,,,,0,0,1,1,0,0,60,60,0,0,0,0,,100,0,0,0,0,0,2,4,,2,2,2,,,2,5,5,2,,,,,,10,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,3,1,5,2,3,1,2,,1,0.165289,0,1650,0,0,,,1500,2,,,,8000,0,20,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,4,400,40,5,3,0,0,280,0,1,2,3,4,5,,,8,,,,9997,6,6,1,1,2,2,30,30,150,100,0,0,1,100,0,0,0,0,0,3,,,2,2,2,,,2,2,2,2,,,,,,10,2,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,3,1,5,3,3,1,2,,1,6,0,330,0,0,,,200,2,,,,2011.535,145.5,30,,,30,,,,1,,30,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,0,100,,,,,,,,,,0,0,0,100,1,4,0,0,0,5,10,0,0,0,,2,,,,,,8,,,,,0,0,1,1,0,0,7,15,0,0,0,0,,100,0,0,0,0,0,3,,,2,2,3,,6,3,5,2,2,,,,,,6,2,,,,,,,,,,,,,,9998,98,9998,17.78571
10,1,3,1,5,5,3,1,1,1,2,0,9917,0,0,0,,,500,2,,,,1800,50,30,,,30,,,0,,,0,,,0,,,2,,,2,,,0,,,15,,,0,,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,2,100,10,20,0,0,0,0,0,1,,3,4,,,,8,,,,,0,0,1,1,0,0,20,20,0,0,0,0,,100,0,0,0,0,0,3,,,2,2,3,,1,3,5,2,2,,,,,,3,1,,,,,,,,,,,,,,9998,98,9998,17.78571
10,2,1,1,3,3,1,,2,,2,0,,,,,330,0,,,3,2,70000,6425.5472,5696.3674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,999,,,,1,,7000,,,,1,,,,,2,,0,0,0,0,0,100,0,20,0,0,,80,0,0,,2,100,0,0,0,2,,1800,0,120,250,0,0,0,0,1,2,3,4,5,,7,8,,,,9997,0,0,1,1,0,0,280,280,0,0,0,0,,100,0,0,0,0,0,2,4,,2,2,2,,,2,2,6,1,1,,3,4,,6,1,,,,,,,,,,,,,,9998,98,9998,3.8
10,2,1,1,4,1,1,,1,4,2,0,,,,,330,0,,,2,2,11000,5000,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,,,445,,,,1,,351,,,,1,,,,,2,,0,0,0,0,0,100,0,0,0,0,,100,0,0,,,100,0,0,0,2,,870,0,20,40,0,0,0,45,1,2,3,4,,,,8,9,,,9997,0,0,1,1,0,0,60,60,0,0,0,0,,100,0,0,0,0,0,3,,,2,2,2,,,2,5,5,2,,,,,,6,2,,,,,,,,,,,,,,9998,98,9998,3.8
