"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
1001,4,32,3,8,1,3,4917039,4637039,587039,-1423931,2010970,4050000,280000,13777653,11804103,1973550,2943489,-8860614,830000,2253931,1790470,2655770,865300,220500,220500,0,7000000,250000,206.333333333333
1002,5,32,3,8,1,1,51818275,51818275,47450275,13260840,34189435,4368000,0,18906721,15753341,3153380,48664895,32911554,14834100,1573260,34189435,50957765,16768330,0,0,0,4000000,42670000,166.4
1003,3,32,2,6,1,1,-31091527,-31340083,-31340083,-37253497,5913414,0,248556,64944187,59114337,5829850,-36921377,-96035714,54895300,92148797,2513414,3834000,1320586,3400000,3400000,0,39559728,17440800,29.6
1004,3,32,3,8,1,1,22096739,22096739,20526739,-2214107,22740846,1570000,0,40438811,34137531,6301280,15795459,-18342072,0,2214107,22740846,52242600,29501754,0,0,0,21332463,14910000,166.4
1005,4,32,3,8,2,1,28480892,28280892,21285892,-4202973,25488865,6995000,200000,26444814,21786324,4658490,23822402,2036078,735000,4937973,22488865,34624700,12135835,3000000,3000000,0,32838618,37600000,166.4
1006,5,32,3,8,1,2,6972949,6885449,1927899,-834841,2762740,4957550,87500,20942840,20665150,277690,6695259,-13969891,0,834841,494740,3190000,2695260,2268000,2268000,0,16845680,190000,166.4
1007,4,32,3,8,2,1,187381952,179158595,149275305,-15687915,164963220,29883290,8223357,167889044,50909624,116979420,70402532,19492908,659800,16347715,152258351,245811011,93552660,12704869,12704869,0,99293806,120038572,206.333333333333
1008,4,32,3,2,1,2,2425683,2425683,2425683,3638193,-1212510,0,0,27248675,24314885,2933790,-508107,-24822992,4187000,548807,-1212510,0,1212510,0,0,0,18449390,2706810,25.3636363636364
1009,5,32,3,1,1,2,15032500,15032500,7908500,210450,7698050,7124000,0,9517428,8413548,1103880,13928620,5515072,402000,191550,-281950,0,281950,7980000,7980000,0,5620783,750000,36.8333333333333
1010,5,32,3,1,1,3,20050801,18885801,9682901,2065200,7617701,9202900,1165000,25777596,24351026,1426570,18624231,-5726795,2092200,27000,2969201,3444220,475019,4648500,4648500,0,14447900,1530000,79
1011,3,32,3,1,1,2,4017615,4017615,4017615,2913000,1104615,0,0,19053705,17689765,1363940,2653675,-15036090,2930000,17000,1104615,2236500,1131885,0,0,0,8508860,3361100,36.8333333333333
1012,3,32,3,1,2,2,58500956,57142506,54508456,9497336,45011120,2634050,1358450,36475546,32722456,3753090,54747866,22025410,9814000,316664,21801855,22616443,814588,23209265,23209265,0,14906000,33862478,36.8333333333333
1013,4,32,3,1,1,2,14810250,14810250,8627050,4696500,3930550,6183200,0,27215455,23987015,3228440,11581810,-12405205,4768000,71500,3930550,4005450,74900,0,0,0,21500000,12291880,36.8333333333333
1014,3,32,3,1,1,2,54962540,54688540,52708540,9849000,42859540,1980000,274000,29389752,27684572,1705180,53257360,25572788,10374000,525000,42859540,43586900,727360,0,0,0,8900000,10078500,36.8333333333333
1015,5,32,3,1,1,2,8812058,8612058,7512058,2995800,4516258,1100000,200000,14713240,11983040,2730200,6081858,-5901182,3045800,50000,3377258,3803158,425900,1139000,1139000,0,8482440,10366840,36.8333333333333
1016,5,32,3,8,1,1,8009107,7809107,1626687,1407057,219630,6182420,200000,17954579,12258823,5695756,2313351,-9945472,2072000,664943,-1197870,120000,1317870,1417500,1417500,0,12680000,4484618,166.4
