"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","경지면적_총합","자본","연초보유 현금","연말보유 현금","가중치"
1001,4,32,3,8,1,2,8381710,6881710,1341710,-8227310,9569020,5540000,1500000,11332095,9112385,2219710,6162000,-2950385,0,8227310,9569020,10823250,1254230,0,0,0,0,50000,13350,303883560,850060,1416400,193.4375
1002,5,32,3,8,1,1,25845419,24845419,18858419,7987522,10870897,5987000,1000000,15873264,11917164,3956100,21889319,9972155,10312400,2324878,10870897,33742125,22871228,0,0,0,4207503,3258000,900,317698750,3846947,1425000,180.869565217391
1003,3,32,2,6,1,1,-23704536,-26904536,-27038834,-28506005,1467171,134298,3200000,52458474,46983334,5475140,-29179676,-76163010,56963674,85469679,-280329,2210000,2490329,1747500,1747500,0,21170798,3196780,3600,878043608,2000000,1425000,29.6
1004,4,32,3,8,1,1,34953780,33313780,30389680,-2217029,32606709,2924100,1640000,32919870,27661390,5258480,29695300,2033910,0,2217029,32606709,56934900,24328191,0,0,0,2634992,17971000,3085,359736740,1825728,1425000,180.869565217391
1005,4,32,3,8,2,1,46696511,46196511,36686511,19927304,16759207,9510000,500000,27241442,20299218,6942224,39754287,19455069,23000000,3072696,13759207,21362500,7603293,3000000,3000000,0,7746936,300000,1200,456481894,1013742,1425000,180.869565217391
1006,5,32,3,8,1,4,6650104,5150104,-472896,-585593,112697,5623000,1500000,13301536,12949136,352400,6297704,-6651432,0,585593,-341713,500000,841713,454410,454410,0,3803722,530000,7000,401832682,1498860,1425000,193.4375
1007,4,32,3,8,2,1,336410825,321900857,296439946,-6811844,303251790,25460911,14509968,168116102,150643532,17472570,318938255,168294723,12757000,19568844,288195331,386852281,98656950,15056459,15056459,0,68597060,93001199,2972,1501757133,2342961,1425000,193.4375
1008,4,32,3,2,1,2,5269061,5269061,5259871,7433340,-2173469,9190,0,28789168,27539778,1249390,4019671,-23520107,8000000,566660,-2173469,0,2173469,0,0,0,8456000,11272000,5000,219786300,750000,1425000,24.1818181818182
1009,5,32,3,1,1,2,17685000,17685000,6892000,61000,6831000,10793000,0,9961142,9937582,23560,17661440,7723858,250000,189000,0,0,0,6831000,6831000,0,1701478,210000,13267,194784178,750000,1425000,49.1111111111111
1010,5,32,3,1,1,3,29756507,25436507,16964661,1156500,15808161,8471846,4320000,24788426,23108023,1680403,28076104,4968081,1156500,0,1038191,1322650,284459,14769970,14769970,0,4870780,500000,29000,207560380,1000000,1425000,61.4444444444444
1011,3,32,3,1,1,2,36963250,36963250,36963250,4726700,32236550,0,0,24437742,21370522,3067220,33896030,12525508,4810000,83300,32236550,32372150,135600,0,0,0,9707282,6221890,6000,224836210,1250000,1425000,49.1111111111111
1012,4,32,3,1,2,2,46257034,41279198,37764543,4897070,32867473,3514655,4977836,36949860,32424700,4525160,41731874,9307174,5249600,352530,6573526,10684541,4111015,26293947,26293947,0,37800020,26986120,10600,316736600,1200000,1714600,49.1111111111111
1013,4,32,3,1,1,2,14952090,10352090,4038000,3008000,1030000,6314090,4600000,35079401,25840931,9238470,5713620,-20127311,3058000,50000,1030000,1120000,90000,0,0,0,25500000,13205700,10000,-353508700,450000,1362800,49.1111111111111
