"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1001,4,32,3,8,1,2,8910736,7090736,1700736,-1063859,2764595,5390000,1820000,11012800,9608900,1403900,7506836,-2102064,160000,1223859,464595,726275,261680,2300000,2300000,0,0,0,302121200,292706560,1416400,1605360,193.4375
1002,5,32,3,8,1,1,33811403,31211403,24621403,-147681,24769084,6590000,2600000,22277899,14229379,8048520,25762883,11533504,1897725,2045406,24769084,56426000,31656916,0,0,0,4000000,498900,310741600,293784000,1425000,1500000,180.869565217391
1003,3,32,2,6,1,1,-25183888,-31120988,-31879018,-33600519,1721501,758030,5937100,52778739,44832939,7945800,-33129688,-77962627,61667378,95267897,-478499,2634500,3112999,2200000,2200000,0,7000000,15450900,872602288,812922880,1425000,1424392,21.1428571428571
1004,4,32,3,8,1,1,7371702,5161702,5161702,-1843657,7005359,0,2210000,34033148,23746818,10286330,-2914628,-26661446,0,1843657,7005359,29147660,22142301,0,0,0,6500000,3960000,373433160,354132705,1425000,1397845,180.869565217391
1005,4,32,3,8,2,1,16439401,15529401,5579401,-346564,5925965,9950000,910000,28840306,24290246,4550060,11889341,-12400905,1495000,1841564,3125965,9393000,6267035,2800000,2800000,0,8000000,300000,484352432,467051984,1425000,1516652,180.869565217391
1006,5,32,3,8,1,2,7539039,7149039,1829039,-638869,2467908,5320000,390000,24018559,14638559,9380000,-1840961,-16479520,0,638869,-232092,1045000,1277092,2700000,2700000,0,7000000,1940000,309462000,301990440,1425000,1592740,193.4375
1007,4,32,3,8,1,1,195629841.5,162815472,143562572,-8804382,152366954,19252900,32814369.5,67914878,60571078,7343800,188286041.5,127714963.5,3250000,12054382,133780417,194680834,60900417,18586537,18586537,0,3116946,73598000,1538120946,1552837824,1425000,1694024,193.4375
1008,4,32,3,2,1,2,10400465,10400465,10400465,2433340,7967125,0,0,33783790,32110040,1673750,8726715,-23383325,3000000,566660,-5232875,0,5232875,13200000,13200000,0,5000000,2219000,221759600,199854850,1425000,1254250,24.1818181818182
1009,5,32,3,1,1,2,25109687,25109687,13536837,589000,12947837,11572850,0,15012380,14738560,273820,24835867,10097307,778000,189000,-152163,45000,197163,13100000,13100000,0,2000000,800000,225008800,219687772,1425000,1783972,49.1111111111111
1010,5,32,3,1,1,3,23433825,19611825,12709785,1842600,10867185,6902040,3822000,44789563,26016013,18773550,4660275,-21355738,1842600,0,1425185,1687415,262230,9442000,9442000,0,12634900,700000,230957300,212970270,1425000,1501670,69.125
