"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임업외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","기초_자본(순재산)","기말_자본(순재산)","연초보유","연말보유","가중치"
1001,5,32,3,8,1,2,21504508,21114508,12922508,7028705,5893803,8192000,390000,10858190,10067380,790810,20713698,10646318,8410000,1381295,-46197,523200,569397,5940000,5940000,0,0,0,308032760,297753800,1605360,1000000,193.4375
1002,5,32,3,8,1,1,39016847,33816847,27904847,-1581491,29486338,5912000,5200000,19642954,13902374,5740580,33276267,19373893,437250,2018741,29486338,50033600,20547262,0,0,0,0,1800000,333160200,320668400,1500000,2400000,188.615384615385
1003,3,32,1,6,1,1,-57833648,-62053448,-62853268,-61805975,-1047293,799820,4219800,54405092,46035012,8370080,-66203728,-112238740,26063325,87869300,-2547293,810000,3357293,1500000,1500000,0,7287829,5889000,952746721,881313800,1424392,6000000,39
1004,4,32,3,8,1,1,46303468,45653468,45653468,-1354542,47008010,0,650000,32308134,27727054,4581080,41722388,13995334,600000,1954542,40308010,59780000,19471990,6700000,6700000,0,0,12878000,384458105,383318060,1397845,400000,188.615384615385
1005,4,32,3,8,1,1,36812891,14732891,4012891,-1851398,5864289,10720000,22080000,29867535,26296275,3571260,33241631,6945356,1110000,2961398,2864289,11239000,8374711,3000000,3000000,0,0,150000,496259884,485214484,1516652,4516652,188.615384615385
1006,5,32,3,8,1,2,12073611,10383611,4491611,-51952,4543563,5892000,1690000,19587880,11795280,7792600,4281011,-7514269,760000,811952,-708437,460000,1168437,5252000,5252000,0,0,850000,353215140,348448374,1592740,189274,193.4375
1007,4,32,3,8,1,1,188465322.3,177144219,164054089,-11395419,175449508,13090130,11321103.3,51848327,44281897,7566430,180898892.3,136616995.3,1421200,12816619,172473853,242430839,69956986,2975655,2975655,0,24339837,35181250,1502911424,1465145424,1694024,1694024,193.4375
1008,4,32,3,2,1,2,-8621080,-8621080,-8621080,-3157160,-5463920,0,0,27566540,24270900,3295640,-11916720,-36187620,0,3157160,-5463920,0,5463920,0,0,0,0,3360000,262897150,247072200,1254250,1350000,22.32
1009,5,32,3,1,1,2,26434470,26434470,12390380,-189000,12579380,14044090,0,15541044,15100044,441000,25993470,10893426,0,189000,-620620,0,620620,13200000,13200000,0,0,20000,248316372,201898800,1783972,0,58.5294117647059
1010,5,32,3,1,1,3,29068010,21459110,11295870,388100,10907770,10163240,7608900,41066164,34174774,6891390,22176620,-11998154,397100,9000,1167240,1624230,456990,9740530,9740530,0,5500000,2230000,244773370,233579500,1501670,1350000,58.5294117647059
1011,3,32,3,1,1,2,26804705,26804705,26276705,5501700,20775005,528000,0,29532341,26952971,2579370,24225335,-2727636,5777000,275300,5775005,8645670,2870665,15000000,15000000,0,17954646,22315425,268401490,267405400,1330090,780000,58.5294117647059
1012,4,32,3,1,2,2,19608140,19608140,19608140,150670,19457470,0,0,34462320,29977380,4484940,15123200,-14854180,484000,333330,-921130,0,921130,20378600,20378600,0,0,4612860,379312905,388541700,1978005,1500000,58.5294117647059
1013,4,32,3,1,1,2,44303900,43523900,36413900,-750000,37163900,7110000,780000,54176528,46256408,7920120,36383780,-9872628,0,750000,-9015310,4656340,13671650,46179210,46200000,20790,0,3890000,671875370,654785900,1551970,3100000,58.5294117647059
1014,3,32,3,1,1,2,3866200,3866200,1636100,1032400,603700,2230100,0,28986166,28246766,739400,3126800,-25119966,1100000,67600,603700,5873000,5269300,0,0,0,33660000,7120000,539375750,524402500,1366650,1500000,58.5294117647059
1015,5,32,3,1,1,2,36152813,7722813,7722813,4405870,3316943,0,28430000,23716879,20236879,3480000,32672813,12435934,5454300,1048430,2706006,3556396,850390,610937,610937,0,0,30000,503964950,490489500,2962150,2530000,58.5294117647059
1016,5,32,3,8,1,1,9699171,8789171,32291,1406650,-1374359,8756880,910000,19397288,19073538,323750,9375421,-9698117,2156000,749350,-1374359,28000,1402359,0,0,0,12239820,0,395004538,377240100,1356218,1200000,188.615384615385
1018,4,32,3,1,1,2,30191990,25563990,8757990,2180600,6577390,16806000,4628000,31060510,27418670,3641840,26550150,-868520,3131500,950900,6577390,8041000,1463610,0,0,0,4467000,33850000,524937710,548579900,1253110,1500000,58.5294117647059
1019,4,32,3,1,3,2,3914000,3914000,3914000,4110000,-196000,0,0,18090306,15090306,3000000,914000,-14176306,4110000,0,-196000,0,196000,0,0,0,0,0,282307050,274606700,1507050,1200000,58.5294117647059
1020,4,32,3,2,3,2,7414272,7414272,4739272,145550,4593722,2675000,0,97581556,92566056,5015500,2398772,-90167284,290000,144450,4593722,32943200,28349478,0,0,0,182680000,20910000,1045228749,1282871200,1773049,1530000,22.32
1021,4,32,3,8,2,1,43810100,43810100,40560100,1588100,38972000,3250000,0,33020700,27670000,5350700,38459400,10789400,2690000,1101900,-328000,0,328000,39300000,39300000,0,2897000,21169000,385352300,143422500,1320000,1750000,193.4375
1022,5,32,3,8,1,1,10212080,7482080,3830580,2510040,1320540,3651500,2730000,16934029,15447345,1486684,8725396,-6721949,3014000,503960,-37460,870000,907460,1358000,1358000,0,1550000,0,393237620,386104300,1835820,1100000,193.4375
1023,4,32,2,8,1,4,156707576,124977346,108469316,105037596,3431720,16508030,31730230,82874400,67548980,15325420,141382156,73833176,110492106,5454510,1246720,2086590,839870,2185000,2185000,0,145181690,124512052,703321350,776149000,1291650,1350000,193.4375
1024,4,32,3,5,1,1,10762513,10762513,10762513,6035400,4727113,0,0,22683293,20592303,2090990,8671523,-11920780,6872400,837000,4577113,4685455,108342,150000,150000,0,0,0,861845010,760666600,1539010,1375000,98.7333333333333
1027,4,32,3,8,1,1,6286442,6286442,4786442,0,4786442,1500000,0,9856320,8916320,940000,5346442,-3569878,0,0,3796442,5421932,1625490,990000,990000,0,0,0,81068100,73103300,1514900,1350000,188.615384615385
1028,5,32,3,8,1,1,16113011,15593011,3360836,-44450,3405286,12232175,520000,18524999,18255259,269740,15843271,-2411988,0,44450,545286,1386000,840714,2860000,2860000,0,0,0,252626956,245057800,1609956,1523000,188.615384615385
1029,5,32,3,4,1,1,21264940,20744940,6813940,3226600,3587340,13931000,520000,29000394,25847094,3153300,18111640,-7735454,3717300,490700,3587340,7628440,4041100,0,0,0,0,4985500,758505410,739337200,1571010,1250000,148.941176470588
1030,5,32,3,4,2,1,21409526,16859526,7128458,4717818,2410640,9731068,4550000,8390960,7255710,1135250,20274276,13018566,4826700,108882,2330640,5063868,2733228,80000,80000,0,2000000,1200000,335293360,331133600,1435460,2100000,148.941176470588
1031,5,32,3,4,1,1,29537357,19137357,11746857,2748250,8998607,7390500,10400000,22513522,20654322,1859200,27678157,7023835,3405000,656750,8998607,10841067,1842460,0,0,0,0,2220000,520007230,483381600,1519030,1250000,148.941176470588
1032,5,32,3,4,1,1,9139745.5,8955490,1102100,706800,395300,7853390,184255.5,3247460,3237460,10000,9129745.5,5892285.5,1000000,293200,-414700,0,414700,810000,810000,0,0,0,274961113,270849700,1436913,1531000,148.941176470588
1033,4,32,3,6,3,1,2567030,2567030,2567030,-1850000,4417030,0,0,37494933,34149476,3345457,-778427,-34927903,0,1850000,2137030,5418000,3280970,2280000,2280000,0,14730000,230000,257929596,236393300,2771796,2500000,39
1034,4,32,2,6,3,1,690140,690140,-9049860,-12656500,3606640,9740000,0,21645070,15235070,6410000,-5719860,-20954930,33915000,46571500,-513360,0,513360,4120000,4120000,0,0,0,57635080,41034300,1657480,1200000,39
1035,5,32,3,3,2,1,22245422,20483922,8869622,456720,8412902,11614300,1761500,24355600,21643900,2711700,19533722,-2110178,1271960,815240,5415902,6450402,1034500,2997000,2997000,0,0,1510000,262327000,260140500,1311800,1530000,116.777777777778
1036,5,32,3,2,1,1,13360340,12324240,4336240,4725670,-389430,7988000,1036100,13073710,13063710,10000,13350340,286630,5170000,444330,-389430,0,389430,0,0,0,0,0,356448360,336217800,1199760,1350000,22.32
1037,3,32,3,3,1,1,17706415,17706415,17706415,14738895,2967520,0,0,13223070,11222710,2000360,15706055,4483345,19120945,4382050,2967520,4452110,1484590,0,0,0,0,15481100,149447520,139820700,2469020,2350000,116.777777777778
1038,4,32,2,6,2,1,71882280,71347980,63496090,42668290,20827800,7851890,534300,27864230,27024230,840000,71042280,44018050,43591090,922800,10567800,10937900,370100,10260000,10260000,0,700000,0,179198816,153334300,1494216,1350000,46
1039,4,32,2,6,2,2,-23117830,-23117830,-23117830,-18627250,-4490580,0,0,25712715,22823935,2888780,-26006610,-48830545,8810000,27437250,-4490580,250000,4740580,0,0,0,0,1125500,879615858,875582100,1813058,1515000,46
1040,3,32,3,6,1,1,44341403,41741403,40041403,23283865,16757538,1700000,2600000,29858032,22455487,7402545,36938858,14483371,24436065,1152200,16748201,18347794,1599593,9337,9337,0,13284730,1087911,757194833,749722100,1310733,1250000,64.1666666666667
1042,5,32,3,2,1,1,13817530,10697530,77530,2823420,-2745890,10620000,3120000,25985216,22331316,3653900,10163630,-12167686,3472000,648580,-2745890,0,2745890,0,0,0,0,2210000,31176130,28504900,1611630,1260000,22.32
1043,5,32,3,2,1,1,59955648,44595648,31674648,8839471,22835177,12921000,15360000,45851867,31935927,13915940,46039708,14103781,10735000,1895529,10604177,15116620,4512443,12231000,12231000,0,1750000,3960000,399229000,388660600,1439000,758000,22.32
1044,4,32,3,2,1,2,6889690,6889690,3275190,3923340,-648150,3614500,0,12511270,11951270,560000,6329690,-5621580,4000000,76660,-648150,0,648150,0,0,0,0,0,302123578,298234300,1777978,1250000,22.32
1045,4,32,3,2,1,2,15372920,14852920,8649760,4280000,4369760,6203160,520000,26035328,21756428,4278900,11094020,-10662408,4500000,220000,-640240,0,640240,5010000,5010000,0,5000000,200000,203099363,185015000,1439463,1600000,22.32
1046,4,32,3,8,1,1,44657864,42485304,36605304,5497420,31107884,5880000,2172560,20820255,20326785,493470,44164394,23837609,7287000,1789580,1940884,3564434,1623550,29167000,29318000,151000,10020138,18270000,141142610,138206960,1568012,1750000,188.615384615385
1047,4,32,2,8,2,1,33436276,33436276,30066806,25432171,4634635,3369470,0,26906112,26106112,800000,32636276,6530164,34363071,8930900,1544635,2956585,1411950,3090000,3200000,110000,0,0,935250426,904391148,1796378,1595000,188.615384615385
